task_id,method,repeat,budget,comparison_status,failure_count_before,failure_count_after,failure_count_delta,failure_pool_count_before,failure_pool_count_after
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,6,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,7,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,8,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,HistoryRank-UCB-v2,9,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,0,20,compared,4.0,4.0,0.0,5,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,1,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,2,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,3,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,4,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,5,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,6,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,7,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,8,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FailureDistance-v2,9,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,0,20,compared,5.0,4.0,-1.0,5,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,1,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,2,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,3,20,before_missing,,5,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,4,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,5,20,before_missing,,4,,,5
legacy_regression_seed4179802_merge_brake2,FBRT-NoMemory,6,20,before_missing,,5,,,5
