#{"t_start": 1784477946.4592388, "env_id": "None"}
r,l,t
-5.120099,13,23.016239
-5.106791,10,23.068458
-5.075702,10,23.199624
-4.924456,11,23.260487
-5.446551,22,23.44031
-5.249106,180,24.668944
-5.653992,180,26.105665
-5.350368,16,26.192597
-4.804028,180,27.64603
-3.273953,17,27.75145
-5.384937,27,27.997388
-6.375648,180,29.457096
-0.684914,16,29.52989
0.833353,17,29.695563
-6.169671,180,31.148031
-5.192988,14,31.21558
-5.560995,180,32.41782
-6.158061,126,33.357107
-5.208027,17,33.449218
-4.361582,14,33.613755
-5.021795,180,34.934558
-4.934144,10,35.119351
-5.176854,13,35.193585
-5.211513,16,35.271435
-4.507846,21,35.485512
-5.432607,180,37.007004
-4.933186,14,37.080516
-5.433404,180,38.36601
-5.105022,10,38.435112
-5.610631,180,39.883834
-5.274359,16,39.960471
-5.461188,18,40.139741
-5.071968,22,40.25319
-5.102008,10,40.398511
-0.856745,17,40.498038
212.689295,106,41.35783
-4.490672,12,41.425565
-5.346056,16,41.522679
-5.3431,15,41.684351
-5.26139,14,41.765957
-4.675544,180,43.205953
-5.026432,16,43.34991
-5.079527,21,43.445169
-5.159666,16,43.598729
-5.040022,9,43.644536
-5.256178,21,43.839194
-2.939261,10,43.896164
-4.947622,21,44.088473
-5.191323,16,44.168139
-5.606106,20,44.344663
-5.014704,10,44.395521
-5.312237,21,44.589094
-5.024422,180,45.88818
-5.034085,9,46.005576
-5.021101,25,46.120888
-4.267746,10,46.242761
-4.517381,12,46.318037
-4.84216,9,46.369975
-5.460556,21,46.550059
-5.103161,9,46.60395
-5.031643,10,46.722373
-6.375713,126,47.768933
-5.251709,24,47.892706
-0.115235,25,48.09438
-5.079668,12,48.168436
-4.893709,15,48.335562
-5.100302,180,49.677698
-4.50242,180,51.001628
-4.951598,21,51.265559
-5.175862,180,52.514569
-5.379896,180,53.808887
-5.100243,14,53.897747
-2.299051,25,54.101897
-3.663765,10,54.241379
-2.771219,9,54.295689
-5.085298,9,54.346049
-5.447192,16,54.518281
-4.969075,13,54.590763
-5.04247,10,54.641154
-5.610668,22,54.871067
-5.083083,11,54.949086
-9.846997,161,56.173462
-4.545695,11,56.326435
-5.081617,9,56.396989
-3.30448,180,57.805776
-5.326363,14,57.874516
-4.746982,21,58.054451
-4.994304,180,59.438299
-5.032218,14,59.588021
-1.846987,10,59.637015
-4.536398,180,60.943905
-4.052191,14,61.013399
-6.000562,180,62.336004
-5.366669,12,62.403378
-4.382692,180,63.758441
-1.957467,22,63.944613
-4.743156,10,63.993743
-2.370622,23,64.189413
-4.532427,15,64.275933
-5.420571,18,64.456293
-4.305935,17,64.539331
-4.36563,33,64.76812
-3.871532,180,66.301584
-2.264193,30,66.525209
-5.093815,17,66.601263
-5.534813,26,66.809217
0.408955,19,66.982227
-1.605292,16,67.053232
-5.120921,22,67.235029
-5.225738,12,67.312263
-4.978222,10,67.457174
-5.123824,9,67.517248
-3.326544,18,67.620395
-4.311442,9,67.754417
-5.5559,30,68.00927
-1.649975,14,68.104578
-4.46267,15,68.195135
-5.702769,34,68.60436
-5.220059,21,68.718505
-5.585775,25,68.949116
-1.42866,18,69.139371
-5.012204,15,69.223641
-2.707286,13,69.291617
-5.044704,12,69.442685
-5.259011,13,69.512331
-5.012565,9,69.566996
-5.228456,17,69.738528
-6.230715,180,71.33459
-5.144122,12,71.40358
-3.548448,20,71.589522
-4.97965,180,72.824596
-4.996716,11,72.989766
-5.334066,13,73.055969
-4.081933,13,73.13241
-4.273587,180,74.475995
-6.91422,66,74.952403
-5.262258,12,75.019816
-5.117114,18,75.18714
-5.24503,17,75.355942
-5.000632,9,75.423527
-3.520776,17,75.53325
-5.344034,31,75.80452
-5.371542,28,76.017182
-5.379444,180,77.47377
-4.991178,30,77.711263
-5.157639,15,77.789662
-5.201456,17,77.973216
-5.237163,180,79.219658
-5.543219,180,80.407956
-5.148325,10,80.456938
-5.195029,180,81.770728
-4.519959,26,81.995221
0.01212,10,82.048687
-5.132967,11,82.110755
-5.266381,18,82.275001
-3.302781,14,82.35254
-5.101905,14,82.525043
-3.883887,16,82.603549
-0.031832,13,82.758723
-5.123408,17,82.836087
-5.250814,12,83.01267
-5.020048,17,83.132407
-4.587648,34,83.428607
-3.343328,40,83.800208
-1.165476,180,85.155643
-4.966608,180,86.39641
-1.775064,10,86.457335
1.460539,26,86.674619
-1.963843,9,86.723692
-4.232495,9,86.787096
-5.036432,9,86.973878
210.521904,27,87.205458
-4.650722,11,87.275723
-5.110531,16,87.354785
-5.206195,13,87.511748
-4.637443,180,88.78142
-4.597185,38,89.146426
-2.658317,15,89.223672
-5.286719,15,89.385791
-5.0609,9,89.437622
-2.25734,9,89.488
-0.489167,15,89.646192
4.853338,20,89.739996
-4.838236,14,89.897062
-1.752738,14,89.973855
-5.088759,21,90.165013
-5.391905,28,90.398789
-0.351463,12,90.458812
-5.473777,42,90.740785
-5.537301,37,91.15194
-1.819322,20,91.256436
-4.944704,14,91.404271
-4.959278,10,91.471771
-5.063075,10,91.532624
-4.971597,9,91.58527
-3.354007,13,91.731015
-0.502897,31,91.987405
-4.480239,23,92.169515
-5.056485,10,92.240928
-3.447895,8,92.299723
208.93883,37,92.563133
-5.212427,15,92.752887
5.795975,24,92.967497
-3.902194,26,93.100338
-4.566715,16,93.258489
2.097149,16,93.338099
-5.003499,13,93.489711
2.012283,14,93.56224
-5.123456,9,93.62322
-5.320368,19,93.806222
1.036187,12,93.874746
0.772008,10,94.023932
213.794845,28,94.236466
-5.403099,180,95.615133
-5.211208,13,95.772061
-4.167209,10,95.822446
-5.099341,14,95.887635
3.061849,22,96.086755
-4.753145,180,97.566033
-4.978619,12,97.636123
-4.597358,180,98.968881
-4.588577,10,99.031316
-5.015308,38,99.310973
-4.902411,12,99.517919
-5.393782,13,99.58186
-4.436012,24,99.779442
-9.050821,60,100.216215
-2.02187,18,100.306228
-5.392554,180,101.499969
-5.079043,26,101.600583
-3.934687,41,101.745982
-5.020804,14,101.790097
-5.017807,10,101.856935
-4.932199,10,101.88974
-4.596014,180,102.417305
-5.710054,180,102.914589
-4.968144,13,102.986444
-5.201464,15,103.023904
-4.898771,15,103.090265
-2.402901,10,103.123316
-5.028603,9,103.150817
-2.431278,14,103.213896
-5.754842,180,103.782631
-5.330506,21,103.867094
-5.37066,12,103.903895
-4.961285,27,103.998312
-10.568739,178,104.99458
212.183347,28,105.204162
-4.593202,38,105.44208
-1.857806,18,105.52788
-6.103644,180,106.720961
-5.269704,18,106.81826
2.298692,29,107.042
-2.829867,24,107.239173
-4.476751,16,107.398767
-4.480442,17,107.484384
-5.106606,19,107.673961
-3.04474,11,107.734525
-1.34367,17,107.909151
-5.441072,180,109.26917
-3.768682,16,109.44033
-5.750609,180,110.652444
-5.229652,16,110.869768
-8.096992,106,111.65047
-5.265778,30,111.889519
-5.029395,180,113.269324
-4.753546,25,113.496894
-5.0286,11,113.556104
-5.051623,17,113.64247
-3.505968,180,114.923871
-4.742878,31,115.161734
-4.970167,31,115.408872
-5.358168,180,116.740205
201.086854,28,116.89706
-3.790219,21,117.09719
-5.255514,27,117.322814
-4.85537,180,118.758656
-5.228851,15,118.840809
-5.237297,20,119.085593
-5.187956,180,120.390233
-4.600591,180,121.928851
-4.990227,180,123.257491
-5.179064,12,123.326204
-4.54974,180,124.640594
-5.106304,13,124.705761
-5.195106,25,124.925664
-4.993537,180,126.235292
207.239627,23,126.430847
-0.637828,11,126.48875
-5.102487,18,126.66308
-5.671355,35,126.968142
-5.440478,32,127.192635
6.615519,21,127.385616
-5.176841,180,128.579714
-4.166563,11,128.728796
-5.466798,180,130.081919
-5.08734,180,131.376947
-3.876999,180,132.694179
-6.356186,180,133.961431
-4.91739,180,135.297179
208.140601,29,135.521352
-4.840751,180,136.934323
209.592014,32,137.196617
-2.254021,23,137.394423
-5.182172,12,137.465803
-5.025092,180,138.807347
-3.649941,13,138.873062
0.909108,28,139.070692
-5.177665,17,139.223758
-5.021889,17,139.305881
-5.042979,12,139.445326
-5.618107,180,140.641462
-0.402543,27,140.89517
-1.706496,13,141.071825
-4.440338,49,141.489174
-1.531084,10,141.709871
208.702839,34,141.959697
-1.316138,15,142.036542
-3.947737,180,143.431736
208.408881,24,143.553656
1.780267,20,143.748203
-5.460115,180,145.149192
-5.451264,180,146.308893
3.012787,18,146.489362
-5.00748,15,146.569983
-4.858122,25,146.776112
-5.073194,180,148.168822
-5.076589,180,149.459472
-5.152748,16,149.642232
-4.795847,180,150.945284
-5.619561,34,151.272698
-5.371337,180,152.649993
-4.887057,180,154.057933
-5.34951,180,155.396566
2.194115,13,155.540981
-5.42388,180,156.826191
-5.202751,180,158.222401
-1.269803,9,158.277417
-3.954728,180,161.062397
-4.862741,180,162.517274
-5.304317,180,163.806744
-1.483484,12,163.960298
-2.505787,18,164.048613
-5.117638,180,165.45393
-4.264577,180,166.962577
-4.850542,180,168.257403
-5.42825,180,169.572091
-5.551011,44,169.84091
-4.88182,17,170.028311
-4.930842,25,170.152345
1.173433,23,170.348536
3.091855,25,170.551916
-5.438565,28,170.805684
0.718287,17,170.933368
-5.094605,13,171.153989
-3.009739,14,171.241066
-4.376001,180,172.73041
-4.602619,180,174.003891
-4.854219,180,175.348011
204.460397,25,175.5477
-5.343925,22,175.739553
1.798849,16,175.833228
-3.522303,10,175.896676
210.131916,24,176.110187
-4.976167,180,177.586857
-1.703771,18,177.676036
-6.02094,180,178.942289
-5.119931,180,180.33963
-5.20343,180,181.613561
2.302803,14,181.764925
4.311432,17,181.8477
-5.200077,180,183.31665
-5.534491,180,184.605536
0.289459,12,184.761992
-4.977518,21,184.883685
2.478851,14,185.046862
-5.780341,180,186.370346
-0.196339,18,186.485182
-5.250517,180,187.796444
-5.121223,180,189.17251
-4.868698,180,190.484241
5.595295,20,190.657435
-5.607773,180,192.02334
-4.821447,180,193.487798
4.281865,18,193.587867
-4.787446,11,193.730172
-4.51312,180,194.977344
-5.272809,180,196.31181
-2.78539,180,197.63927
-5.852326,180,198.855681
205.47789,38,199.166423
-5.422049,180,200.390529
-5.291748,180,201.653144
-4.748647,180,202.902717
-1.133558,11,203.058581
-0.418623,14,203.137757
-4.431453,180,204.507604
1.203677,21,204.617338
-0.399008,15,204.781728
6.836907,20,204.89048
-5.032258,180,206.25971
-5.318516,180,207.581864
-3.93785,180,208.829106
-3.256245,25,209.046946
210.501803,29,209.267221
-5.456397,180,210.601754
-5.056235,180,212.109504
205.43932,23,212.291572
-5.907863,180,213.614011
-2.459689,23,213.739582
206.827526,21,213.946848
2.892365,14,214.019407
-0.459206,12,214.144538
-4.251696,180,215.462378
-3.34588,23,215.645289
-3.944571,21,215.821009
-5.030425,180,217.213379
0.824056,12,217.359921
-5.158831,39,217.613915
-105.187502,180,219.007936
-0.464381,28,219.263368
-5.559412,180,220.573808
-0.309754,12,220.714957
-4.507695,180,221.884287
5.916594,21,222.062583
0.627624,16,222.144462
-5.173946,180,223.514177
0.426449,14,223.58464
2.678656,17,223.760963
1.199012,13,223.827618
-5.362197,180,225.134778
-5.576362,180,226.461511
-5.09435,25,226.596671
-4.440402,180,227.883038
-5.580627,180,229.237294
5.241745,23,229.360768
-4.838848,180,230.802006
212.585505,29,231.033451
-5.214486,180,232.291154
-5.048328,180,233.554103
3.634731,17,233.72962
-5.469246,180,234.97276
-5.694426,180,236.290883
-3.764577,180,237.445143
-5.268141,180,238.79131
-4.390067,180,240.107126
-1.466951,25,240.317207
-4.445602,180,241.577095
-4.314733,180,242.974938
-3.574656,180,244.253472
1.138062,26,244.457266
-4.706055,180,245.869134
-1.293112,9,245.924603
-4.57106,180,247.304179
-5.380388,180,248.651842
-4.106511,180,249.914484
-4.75461,180,251.272071
-4.895618,180,252.533193
-5.580682,180,253.795141
1.985411,17,253.915402
-4.562906,180,255.293821
-4.765468,180,256.721903
-5.260904,180,257.850216
4.542636,18,258.036799
-5.488853,180,259.400591
-4.162749,180,260.689704
-5.281564,180,262.238341
-4.696667,35,262.49046
-4.393036,180,263.790702
-5.703944,180,265.119829
-5.154845,180,266.418676
-8.044834,134,267.464388
1.527628,13,267.533522
-4.31891,180,268.82533
2.221698,16,268.911
-4.426257,29,269.141622
-0.219094,17,269.330143
-4.366031,180,270.579901
-4.630072,180,271.863271
-5.50377,180,273.153946
-0.3073,34,273.396507
1.283331,27,273.626851
4.796763,19,273.721381
-4.700281,180,275.111447
-3.960674,180,276.353433
0.991843,15,276.521038
-4.603443,180,277.895833
-6.080445,180,279.118607
-4.598247,180,280.553614
-5.08555,180,281.793638
-4.530769,180,283.202904
5.725944,19,283.455107
-5.56121,180,284.685634
2.602297,23,284.86783
-4.628228,180,286.205852
3.661325,15,286.289854
0.46521,15,286.464353
0.005034,19,286.559705
-3.898269,180,288.014534
-4.636638,180,289.29501
4.056771,15,289.45146
-4.721132,180,290.787255
0.859749,12,290.946013
-5.06028,180,292.371608
-3.950181,180,293.646823
0.040583,12,293.711273
-5.018506,180,295.192615
1.074494,21,295.395783
-0.265808,17,295.496125
-4.635212,180,296.946821
206.546563,23,297.143514
211.232402,26,297.268059
2.037063,15,297.428763
1.827485,12,297.496401
-4.795653,180,298.949639
4.150293,18,299.037988
-5.145061,180,300.470914
0.056822,22,300.672073
-5.203678,180,301.904054
-5.0711,180,303.331885
-4.804938,18,303.523282
-6.628838,180,304.822914
-1.985753,8,304.877041
2.911528,15,305.051147
-4.578583,23,305.25669
5.431565,17,305.339226
-0.309388,14,305.504116
-4.746477,180,306.755246
-4.505523,180,308.064781
-5.444345,180,309.453997
-4.228799,180,310.799184
-5.051147,180,312.127692
0.712889,23,312.24333
3.759871,17,312.4215
0.943334,13,312.494093
-1.460346,26,312.705051
-5.511034,180,314.067303
0.495945,13,314.142134
-4.783547,180,315.424378
-4.957736,180,316.73186
4.055588,22,316.83301
-4.797691,180,318.287559
3.709997,15,318.365453
2.310491,17,318.53229
3.013924,26,318.733658
0.122226,11,318.795205
-5.286931,180,320.226685
-4.660964,180,321.540209
2.66503,14,321.704894
-3.838823,180,323.045286
210.781883,26,323.265286
-6.252963,180,324.679092
-1.356272,24,324.801902
-3.841625,180,326.184731
-2.090091,24,326.396221
-4.982517,180,327.805839
-0.591864,32,328.054626
-5.357328,180,329.388437
-3.456956,180,330.737216
202.428018,30,330.966792
-4.253196,180,332.356714
-4.82295,180,333.546711
6.405901,22,333.727224
-108.499845,180,334.997626
-4.429196,180,336.422501
2.473265,19,336.540482
0.570757,12,336.68513
0.093699,30,336.92311
0.477468,16,336.999924
4.522027,18,337.193698
2.191619,13,337.266452
-45.177982,180,338.692577
6.215313,22,338.889068
-1.307095,26,339.021941
-3.694512,180,340.516296
-3.254857,180,341.741463
-42.873505,180,342.928842
-4.557332,180,344.236993
-4.014457,180,345.442204
-2.513755,31,345.684435
4.774504,22,345.891063
-4.252339,180,350.259771
-3.616209,180,351.601032
6.012941,20,351.729566
-3.109926,180,353.043993
6.783709,20,353.232603
1.12996,15,353.311649
1.133219,19,353.49247
1.440158,13,353.573382
-82.567944,180,354.91737
208.165194,33,355.174925
1.909628,14,355.25632
2.405024,28,355.509075
0.916212,12,355.586476
2.184452,15,355.757513
2.748549,17,355.849288
-0.326442,20,356.049014
2.003086,12,356.113611
1.527714,13,356.282838
-4.282643,180,357.639552
-5.34437,33,357.895746
5.137063,17,358.064667
5.914615,22,358.249757
4.977278,23,358.357103
0.255203,22,358.605929
-4.431981,180,360.065821
-3.589458,180,361.334278
2.020134,18,361.518888
2.543695,18,361.609412
203.769205,24,361.792418
-2.075902,24,362.058238
-3.474777,180,363.309895
2.859328,16,363.397499
-8.220431,73,363.957913
201.788275,29,364.183739
-10.730017,90,364.828445
-4.436046,180,366.269075
-4.093004,180,367.730237
211.645359,21,367.92667
-4.998702,180,369.208462
204.152138,37,369.442495
6.556498,21,369.560435
5.216869,17,369.777953
6.229305,20,370.045036
2.87481,17,370.134624
7.124809,21,370.31118
209.238984,28,370.535592
212.658624,25,370.666748
213.21779,26,370.872442
0.602732,180,372.203187
212.655883,25,372.425382
206.959558,30,372.720888
211.199338,23,372.879793
-0.760921,180,374.209285
5.382561,23,374.402009
207.157252,33,374.666357
207.243706,32,374.95568
213.129601,25,375.096949
1.634228,17,375.267211
6.092321,20,375.456686
1.644965,21,375.579415
1.889424,12,375.738974
2.486001,17,375.841725
3.220551,15,376.01645
6.405397,18,376.121895
-2.43876,37,376.402049
210.24931,27,376.632213
207.346716,23,376.849226
211.772571,23,377.041164
4.915486,17,377.129649
-3.933515,27,377.349999
1.283517,32,377.580941
-11.185603,73,378.144314
-4.836623,180,379.413369
210.329779,23,379.616716
5.306114,19,379.726682
1.803202,13,379.892154
-3.915191,34,380.228982
210.272802,24,380.357671
-2.403248,180,381.5667
-9.121612,180,382.823132
211.766697,29,383.047084
-2.781663,180,384.406596
-4.738516,180,385.598312
201.763022,30,385.818915
1.562791,25,386.025496
-5.844059,58,386.434424
204.88154,28,386.70628
6.168476,22,386.90056
-4.930239,180,388.303919
2.943485,18,388.389431
-4.631203,180,389.71109
202.565009,31,390.028724
200.554355,33,390.261914
2.076062,22,390.363172
207.225955,25,390.553303
-10.227967,77,391.161219
2.407775,18,391.24459
-4.464102,180,392.566358
0.385518,20,392.661409
-4.904802,180,394.129362
205.866563,31,394.346849
1.45965,15,394.504519
-3.987858,66,394.960748
-4.243382,180,396.356815
209.873182,28,396.56959
5.326695,18,396.733786
-2.526879,33,396.965209
-10.756886,82,397.468376
205.971651,33,397.707372
-8.973584,69,398.331418
5.417917,18,398.507216
0.486942,32,398.75026
212.970877,22,398.946663
-2.303539,30,399.181296
0.339717,12,399.244738
1.897845,14,399.312647
-4.049612,65,399.819616
-4.026889,180,401.227813
1.339468,13,401.391744
1.080814,12,401.467742
-4.486182,32,401.707557
4.346727,16,401.793111
210.19247,23,401.99453
5.164314,19,402.24607
-6.275001,68,402.749756
-5.662353,65,403.22673
1.376015,13,403.305447
-2.721754,33,403.571386
-4.731731,18,403.765679
-3.681302,16,403.848502
-4.455363,37,404.190895
-108.046987,180,405.405052
207.482733,30,405.627521
209.389356,29,405.858347
202.268413,32,406.098178
206.887056,33,406.383722
-5.175341,30,406.660659
3.281462,19,406.850072
-12.30823,120,407.690076
6.199646,19,407.898242
5.472034,22,408.094241
-4.532834,180,409.303551
210.848611,29,409.525015
0.905853,20,409.710596
208.064858,22,409.819656
-4.405366,23,410.023992
207.896105,31,410.283864
210.902655,28,410.574901
213.616097,24,410.848359
4.212524,20,410.956811
6.925801,19,411.122366
-8.913372,69,411.589927
0.311822,24,411.805647
4.244184,16,411.901739
-4.031341,180,413.209281
3.53153,16,413.292007
6.929302,19,413.470059
1.326188,14,413.614696
-1.359707,31,413.746983
-0.586313,180,415.148303
2.954718,26,415.37941
2.25422,26,415.649511
2.189263,17,415.746431
-7.304544,180,417.036068
1.584738,24,417.241309
204.644844,26,417.360407
0.332021,35,417.680682
206.944645,23,417.794663
-4.620045,180,419.224852
206.741637,31,419.518286
5.827467,20,419.629985
6.44279,20,419.815772
3.159854,19,420.00189
3.390971,25,420.122824
4.098374,20,420.324788
5.75486,22,420.529434
207.576365,31,420.831867
207.172113,39,421.113459
207.53312,34,421.362548
207.999711,32,421.581085
206.685509,34,421.808015
211.852496,25,422.017379
5.534466,21,422.199979
-2.606258,59,422.548943
-1.343169,46,423.103415
2.94379,24,423.319472
-2.405959,49,423.67753
-9.23757,180,425.027534
1.161347,31,425.284144
212.256531,25,425.413021
5.750764,19,425.666202
205.580565,37,425.945367
-5.218335,180,427.314401
5.126961,17,427.394514
207.828517,31,427.69589
209.784744,30,427.926557
212.667719,25,428.148551
206.457185,26,428.353476
205.582293,37,428.597406
2.390396,23,428.799928
6.181772,21,428.916815
3.722823,17,429.079885
-4.2882,38,429.337102
-1.309045,29,429.572433
-0.671098,26,429.790077
202.775082,29,430.136704
203.647732,31,430.446948
4.133452,27,430.656631
-9.891507,112,431.423728
-12.788486,87,432.173376
205.427972,25,432.391454
212.750012,27,432.535249
2.77487,28,432.753185
-3.73376,180,434.099963
212.961801,21,434.292116
208.104711,23,434.427516
6.727,20,434.611784
212.662083,29,434.831911
-5.218962,180,436.180055
206.701123,24,436.376657
5.2383,22,436.558716
210.703993,29,436.765883
5.85548,21,436.876184
213.113629,28,437.111293
3.065866,27,437.345686
4.773478,22,437.587029
4.29025,23,437.795145
5.967789,21,437.914556
5.816134,19,438.090819
209.818718,24,438.307504
2.001163,27,438.457239
0.685865,31,438.712252
1.103463,15,438.873875
3.110025,23,439.094261
4.031595,17,439.182686
-2.404666,47,439.65996
4.511234,21,439.775048
-73.247219,180,441.088357
-6.270999,180,442.360474
206.516128,23,442.611499
0.267299,25,442.827746
-3.104069,180,444.289672
2.566909,17,444.375102
213.48013,25,444.570501
6.383341,21,444.754356
4.222468,19,444.844224
2.510837,27,445.051633
211.387384,21,445.247481
3.234975,15,445.324303
205.985936,25,445.601047
208.847506,29,445.820782
6.900005,24,446.015018
206.86026,33,446.273567
-6.871331,75,446.78022
2.04717,23,446.966881
204.208399,24,447.09539
-4.61432,38,447.542734
-1.758806,29,447.792344
-0.466058,34,448.046385
213.248184,25,448.17439
5.396384,17,448.362428
-4.881688,23,448.560602
207.103841,31,448.776091
5.185123,17,448.858655
210.786813,27,449.066776
4.962194,18,449.263782
207.853952,33,449.544641
211.822528,26,449.708536
212.863563,27,449.930234
3.524175,24,450.13133
0.061305,44,450.426431
3.970018,20,450.633475
210.046425,24,450.831819
0.782725,14,450.913413
-2.917916,54,451.352995
-1.065666,12,451.410224
-4.607658,34,451.737432
4.789151,17,451.916353
5.898491,22,452.042636
209.644039,30,452.28598
-0.749199,20,452.470338
-1.243727,51,452.891325
-7.450946,53,453.253541
206.983556,33,453.500223
5.735768,20,453.680505
5.783981,19,453.865083
-5.780608,64,454.413653
209.242637,27,454.549962
-6.627907,97,455.239441
207.270728,29,455.497996
2.336237,21,455.717589
6.766115,20,455.92515
-4.604476,180,457.238982
213.050573,24,457.438307
7.223836,23,457.649385
-0.425348,33,457.898604
207.921617,31,458.209647
0.698133,15,458.292054
208.866673,28,458.51885
1.612577,14,458.588616
3.148356,25,458.80743
206.572652,22,458.986713
207.854732,32,459.254407
-2.525051,37,459.515925
207.10455,33,459.767817
208.775364,33,460.031277
5.437618,24,460.231566
212.086545,30,460.482588
4.020264,19,460.593843
4.607307,16,460.834553
206.86107,23,461.031277
5.304711,18,461.115873
207.680693,31,461.348202
2.803689,24,461.544556
4.455241,19,461.718205
-1.424848,34,461.974787
206.917276,22,462.083367
2.507557,23,462.266391
213.595207,23,462.449217
1.849171,14,462.52217
6.154421,20,462.757679
-0.598081,48,463.135671
206.072916,39,463.505903
-0.22894,23,463.630532
211.496352,27,463.852676
3.592494,24,464.063777
6.045345,21,464.177675
0.978363,20,464.374629
212.141992,26,464.591229
0.650258,18,464.683046
-5.11368,102,465.521047
4.34272,21,465.634836
-1.094356,32,465.876367
4.227754,21,466.066435
212.788415,27,466.325266
2.808657,22,466.57873
210.047887,33,466.904537
7.26685,23,467.031684
207.648493,28,467.252337
6.562723,19,467.437402
211.842023,20,467.556825
-0.688396,26,467.775818
1.210555,15,467.945683
-4.450273,180,469.273313
-2.12315,22,469.461525
211.776669,25,469.68133
209.231317,30,469.926085
1.581988,40,470.262399
-4.604629,29,470.482743
-4.720467,39,470.743108
-4.265474,31,470.990347
-3.90629,180,472.388788
3.107935,15,472.473238
2.46048,25,472.679201
0.925221,180,473.979463
211.195439,26,474.12417
208.628047,28,474.429689
208.863024,33,474.669372
5.644132,18,474.83887
-2.422815,30,475.083715
0.032607,23,475.198243
4.009092,20,475.38159
-4.224725,180,476.839563
6.461809,20,476.946476
212.005954,19,477.134752
209.572648,29,477.352112
5.064876,23,477.559318
6.11523,21,477.673172
208.063136,31,477.923722
5.284121,25,478.131275
1.096742,34,478.427616
3.326235,18,478.599383
6.1645,21,478.716129
1.411189,28,478.945093
4.128826,24,479.148388
5.701842,19,479.246645
0.506714,31,479.487682
213.273233,25,479.708096
