method,method_variant,task_kind,mode,target_sut,seed,step,scenario_index,scenario_id,selected_reason,visible_target_count_before,collision_offline,critical_offline,cumulative_failures
Nearest-Failure-global,Nearest-Failure-global,failure_discovery,static,SUT-A,0,19,61,cutin:g=27.34067256:dv=-7.24324061:mode=fast_intrusion,baseline,0,False,False,9
Nearest-Failure-global,Nearest-Failure-global,failure_discovery,static,SUT-A,0,20,63,cutin:g=9.59552919:dv=-4.18652379:mode=fast_intrusion,baseline,0,True,True,10
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,1,46,cutin:g=6.70943486:dv=-2.91729013:mode=cutin_braking,baseline,0,True,True,1
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,2,24,cutin:g=9.59552919:dv=-4.18652379:mode=fast_intrusion,baseline,0,True,True,2
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,3,90,cutin:g=16.49597243:dv=-6.90050321:mode=lead_braking,baseline,0,True,True,3
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,4,78,cutin:g=9.24356895:dv=-6.31850763:mode=lead_braking,baseline,0,True,True,4
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,5,3,cutin:g=14.32100685:dv=-7.53667253:mode=fast_intrusion,baseline,0,True,True,5
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,6,21,cutin:g=16.47446283:dv=-5.55743275:mode=fast_intrusion,baseline,0,False,False,5
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,7,37,cutin:g=6.29952164:dv=-5.50697740:mode=cutin_braking,baseline,0,True,True,6
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,8,40,cutin:g=10.19486166:dv=-3.46436394:mode=cutin_braking,baseline,0,True,True,7
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,9,47,cutin:g=13.45524140:dv=-4.85867567:mode=cutin_braking,baseline,0,True,True,8
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,10,61,cutin:g=13.56123961:dv=-7.20768009:mode=lead_braking,baseline,0,True,True,9
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,11,87,cutin:g=9.49027769:dv=-5.93436483:mode=lead_braking,baseline,0,True,True,10
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,12,66,cutin:g=7.07997788:dv=-5.21698626:mode=lead_braking,baseline,0,True,True,11
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,13,9,cutin:g=17.79689663:dv=-5.16711531:mode=fast_intrusion,baseline,0,False,False,11
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,14,19,cutin:g=18.25243168:dv=-4.45179359:mode=fast_intrusion,baseline,0,False,False,11
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,15,2,cutin:g=7.86307343:dv=0.90561993:mode=fast_intrusion,baseline,0,False,False,11
DETOUR-within-SUT-static,DETOUR-within-SUT-static,failure_discovery,static,SUT-A,0,16,72,cutin:g=11.37544668:dv=-3.29333447:mode=lead_braking,baseline,0,False,True,11
