seed,target_profile,strategy,case_dir,estimate,variance,ci95_half_width,relative_half_width,mean_weight,max_weight,ess,events
20260915,SUT-E,Uniform-QP-H,seed_20260915\target_SUT-E,0.2120153995584717,0.18339921897941214,0.060576502923271096,0.28571746698316935,0.9203148713160864,1.9920224604199488,171.96724353694307,53
20260915,SUT-F,AdaTE-QP-H,seed_20260915\target_SUT-F,0.5084064592627969,0.5776889262435745,0.10751089525837301,0.21146642277965294,1.0031981259294636,5.868427929747023,145.51014772302898,97
20260915,SUT-F,Equal-Mixture-H,seed_20260915\target_SUT-F,0.47361493178130515,0.3683916238360905,0.08585395976261341,0.18127376060486422,0.9788232651146386,3.207144336303841,167.8426279640927,95
20260915,SUT-F,NDE-phi-H,seed_20260915\target_SUT-F,0.515625,0.25106348167539266,0.07087567868591088,0.13745586169388777,1.0,1.0,192.0,99
20260915,SUT-F,Single-SM-0,seed_20260915\target_SUT-F,0.4895838432041118,4.671005042521162,0.3057106898563481,0.6244296949335696,1.0312505098707785,29.447713990825747,37.61723499373996,88
20260915,SUT-F,Single-SM-1,seed_20260915\target_SUT-F,0.7692336417290552,18.87052708829387,0.614465455626498,0.7988021093894504,1.2379836417290553,60.252262912389064,14.837095873402808,102
20260915,SUT-F,Single-SM-2,seed_20260915\target_SUT-F,0.3617578886337148,0.25524489977167386,0.07146345245133982,0.19754497330035456,0.8825912219670481,3.0685965094815866,165.1488602615538,92
20260915,SUT-F,Uniform-QP-H,seed_20260915\target_SUT-F,0.4590310945841656,0.25265518553567745,0.07109999416732052,0.1548914550804662,0.9069477612508323,1.802276317692386,173.55648856842103,106
20260916,SUT-C,AdaTE-QP-H,seed_20260916\target_SUT-C,0.3668618914441304,0.3470110848675895,0.08332534702233381,0.22713001531537783,0.9888040312408979,3.2054169456231643,169.92178570665484,73
20260916,SUT-C,Equal-Mixture-H,seed_20260916\target_SUT-C,0.3704241409383739,0.6600144824400282,0.11491644690594799,0.31022936738096185,0.9797991409383738,7.966024593094528,131.3609557774235,75
20260916,SUT-C,NDE-phi-H,seed_20260916\target_SUT-C,0.390625,0.23928337696335078,0.06919293003919098,0.1771339009003289,1.0,1.0,192.0,75
20260916,SUT-C,Single-SM-0,seed_20260916\target_SUT-C,0.27105693717215945,0.2790509405714553,0.07472177885953912,0.2756682032899982,0.9012652705054928,3.2189038353523873,158.93317195189843,71
20260916,SUT-C,Single-SM-1,seed_20260916\target_SUT-C,0.4294152243456582,1.2150819339040724,0.15592230232030305,0.36310380601409054,1.0231652243456582,13.16438768356567,101.16180783925886,78
20260916,SUT-C,Single-SM-2,seed_20260916\target_SUT-C,0.26406941809536383,0.21601200060837597,0.0657422247278915,0.2489581156427205,0.8890694180953638,2.62942241739221,166.84483416801675,72
20260916,SUT-C,Uniform-QP-H,seed_20260916\target_SUT-C,0.3562223047744264,0.2539083691914375,0.07127610600268049,0.20008883511046632,0.9291389714410929,2.6879270589232287,174.03820523826695,82
20260916,SUT-E,AdaTE-QP-H,seed_20260916\target_SUT-E,0.23913834802290446,0.4611677775227183,0.09605830841352067,0.401685088183014,1.0248644708385826,4.9234528900084324,152.0075611699266,41
20260916,SUT-E,Equal-Mixture-H,seed_20260916\target_SUT-E,0.2768644871216462,0.4821445604887264,0.09821867989904941,0.35475362304554064,0.9872328119154451,6.8615510448726456,144.79970685556603,55
20260916,SUT-E,NDE-phi-H,seed_20260916\target_SUT-E,0.2604166666666667,0.19360820244328092,0.06223967746183012,0.23900036145342765,1.0,1.0,192.0,50
20260916,SUT-E,Single-SM-0,seed_20260916\target_SUT-E,0.1800983974051509,0.20560476717651827,0.06413897969714025,0.3561329840867637,0.8964303769108466,3.2189038353523873,159.13948902355864,50
20260916,SUT-E,Single-SM-1,seed_20260916\target_SUT-E,0.5845816157911788,28.45729184607813,0.7545747020807682,1.2907944446038024,1.3189566157911787,73.9158436125853,11.36668394586935,51
20260916,SUT-E,Single-SM-2,seed_20260916\target_SUT-E,0.16228942348410877,0.1514212620556994,0.05504259337062937,0.3391631579492245,0.8897972707714669,2.8434907873375868,168.23950569826044,49
20260916,SUT-E,Uniform-QP-H,seed_20260916\target_SUT-E,0.2812339760998436,0.7811813154315022,0.1250205429236544,0.4445428132739895,1.0243286996804153,10.411185056386396,114.55141124609555,52
20260916,SUT-F,AdaTE-QP-H,seed_20260916\target_SUT-F,0.5359350456590114,0.8848944203041079,0.13306112327141748,0.24827845155712694,1.0307267123256783,9.022385720503044,122.70942946748579,97
20260916,SUT-F,Equal-Mixture-H,seed_20260916\target_SUT-F,0.4969214454716829,0.7176231980412399,0.1198267255421002,0.24113816506421745,1.0021297788050163,7.966024593094528,131.52485657552097,95
20260916,SUT-F,NDE-phi-H,seed_20260916\target_SUT-F,0.5104166666666666,0.2511998254799302,0.07089492112611173,0.1388961720021781,1.0,1.0,192.0,98
20260916,SUT-F,Single-SM-0,seed_20260916\target_SUT-F,0.3536312301773495,0.3043444714032657,0.0780347719417035,0.22066708277594232,0.8952978968440162,3.2189038353523873,158.74389398740215,88
20260916,SUT-F,Single-SM-1,seed_20260916\target_SUT-F,0.5061730331244855,1.0832909973701503,0.14722380029187226,0.2908566649295693,0.980131366457819,13.16438768356567,102.02697700505065,101
20260916,SUT-F,Single-SM-2,seed_20260916\target_SUT-F,0.3762173600731247,0.2549158914845392,0.07141737973901373,0.18983010173994222,0.8918423600731247,2.62942241739221,167.67833417428002,93
20260916,SUT-F,Uniform-QP-H,seed_20260916\target_SUT-F,0.4733458278404099,0.250232782301897,0.07075832756095772,0.1494854784794134,0.9212624945070766,1.484876043141971,176.95155913688478,106
