repeat,random_seed,protocol,variant,target_sut,executions,collisions,critical_events,first_collision_budget,first_collision_censored,invalid_executions,empty_filters,candidate_attempts,precheck_passed,unique_candidates,sem_above_threshold,duplicate_executions,duplicate_execution_ratio,simulation_seconds,simulation_wall_seconds,candidate_generation_seconds,sem_inference_seconds,collisions_per_simulation_minute,wall_seconds
2,20260919,matched_nm100,2SMS+SEM-H,SUT-B,20,15,16,1,False,0,0,1600,1600,1600,457,0,0.0,60.80000000000001,3.0628713000187417,0.08108740000170656,0.5310922999633476,14.802631578947366,3.93390809999255
0,20260917,paper_nm,RMS-H,SUT-C,20,4,6,3,False,0,0,24,24,24,0,0,0.0,120.40000000000002,5.867822999978671,0.0016797999996924773,1.999971573241055e-06,1.9933554817275747,6.083396599991829
0,20260917,paper_nm,2SMS-H,SUT-C,20,1,2,11,False,0,0,21,21,21,0,0,0.0,135.8,6.703595699989819,0.0015225000097416341,2.2000021999701858e-06,0.44182621502209124,6.938092800002778
0,20260917,paper_nm,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,455,0,0.0,36.00000000000001,1.901634899986675,0.09254739998141304,0.6973154000297654,33.33333333333333,2.9771820999885676
0,20260917,paper_nm,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,434,0,0.0,35.800000000000004,1.844721599976765,0.10564949999388773,0.6626922000141349,33.51955307262569,2.886109499988379
0,20260917,matched_nm100,RMS-H,SUT-C,20,4,5,2,False,0,0,900,900,900,0,0,0.0,118.60000000000002,5.567737099991064,0.05582880000292789,2.1400031982921064e-05,2.023608768971332,5.873681099998066
0,20260917,matched_nm100,2SMS-H,SUT-C,20,9,10,3,False,0,0,1100,1100,1100,0,0,0.0,96.40000000000002,4.718035700003384,0.06385859996953513,5.299982149153948e-06,5.601659751037343,5.015499999994063
0,20260917,matched_nm100,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,403,0,0.0,35.80000000000001,1.7849702000239631,0.10279799997806549,0.6697246000258019,33.51955307262568,2.8332743999926606
0,20260917,matched_nm100,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,402,0,0.0,37.000000000000014,1.7855373000202235,0.09091569995507598,0.6238218999642413,32.43243243243242,2.770701100002043
1,20260918,paper_nm,RMS-H,SUT-C,20,3,4,8,False,0,0,24,24,24,0,0,0.0,125.20000000000002,5.590854800015222,0.0016475999873364344,2.2999884095042944e-06,1.437699680511182,5.814957100010361
1,20260918,paper_nm,2SMS-H,SUT-C,20,4,4,1,False,0,0,27,27,27,0,0,0.0,118.00000000000001,5.491603500020574,0.0022001999750500545,2.900022082030773e-06,2.0338983050847452,5.718494300002931
1,20260918,paper_nm,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,428,0,0.0,35.20000000000001,1.8494711999519495,0.09565400001883972,0.664926099969307,34.090909090909086,2.9179634999891277
1,20260918,paper_nm,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,402,0,0.0,36.00000000000001,1.9260678000282496,0.11832679997314699,0.6833711999497609,33.33333333333333,3.024951500003226
1,20260918,matched_nm100,RMS-H,SUT-C,20,8,10,1,False,0,0,1100,1100,1100,0,0,0.0,98.60000000000001,4.742753399958019,0.04840150004019961,1.8199963960796595e-05,4.86815415821501,5.018575599999167
1,20260918,matched_nm100,2SMS-H,SUT-C,20,4,9,1,False,0,0,900,900,900,0,0,0.0,122.20000000000003,5.562128500008839,0.062355500005651265,5.199995939619839e-06,1.963993453355155,5.864056099992013
1,20260918,matched_nm100,RMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,407,0,0.0,35.400000000000006,1.8061484999925597,0.10385759999917354,0.6489703999977792,33.89830508474576,2.8372812000015983
1,20260918,matched_nm100,2SMS+SEM-H,SUT-C,20,20,20,1,False,0,0,2000,2000,2000,411,0,0.0,34.800000000000004,1.6776862000115216,0.09702060003473889,0.6358808999357279,34.48275862068965,2.6766558999952395
2,20260919,paper_nm,RMS-H,SUT-C,20,3,4,5,False,0,0,24,24,24,0,0,0.0,122.60000000000001,5.778494600002887,0.0016256999806500971,2.200016751885414e-06,1.468189233278956,6.029483599995729
