build,seed,index,mode,ego_collision,background_collision,near_miss,completed,min_ttc,min_clearance
vi_coarse2,20291118,201,stop_and_go,False,False,False,True,2.273252376770081,1.532564767061059
vi_coarse2,20291118,202,stop_and_go,False,False,False,True,inf,1.9947154763509904
vi_coarse2,20291118,203,stop_and_go,False,False,False,True,3.7132359138087287,1.9709393847455374
vi_coarse2,20291118,204,stop_and_go,False,False,False,True,950.6368714160054,1.9999266938925362
vi_coarse2,20291118,205,stop_and_go,False,False,True,True,1.1694736188591992,1.3237413413520418
vi_coarse2,20291118,206,stop_and_go,False,False,True,True,inf,0.473564273864028
vi_coarse2,20291118,207,stop_and_go,False,False,False,True,12.268011992522897,1.993791355000032
vi_coarse2,20291118,256,slow_lead_following,False,False,False,True,8.673969549365195,1.9978813841535166
vi_coarse2,20291118,257,slow_lead_following,False,False,False,True,3.0989220063375713,1.7174917727626342
vi_coarse2,20291118,258,slow_lead_following,False,False,False,True,inf,2.0031530573228906
vi_coarse2,20291118,259,slow_lead_following,False,False,False,True,2.637524789698551,1.9367728869518819
vi_coarse2,20291118,260,slow_lead_following,False,False,False,True,inf,10.15186656682053
vi_coarse2,20291118,261,slow_lead_following,False,False,True,True,0.9379816113366325,1.2250071736303596
vi_coarse2,20291118,262,slow_lead_following,False,False,False,True,inf,1.6122576029808258
vi_coarse2,20291118,263,slow_lead_following,False,False,False,True,2.9778715270084,1.9669829069957974
vi_coarse2,20291118,264,slow_lead_following,False,False,False,True,inf,2.1298497888821206
vi_coarse2,20291118,265,slow_lead_following,True,True,False,False,0.7668229904459957,0.0
vi_coarse2,20291118,266,slow_lead_following,False,False,False,True,12.218851321681592,1.9903563626136858
vi_coarse2,20291118,267,slow_lead_following,False,False,False,True,11.74018073955078,1.9931865499335863
vi_coarse2,20291118,268,slow_lead_following,False,False,False,True,inf,2.0000000050529874
vi_coarse2,20291118,269,slow_lead_following,False,False,False,True,1.8062082922645253,1.585713904479107
