task_id,target_build,method,repeat,budget,effective_horizon,candidate_count,actual_queries,valid_results,failure_detected,first_failure_rank,failure_count,failure_pool_count,failure_recall,early_failure_recall_auc_20
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,20,20,104,20,20,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,20,20,104,20,20,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,20,20,104,20,20,True,15,2,4,0.5,0.1375
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,20,20,104,20,20,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,20,20,104,20,20,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,5,20,104,5,5,True,3,1,4,0.25,0.15
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,10,20,104,10,10,True,3,1,4,0.25,0.2
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,20,20,104,20,20,True,3,2,4,0.5,0.25
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,5,20,104,5,5,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,10,20,104,10,10,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,20,20,104,20,20,True,11,1,4,0.25,0.125
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,1,20,104,1,1,False,,0,4,0.0,0.0
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,5,20,104,5,5,False,,0,4,0.0,0.0
