#{"t_start": 1784480289.034111, "env_id": "None"}
r,l,t
-5.281134,180,51.991419
-5.391601,20,52.245746
-5.441033,26,52.368922
-5.027711,9,52.492932
-5.149062,12,52.561569
-6.245109,58,53.033524
-5.056645,11,53.099678
-4.865739,20,53.273042
-5.182725,15,53.354121
-1.035993,11,53.498352
-6.354025,180,54.859281
-4.43576,11,55.004174
-5.123366,11,55.065119
-5.348898,13,55.134853
-4.178788,10,55.279251
-3.562919,180,56.618107
-5.268375,14,56.784018
-5.04758,180,58.049272
-5.478174,180,59.538813
-5.218293,17,59.708701
-5.262723,11,59.770943
-0.424952,12,59.830619
-4.757417,18,59.987134
-5.053703,14,60.06198
-3.578026,180,61.34777
-4.778167,14,61.415308
-7.127876,71,61.965182
-5.336195,22,62.07988
-4.698147,180,63.391037
-4.696674,18,63.492573
-5.201792,12,63.65266
-5.371764,23,63.932745
-5.025771,9,64.000818
-5.238876,22,64.261353
-5.401079,180,65.589842
-4.36448,20,65.81374
-5.103331,16,65.901393
-5.397704,180,67.406496
-5.155885,15,67.476835
-9.058192,145,68.535005
0.849561,18,68.645323
-4.549306,180,69.973627
-5.078071,15,70.160133
-6.31047,180,71.523807
-5.129828,25,71.733908
-2.306941,27,71.954043
-5.871107,180,73.126621
-5.029862,10,73.265679
-5.361458,16,73.361593
-5.264518,19,73.552008
-1.139866,11,73.616418
-5.340861,180,75.024661
-3.998796,12,75.107548
-4.635625,180,76.513094
-5.424554,15,76.596176
-5.205955,180,77.949286
-3.26687,24,78.189239
-1.431792,180,79.368202
-5.604468,180,80.79436
-3.715902,180,82.194848
-4.485914,180,83.402792
-4.265141,13,83.559433
-5.196496,180,84.832326
-4.323685,180,86.182297
-5.382914,32,86.41795
-3.913649,180,87.601468
-1.551797,12,87.762324
-0.125331,180,89.005279
-5.306709,15,89.170302
-4.197362,10,89.22476
-6.029649,180,90.678651
-5.127424,14,90.751611
-5.269286,15,90.911508
-4.619704,30,91.12975
-7.771457,100,91.848277
-5.12881,10,91.90806
0.040267,180,93.320995
-1.72864,180,94.723718
-4.836927,180,96.097916
-2.62684,180,97.468412
-2.910098,180,98.803019
-5.556129,180,100.239858
-5.935234,93,100.921355
-5.523875,180,102.150685
-5.266403,180,103.501425
-5.197398,180,104.810535
-4.836159,180,106.009187
-4.961911,180,107.416558
-5.365819,14,107.491508
-4.503341,180,108.829669
0.625635,180,110.124836
-5.304532,15,110.203196
-3.616334,38,110.543006
-5.225027,180,111.86829
-4.523602,180,113.196072
2.807971,180,114.548343
-1.308814,29,114.831688
-5.272179,17,114.988604
-4.113717,180,116.214006
-5.225656,180,117.55745
-2.146312,11,117.617986
-5.188943,13,117.773837
-3.904377,180,119.064174
2.694743,32,119.465999
-5.020173,18,119.742401
-5.480839,180,121.158442
-5.14213,180,122.477309
-4.352356,51,122.897924
-5.909728,180,124.193232
-5.533436,28,124.436763
-5.576161,180,125.824245
-5.686106,180,127.118587
-3.072215,27,127.329154
-5.537211,180,128.750862
-5.737018,180,129.961165
-5.998969,180,131.362156
-4.429523,180,132.718585
-1.569241,21,132.838192
-2.05878,180,134.289203
-5.6933,180,135.583642
-0.134645,25,135.717943
-9.461645,164,136.911646
-1.396144,24,137.124716
-0.865105,180,138.396092
-4.770734,180,139.684816
-4.211659,180,140.935594
-4.784961,30,141.187681
-4.750605,180,142.500931
-5.607101,93,143.161732
-4.978824,180,144.57132
-3.602098,180,145.90573
-4.267569,180,147.152362
-3.025843,180,148.544197
-3.544667,180,149.903416
-4.75701,180,151.291066
-5.04078,180,152.888035
-5.561112,180,154.247371
-5.099858,180,155.581805
-4.665684,180,156.914338
-0.437036,180,158.103746
-4.132661,20,158.300297
-4.572217,180,159.648774
-5.626875,180,167.728287
-5.802919,180,168.996326
-4.045478,180,170.195923
3.542374,180,171.5539
-5.266811,180,172.942254
-5.598359,180,174.305787
-4.444277,180,175.773784
-5.051016,26,175.997172
-4.049836,180,177.237976
-6.099426,180,178.61086
-2.67263,180,179.901775
-3.121723,18,180.010302
-5.105843,180,181.444372
-5.638343,180,182.717231
-3.720555,180,184.114704
0.12987,180,185.531801
-5.425542,180,186.761878
-5.397157,180,188.132643
-4.649769,180,189.292564
-6.239232,180,190.793789
-5.32168,180,192.154627
-0.385755,180,193.436431
-3.271667,180,194.824544
-5.220343,180,196.135023
-4.498546,180,197.46297
10.486747,180,198.908989
-5.489417,180,200.120832
-5.361717,180,201.527606
-5.946449,180,202.946501
-2.982892,180,204.17349
-3.769635,180,205.649615
-3.748478,23,205.850607
-5.207816,180,207.055045
-5.341365,180,208.481172
-5.246547,180,209.76529
-5.882934,180,211.125866
-3.372895,180,212.429304
-2.758585,180,213.697338
-3.329931,180,215.046364
-5.185608,180,216.425243
-6.117409,180,217.809832
-3.921066,180,219.189044
-5.158523,180,220.643512
-5.272435,180,221.769579
-5.628652,180,223.227441
-3.760784,180,224.595886
-5.005128,180,225.955254
-2.736577,180,227.398895
-5.96012,180,228.633147
3.904719,180,229.998879
-5.4112,180,231.461634
-5.619407,180,232.794504
0.49746,180,234.136085
-4.346046,180,235.352029
-5.423642,180,236.789551
-2.280275,180,238.166712
-5.159906,180,239.377462
-2.355337,180,240.853919
-5.553237,180,242.157007
-2.855274,180,243.579806
7.395938,180,244.88284
-5.015832,180,246.252805
-5.100724,180,247.585392
-5.519548,180,249.031895
-3.532086,180,250.246943
-5.841676,180,251.685313
-5.755753,180,252.996344
-4.83131,180,254.267528
-4.710265,180,255.614577
-5.547396,180,256.903709
-5.557657,180,258.168072
-4.80926,180,259.587795
-5.021751,180,260.80238
-5.16175,180,262.126419
-5.655029,180,263.482249
-5.703449,180,264.712503
-4.887109,180,266.204479
-1.807997,180,267.449948
-2.305227,180,268.805783
-4.227657,180,270.203066
-4.817542,180,271.545734
-5.476754,180,272.861081
-4.440328,180,274.22857
-0.147167,180,275.559369
-4.918796,180,276.816701
-5.110141,180,277.999564
-5.124456,180,279.418374
-2.77383,180,280.853803
-4.896405,180,282.057289
-5.124601,180,283.483968
-5.225998,180,284.786319
-5.302566,180,285.955388
-5.884313,180,287.473207
3.440284,180,288.800658
0.129219,180,290.144335
-4.314955,180,291.484382
-3.00939,180,292.764411
-4.48493,180,294.113497
-4.4587,180,295.434494
-5.64322,180,296.765416
-5.025374,180,298.0765
-0.991447,180,299.417641
-3.882626,180,300.720932
4.060696,180,302.141877
-3.714211,180,303.471832
-4.59003,180,304.853515
-4.765961,180,306.082321
-3.735,180,307.302393
-3.984554,180,308.63133
-5.126137,14,308.715978
-5.827209,180,310.161677
-0.686858,180,311.571437
-4.917817,180,312.762165
-5.17986,180,314.056875
-4.970432,180,315.404977
-4.97324,180,316.858524
1.421804,180,318.136999
-2.540541,180,319.484966
-4.234991,180,320.949881
-5.205659,180,322.233807
-5.098281,180,323.607936
0.427591,180,324.958861
-2.992083,180,326.176726
-4.90392,180,327.578645
-2.944271,180,328.952187
-5.244135,180,330.176775
-4.663003,180,331.638076
0.65061,180,333.09109
-4.739375,180,334.371649
0.33217,180,335.734019
-3.062174,180,336.940262
-0.907466,180,338.216034
-5.041006,180,339.543852
-5.930943,180,340.772032
-2.639273,180,342.091438
-5.111532,180,343.372611
-3.398642,180,344.662051
3.155557,180,345.992052
-4.810916,180,347.367467
-6.395959,180,348.678689
-2.276414,180,350.06724
-5.381939,180,351.326194
-3.26193,180,362.883473
-5.824288,180,364.441635
-0.055327,180,365.646333
-0.508478,180,366.952267
-5.178604,180,368.321772
-5.608296,180,369.645162
-1.488196,180,371.063734
-3.455079,180,372.369825
-5.374724,180,373.663692
-4.485831,180,374.968318
4.993155,180,376.14617
-3.500213,180,377.55344
3.728202,180,378.904995
4.119611,180,380.100788
-4.808583,180,381.527846
-5.054585,180,382.882032
-4.276981,180,384.114424
-4.411845,180,385.406019
-5.884762,180,386.590048
1.892801,180,387.955581
0.851603,180,389.415991
-5.53132,180,390.78171
-2.470529,180,392.102727
0.64203,180,393.324603
-0.468689,180,394.643394
-5.365797,180,396.063097
-4.43367,180,397.28301
-4.399731,180,398.564372
4.613764,180,399.962159
-1.431912,180,401.264888
-4.559325,180,402.567566
-4.916737,180,403.969695
-5.255748,180,405.431841
-5.294102,180,406.713677
-4.21004,180,408.063304
5.455005,180,409.334996
-3.352225,180,410.577767
-4.834117,180,411.854919
-3.311912,180,413.112238
-4.530653,180,414.294739
-4.846209,180,415.794873
-4.890889,180,417.094442
-4.945668,180,418.341122
-5.211673,180,419.72906
-3.161589,180,421.012371
-5.267318,180,422.409027
-5.37183,180,423.713011
-4.981955,180,425.018293
-5.495182,180,426.386302
-2.118357,180,427.782697
-5.341354,180,429.071612
-5.044021,180,430.353642
-5.045911,180,431.723285
-5.250799,180,433.008066
-5.177264,180,434.31367
-4.739752,180,435.695702
-5.05284,180,437.089289
-3.311837,180,438.377156
-1.429848,180,439.615072
-3.562383,180,440.913253
1.687012,180,442.197331
-4.441151,180,443.594358
-3.605869,180,444.956133
-4.98065,180,446.227558
-5.16401,180,447.65328
-3.891392,180,448.948625
-2.196259,180,450.134872
-3.103771,180,451.553904
-3.036287,180,452.98745
-4.849085,180,454.232249
-2.715795,180,455.679749
-1.686465,180,456.970366
-5.158914,180,458.308742
-3.155572,180,459.740457
-4.92625,180,460.952983
-3.655459,19,461.144377
1.271736,180,462.40439
-5.418332,180,463.69558
-2.691358,180,465.121657
-4.765198,180,466.503165
-2.42438,180,467.94818
-4.811254,180,469.336202
-5.353247,180,470.541794
0.924878,180,472.067583
-5.260836,180,473.478487
-5.597964,180,474.76462
-4.988125,180,476.173886
-4.633292,180,477.422621
-5.046759,180,478.800103
-2.797592,180,480.142548
-4.295994,180,481.389279
-4.216809,180,482.776896
-4.219369,180,484.09137
-4.395821,180,485.36841
2.497066,180,486.650362
-1.602185,180,487.980928
2.312229,180,489.564225
0.389312,180,490.866608
-5.51584,180,492.272895
-4.865219,180,493.545948
-4.949191,180,494.931554
0.331909,180,496.270905
-5.274825,180,497.698944
-0.881758,180,499.063938
-5.254245,180,500.479373
-4.75268,180,501.910073
2.076972,180,503.095114
-5.590637,180,504.545396
-4.975547,180,505.997686
-5.739118,180,507.34946
-4.273577,180,508.74165
-4.761347,180,509.941303
-3.529097,180,511.233037
-0.307149,180,512.805937
3.035807,180,514.03402
-1.24877,180,515.417133
-5.432386,180,516.789528
-4.894896,180,517.985531
-3.21231,180,519.24317
-3.316268,180,520.442064
3.855567,180,521.753595
-4.565656,180,523.137318
-0.801951,180,524.464257
-5.393156,18,524.637398
-4.345737,180,526.03734
-5.063051,180,527.455093
-3.249276,180,528.799706
-2.273949,180,530.177741
-4.439344,180,531.507728
-5.032818,180,532.856663
-5.102946,180,534.220063
-5.633072,180,535.519792
-4.720714,180,536.960083
-4.874244,180,538.158029
-5.121584,180,539.527937
-4.802639,180,540.723378
-4.096229,180,542.076564
-1.811637,180,543.454172
-1.73254,180,544.872548
3.766897,180,546.23591
-4.62879,180,558.232089
0.600572,180,559.679646
0.782924,180,560.834184
2.688868,180,562.230812
-4.045918,180,563.529523
5.857945,180,564.770406
1.063576,180,566.158503
-1.772775,180,567.345716
-4.016544,180,568.800535
-4.273152,180,570.216352
-4.615415,180,571.459116
-3.618679,180,572.774872
9.688636,180,574.148273
-2.298918,180,575.453892
-3.571275,180,576.790541
-4.15955,180,578.120958
3.631105,180,579.54784
-4.753242,180,580.748362
-5.241439,180,582.110204
-5.123193,180,583.451697
-4.567629,180,584.809654
-4.936719,180,586.178035
-0.936588,180,587.489447
2.331273,180,588.75546
2.726105,180,590.108298
-5.412487,180,591.384225
-4.851886,180,592.753493
-5.489126,180,594.116988
-2.826605,180,595.409806
-5.079972,180,596.779805
-3.148948,180,598.084668
-3.939565,180,599.334066
-3.868593,180,600.788496
-4.267187,180,602.087779
-2.765262,180,603.317672
-0.740571,180,604.674578
-4.00541,180,605.981871
3.987577,180,607.235544
5.459686,180,608.585395
-2.047634,180,610.025513
4.138888,180,611.347422
-4.47961,180,612.723265
2.167263,180,613.92048
6.166835,180,615.248955
-4.70716,180,616.668714
-2.795975,180,617.848921
-4.780249,180,619.155823
-4.310466,180,620.428318
-2.752605,180,621.784684
-3.857549,180,623.068867
-3.680863,180,624.334161
-2.803621,180,625.645009
8.896228,180,626.968753
-4.266763,180,628.327459
-4.341323,180,629.666784
-1.994655,180,630.882976
-3.652553,180,632.328066
-2.782526,16,632.495433
2.980833,180,633.772586
-3.895185,180,635.150978
-4.571173,180,636.346554
3.805585,180,637.691961
1.113033,180,638.976049
-4.930193,180,640.357029
-2.341511,180,641.696533
-3.96282,180,643.051461
6.335822,180,644.437987
-2.524735,180,645.714729
-4.39673,180,646.989885
-4.704359,21,647.184905
-2.363425,180,648.561929
-0.598447,180,649.791626
-4.264479,180,651.164307
215.793575,43,651.526364
8.395184,180,652.771295
-3.013696,180,654.078201
-5.125112,18,654.167685
-4.979747,180,655.447268
-4.789262,180,656.78379
-4.742572,180,658.039202
1.643147,180,659.35056
-3.89142,180,660.719649
-4.871519,180,661.975256
5.920378,180,663.402698
-2.048797,180,664.614166
-3.993155,180,665.893267
-3.120276,17,665.981285
-4.187972,180,667.277118
-4.778589,180,668.706116
-4.077733,180,670.062152
-4.831388,180,671.423511
-4.125096,180,672.739369
-2.871412,180,674.105447
-0.684293,180,675.466503
-2.888126,180,676.684692
-3.379075,180,678.040859
214.338052,37,678.355937
1.074031,180,679.754978
-3.611304,180,681.068727
5.695513,180,682.445455
-2.381935,180,683.756886
213.945281,36,684.012578
7.991977,180,685.364105
-1.782658,180,686.73853
-1.633027,180,688.071351
-4.016087,180,689.291423
-2.945002,180,690.547031
10.665625,180,691.744231
-4.034712,180,693.074216
-3.765199,180,694.533788
-3.489376,180,695.834958
-3.327186,180,697.077244
3.601454,180,698.418778
13.892361,180,699.715607
10.586045,180,701.116913
-3.744561,180,702.387851
-3.088613,180,703.799818
-3.328948,180,705.101064
-2.613633,180,706.348868
-2.845119,180,707.765879
-3.169182,180,709.215374
-3.05281,180,710.495311
6.676743,180,711.84346
-3.285049,180,713.152071
11.672145,180,714.566909
0.870246,180,715.907912
215.765001,42,716.215591
2.518718,180,717.591296
214.575439,35,717.832107
-4.523351,180,719.043968
4.572392,180,720.443171
-1.755191,180,721.82127
8.978651,180,723.116
6.966602,180,724.450147
-3.764099,17,724.540743
11.553756,180,725.887219
-3.515411,180,727.157222
6.876687,180,728.405801
15.195369,180,729.839075
-3.933714,180,731.22457
-2.974242,180,732.483032
215.330731,38,732.758696
-2.698691,180,734.136812
7.582538,180,735.718671
9.047495,180,736.901813
-4.131126,180,738.337481
14.460503,180,739.755176
218.642156,110,740.567786
213.654088,38,740.832699
217.841116,85,750.449798
10.168311,180,751.850619
-3.714708,180,752.98561
-0.980897,180,754.469244
-3.721213,180,755.791095
-4.098374,180,757.043327
16.97223,180,758.453621
-3.80066,180,759.969541
9.470291,180,761.182117
214.671773,42,761.47485
10.44429,180,762.855444
0.710677,180,764.156776
8.146416,180,765.379818
4.025585,180,766.817597
-0.22573,180,768.134555
-2.734958,180,769.387191
12.040752,180,770.706391
5.807087,180,772.003263
16.56312,180,773.282079
0.746931,180,774.680076
214.885342,49,775.0127
-3.388371,180,776.33778
-2.338569,180,777.711252
-3.122613,180,778.98267
-4.782962,17,779.163766
212.404312,40,779.501396
4.797808,180,780.894805
-2.271454,180,782.172465
-2.391106,180,783.590869
-3.789321,19,783.690747
8.912125,180,785.036062
-2.804056,180,786.416096
-1.938512,180,787.787629
-0.221364,180,789.195801
19.512928,180,790.626867
17.512029,180,792.076411
5.175237,180,793.399229
-1.671618,180,794.677966
1.267109,180,796.003018
-2.797493,180,797.16422
0.039429,180,798.481848
-3.063926,180,799.805279
-2.660047,180,801.030865
10.671874,180,802.464103
213.392328,35,802.715119
9.70211,180,804.089961
-1.976257,24,804.306406
3.109739,180,805.588351
-2.307841,180,806.980461
9.97025,180,808.240454
3.891492,180,809.673274
-4.971065,17,809.834523
5.208198,180,811.015162
2.596069,180,812.316641
18.606518,180,813.581559
17.00415,180,815.041122
-0.046264,180,816.458033
5.9484,180,817.64464
-2.567473,180,819.080431
213.12201,40,819.400913
2.182168,180,820.687571
2.314139,180,821.983071
-1.130349,180,823.432879
16.207256,180,824.761074
6.752679,180,826.084317
4.006935,30,826.323238
17.33079,180,827.597572
-4.894682,18,827.694159
-2.028072,21,827.879449
-2.659752,180,829.138571
4.650726,180,830.557875
5.045784,180,831.901569
213.028947,47,832.234857
4.216357,180,833.587447
211.271712,35,833.840183
-1.183786,180,835.221781
11.696156,180,836.607575
3.03946,180,838.033119
211.524231,35,838.274316
-1.876278,180,839.56213
-1.761638,180,840.746423
-2.097053,180,842.122458
16.488228,180,843.603392
210.259625,38,843.876476
17.481626,180,845.068392
16.232303,180,846.487859
-1.824358,180,847.838682
217.812095,92,848.51918
-1.94946,180,849.789087
18.64601,180,850.662542
7.52565,180,851.201896
14.106871,180,851.814592
16.828149,180,852.437381
17.737915,180,853.014602
9.083578,180,853.580996
-4.43547,24,853.694218
5.770728,180,854.730849
3.299656,180,855.953899
213.558213,31,856.199973
9.953972,180,857.597524
12.405972,180,858.863133
1.059199,180,860.373482
4.56751,180,861.658071
9.854247,180,863.040429
16.659188,180,864.454956
-1.600582,180,865.68985
-1.560216,180,867.071793
17.588434,180,868.482517
5.839397,180,869.86728
2.264971,23,870.055981
-1.084578,180,871.350781
-1.946017,180,872.586803
11.329061,180,874.074155
3.905123,180,875.307561
-1.800694,180,876.823654
10.742656,180,878.11529
8.674613,180,879.542742
212.782371,32,879.780329
2.094911,23,879.980158
12.065696,180,881.308537
2.750954,26,881.451091
-4.76707,26,881.65803
4.757264,24,881.869986
4.837453,24,882.084831
-1.123812,180,883.306543
215.566093,32,883.584463
-1.479596,180,884.943183
-4.834268,19,885.129505
8.061934,180,886.517799
8.850025,180,887.909449
-1.310681,12,887.987438
-1.255636,180,889.410209
9.564194,180,890.701561
3.715583,180,892.131768
11.121072,180,893.429187
3.356586,180,894.598389
214.015826,35,894.846032
213.942186,31,895.101589
5.088459,180,896.440086
5.142937,180,897.885741
-1.402264,180,899.15973
-1.176587,180,900.597817
5.059649,180,901.928679
-3.356986,29,902.076839
4.798026,180,903.469241
211.55925,36,903.772694
-1.25674,180,905.088547
-0.964293,180,906.327741
1.042961,19,906.559091
11.001988,180,907.862097
6.794552,180,909.10167
214.763581,34,909.360871
1.665693,180,910.8076
9.949646,180,912.03282
4.537528,180,913.266964
-0.493186,180,914.620281
-4.979564,17,914.706905
-0.863087,180,916.050358
6.244435,180,917.437164
2.856767,180,918.678314
3.35361,180,919.943506
-4.933484,20,920.140523
-0.765743,180,921.417165
210.05971,32,921.650724
19.538537,180,922.956183
7.181802,180,924.388942
5.198385,180,925.747983
5.229892,180,927.190391
213.320032,35,927.448743
4.950399,180,928.688947
7.908963,27,928.906252
3.082912,180,930.169628
0.111984,180,937.506382
1.472429,23,937.703796
-0.456899,180,939.072587
10.521286,180,940.446059
12.810826,180,941.739623
-4.875137,18,941.836596
-0.525416,180,943.224173
-0.532689,26,943.449406
4.859033,180,944.768328
12.201483,180,946.096631
-4.523241,21,946.304934
11.364517,180,947.656252
-4.20413,19,947.851388
212.487525,35,948.137022
-3.938899,17,948.25365
10.524711,180,949.612343
-4.712553,16,949.782444
-0.260889,180,951.112939
5.217475,180,952.5517
4.654937,180,953.863457
-0.324165,180,955.094279
12.382351,180,956.636297
0.805442,180,957.887576
9.224007,180,959.356211
7.97875,180,960.693264
8.393277,180,962.078191
4.946666,180,963.434216
3.311384,28,963.705493
4.027245,29,963.938175
15.365414,180,965.241724
13.084421,180,966.466007
0.653422,180,967.827795
2.474076,180,969.227433
14.667197,180,970.671697
0.000728,180,971.84848
11.396782,180,973.191958
-0.953118,180,974.489784
6.066724,180,975.909638
3.144031,180,977.209256
3.542026,180,978.386757
3.744388,180,979.709091
5.538692,180,981.092931
8.244701,180,982.448509
210.915011,37,982.813858
214.465624,36,983.069629
19.664614,180,984.459441
7.560618,180,985.736535
213.603483,36,986.008355
-4.736206,31,986.237826
213.606479,34,986.554241
0.413001,180,987.874139
213.685782,35,988.144324
213.897087,33,988.411343
213.54217,33,988.660227
7.57079,180,989.919197
4.449501,180,991.335998
10.020058,180,992.745907
12.659602,180,994.063086
1.428408,180,995.443991
17.966928,180,996.90062
215.060214,35,997.170443
3.174054,180,998.48981
10.499819,180,999.827098
12.292711,180,1001.209155
5.743069,180,1002.623751
214.549283,33,1002.862274
214.06233,35,1003.104505
8.778343,180,1004.403971
5.199337,180,1005.680591
9.977022,180,1007.05119
2.35193,180,1008.361387
8.611001,180,1009.629162
3.334009,180,1011.117991
214.344119,38,1011.39903
10.208744,180,1012.705753
4.681019,180,1014.01318
214.224285,37,1014.374748
213.585172,36,1014.729472
8.401734,180,1016.04078
3.613011,180,1017.637252
10.520354,180,1018.87944
9.89478,180,1020.128353
213.587306,38,1020.407975
211.626241,35,1020.755821
211.769807,37,1021.02717
212.839179,31,1021.265487
4.336189,180,1022.593789
-0.300952,180,1023.943803
212.965818,34,1024.189843
6.896282,180,1025.530017
211.557191,35,1025.777572
213.1189,34,1026.035627
209.293985,35,1026.304547
214.261568,30,1026.56898
4.249913,180,1027.869702
210.337947,37,1028.224515
211.652913,36,1028.488316
212.656309,34,1028.722041
213.65324,36,1028.960063
213.862104,34,1029.202769
6.895181,180,1030.544645
212.781601,35,1030.797335
213.310788,37,1031.056749
7.210507,180,1032.495474
6.456004,180,1033.772049
4.205884,180,1035.083876
9.955491,180,1036.435044
212.249773,32,1036.673573
-2.265882,30,1036.931525
0.739017,27,1037.157595
8.694666,180,1038.55996
213.342745,30,1038.796696
210.894485,34,1039.043677
212.171034,33,1039.297914
10.827379,180,1040.541436
0.20464,180,1042.096007
212.467936,35,1042.331349
16.592559,180,1043.724777
2.554007,180,1044.996002
6.003061,180,1046.32667
7.712177,180,1047.610987
15.556288,180,1048.833314
210.475405,40,1049.116364
19.560392,180,1050.408843
210.222376,33,1050.714515
15.297409,180,1052.22052
0.827063,25,1052.458755
13.402896,180,1053.707101
3.12853,180,1055.118245
214.969141,33,1055.358532
6.669507,26,1055.563767
4.41884,28,1055.788638
210.72927,35,1056.045584
5.554225,180,1057.332508
209.656347,32,1057.626699
212.330869,33,1057.859594
209.577923,34,1058.111674
9.552047,180,1059.40887
2.091287,32,1059.743016
214.921132,30,1059.975362
7.133895,180,1061.281147
212.577411,37,1061.518157
0.619211,32,1061.792862
214.353058,33,1062.118073
211.221277,32,1062.376976
3.119384,180,1063.573771
7.306041,24,1063.791127
2.198862,180,1065.118247
212.118368,32,1065.363762
7.226348,180,1066.741703
212.268463,31,1066.969364
213.570416,29,1067.210927
212.276025,31,1067.46434
213.651635,34,1067.723922
14.629021,180,1069.098647
214.941176,51,1069.438198
11.508713,180,1070.745386
2.305231,24,1070.953022
4.633416,28,1071.172665
-1.995753,29,1071.420622
6.60078,180,1072.728534
207.476231,32,1072.946966
-1.706436,17,1073.106817
208.814279,36,1073.342852
-2.542364,20,1073.525759
5.931477,180,1074.923938
209.29828,30,1075.154437
211.563621,29,1075.370281
211.823726,33,1075.607129
5.256666,180,1076.968847
6.760102,180,1078.241842
212.80448,32,1078.489079
205.540223,31,1078.734547
212.653724,80,1079.402867
