task_id,target_build,method,repeat,budget,actual_queries,candidate_count,failure_pool_count,failure_count,first_failure_rank,first_failure_censored,failure_recall,history_record_count,initial_history_pass_count,initial_history_failure_count,initial_pattern_count,history_kind,status
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,10,10,104,4,1,1,1,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,0,20,20,104,4,1,1,1,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,1,1,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,5,5,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,10,10,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,1,20,20,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,1,1,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,5,5,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,10,10,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,2,20,20,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,1,1,104,4,0,15,15,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,5,5,104,4,0,15,15,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,10,10,104,4,0,15,15,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,3,20,20,104,4,2,15,15,0.5,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,1,1,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,5,5,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,10,10,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,4,20,20,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,1,1,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,5,5,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,10,10,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,5,20,20,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,1,1,104,4,0,3,3,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,5,5,104,4,1,3,3,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,10,10,104,4,1,3,3,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,6,20,20,104,4,2,3,3,0.5,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,1,1,104,4,0,11,11,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,5,5,104,4,0,11,11,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,10,10,104,4,0,11,11,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,7,20,20,104,4,1,11,11,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,1,1,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,5,5,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,10,10,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,8,20,20,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,1,1,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,5,5,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,10,10,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,Random,9,20,20,104,4,0,,>B,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,1,1,104,4,0,3,3,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,5,5,104,4,2,3,3,0.5,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,10,10,104,4,3,3,3,0.75,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,HistoryRank-UCB-v2,0,20,20,104,4,4,3,3,1.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY|BASELINE_AT_ORACLE_CEILING
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,1,1,104,4,1,1,1,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,5,5,104,4,1,1,1,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,10,10,104,4,2,1,1,0.5,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FailureDistance-v2,0,20,20,104,4,4,1,1,1.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY|BASELINE_AT_ORACLE_CEILING
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,1,1,104,4,0,3,3,0.0,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,5,5,104,4,1,3,3,0.25,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,10,10,104,4,1,3,3,0.25,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-NoMemory,0,20,20,104,4,2,3,3,0.5,160,104,56,0,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,1,1,104,4,1,1,1,0.25,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,5,5,104,4,3,1,1,0.75,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,10,10,104,4,4,1,1,1.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_merge_brake2,merge_brake2,FBRT-Memory,0,20,20,104,4,4,1,1,1.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY|BASELINE_AT_ORACLE_CEILING
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,1,1,104,65,1,1,1,0.015384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,5,5,104,65,5,1,1,0.07692307692307693,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,10,10,104,65,8,1,1,0.12307692307692308,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,0,20,20,104,65,15,1,1,0.23076923076923078,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,1,1,104,65,1,1,1,0.015384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,5,5,104,65,2,1,1,0.03076923076923077,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,10,10,104,65,5,1,1,0.07692307692307693,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,1,20,20,104,65,13,1,1,0.2,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,1,1,104,65,1,1,1,0.015384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,5,5,104,65,3,1,1,0.046153846153846156,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,10,10,104,65,8,1,1,0.12307692307692308,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,2,20,20,104,65,16,1,1,0.24615384615384617,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,1,1,104,65,0,2,2,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,5,5,104,65,4,2,2,0.06153846153846154,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,10,10,104,65,8,2,2,0.12307692307692308,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,3,20,20,104,65,12,2,2,0.18461538461538463,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,1,1,104,65,1,1,1,0.015384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,5,5,104,65,4,1,1,0.06153846153846154,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,10,10,104,65,6,1,1,0.09230769230769231,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,4,20,20,104,65,13,1,1,0.2,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,1,1,104,65,0,2,2,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,5,5,104,65,2,2,2,0.03076923076923077,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,10,10,104,65,4,2,2,0.06153846153846154,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,5,20,20,104,65,10,2,2,0.15384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,1,1,104,65,0,2,2,0.0,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,5,5,104,65,2,2,2,0.03076923076923077,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,10,10,104,65,6,2,2,0.09230769230769231,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,6,20,20,104,65,11,2,2,0.16923076923076924,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,1,1,104,65,1,1,1,0.015384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,5,5,104,65,3,1,1,0.046153846153846156,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,10,10,104,65,7,1,1,0.1076923076923077,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,7,20,20,104,65,10,1,1,0.15384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,1,1,104,65,1,1,1,0.015384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,5,5,104,65,5,1,1,0.07692307692307693,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,10,10,104,65,7,1,1,0.1076923076923077,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,8,20,20,104,65,16,1,1,0.24615384615384617,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,9,1,1,104,65,1,1,1,0.015384615384615385,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
legacy_regression_seed4179801_slow_front_brake2,slow_front_brake2,Random,9,5,5,104,65,2,1,1,0.03076923076923077,160,104,56,14,failure_and_pass,HAS_FAILURE_MEMORY
