method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman,support_indices
Random Support + Adaptation,SUT-F,1,1.0,0.5,0.971576863211866,42;98;37;69
Random Support + Adaptation,SUT-F,2,1.0,0.5,0.9642979765610694,116;67;104;120
Random Support + Adaptation,SUT-F,3,0.9900836691449083,0.4,0.9400464658487456,51;45;90;17
Random Support + Adaptation,SUT-F,4,1.0,0.5,0.9687786119758286,117;40;80;90
Random Support + Adaptation,SUT-F,5,1.0,0.4,0.9571964841604101,0;56;123;31
Random Support + Adaptation,SUT-F,6,0.9904778178333515,0.4,0.9617515107123238,55;28;27;21
Random Support + Adaptation,SUT-F,7,1.0,0.5,0.9676684673136788,70;33;87;40
Random Support + Adaptation,SUT-F,8,1.0,0.5,0.9571964841604101,88;111;31;65
Random Support + Adaptation,SUT-F,9,1.0,0.3,0.9756397637795275,75;21;84;44
Random Support + Adaptation,SUT-F,10,1.0,0.4,0.9747928492950009,46;77;35;106
Random Support + Adaptation,SUT-F,11,1.0,0.5,0.9598860098882989,90;113;106;32
Random Support + Adaptation,SUT-F,12,0.9542640639735521,0.2,0.912126899835195,80;6;70;85
Random Support + Adaptation,SUT-F,13,1.0,0.4,0.9733393609229078,69;23;110;81
Random Support + Adaptation,SUT-F,14,1.0,0.5,0.9605555301226881,10;53;102;88
Random Support + Adaptation,SUT-F,15,0.9882660586280329,0.4,0.9382210217908807,114;7;26;51
Random Support + Adaptation,SUT-F,16,0.9559465576048585,0.3,0.9369563724592566,126;50;51;47
Random Support + Adaptation,SUT-F,17,1.0,0.2,0.9683837667093939,47;98;6;64
Random Support + Adaptation,SUT-F,18,1.0,0.5,0.9703808826222303,80;94;90;100
Random Support + Adaptation,SUT-F,19,1.0,0.2,0.967050448635781,24;14;56;71
