target_profile,initial_gap,relative_speed,action,collision,near_miss,min_ttc,min_distance
AV-Calibrated-IDM,34.0,-8.0,2,False,False,5.222896452902954,22.45605569501162
AV-Calibrated-IDM,34.0,-5.0,0,False,False,3.943176834211125,18.32265003180001
AV-Calibrated-IDM,34.0,-5.0,1,False,False,7.87069774756503,24.321632131463133
AV-Calibrated-IDM,34.0,-5.0,2,False,False,13.1082437696224,26.110550724735386
AV-Calibrated-IDM,34.0,-2.0,0,False,False,6.758264959571795,22.17302421568398
AV-Calibrated-IDM,34.0,-2.0,1,False,False,49.16824642960975,27.219121283637243
AV-Calibrated-IDM,34.0,-2.0,2,False,False,inf,28.551779408856575
AV-Calibrated-IDM,34.0,1.0,0,False,False,32.67754212004316,25.241526450270612
AV-Calibrated-IDM,34.0,1.0,1,False,False,inf,28.291177509965003
AV-Calibrated-IDM,34.0,1.0,2,False,False,inf,28.291177509965003
AV-Calibrated-IDM,42.0,-8.0,0,False,False,3.3811823062182507,19.896509913184488
AV-Calibrated-IDM,42.0,-8.0,1,False,False,5.679434411260575,27.2770829415284
AV-Calibrated-IDM,42.0,-8.0,2,False,False,6.60812517266913,29.253697096050878
AV-Calibrated-IDM,42.0,-5.0,0,False,False,5.105797669798855,25.223814661539453
AV-Calibrated-IDM,42.0,-5.0,1,False,False,9.636670266052883,31.48707146431127
AV-Calibrated-IDM,42.0,-5.0,2,False,False,13.897728200634594,33.42314644920464
AV-Calibrated-IDM,42.0,-2.0,0,False,False,8.609953264209011,29.440716154545584
AV-Calibrated-IDM,42.0,-2.0,1,False,False,31.60752501827984,34.88994391298601
AV-Calibrated-IDM,42.0,-2.0,2,False,False,116.24414472955135,36.39215651524675
AV-Calibrated-IDM,42.0,1.0,0,False,False,25.98336350814654,32.89263570124841
AV-Calibrated-IDM,42.0,1.0,1,False,False,inf,36.24442386553605
AV-Calibrated-IDM,42.0,1.0,2,False,False,inf,36.24442386553605
AV-Predictive-Brake,10.0,-8.0,0,True,False,inf,0.0
AV-Predictive-Brake,10.0,-8.0,1,True,False,0.9886140134818275,0.0
AV-Predictive-Brake,10.0,-8.0,2,True,False,1.318542921229411,0.1873679309708649
AV-Predictive-Brake,10.0,-5.0,0,True,False,0.5771323596330676,0.0
AV-Predictive-Brake,10.0,-5.0,1,False,True,2.38434710348549,1.146794703829669
AV-Predictive-Brake,10.0,-5.0,2,False,False,4.5233737060083525,2.4572060198860344
AV-Predictive-Brake,10.0,-2.0,0,True,False,1.5031290112125513,0.0
AV-Predictive-Brake,10.0,-2.0,1,False,False,8.352046720286316,3.0613822556231796
AV-Predictive-Brake,10.0,-2.0,2,False,False,30.107136047432885,4.3461766868407405
AV-Predictive-Brake,10.0,1.0,0,False,True,9.22505366819792,1.3517401399076716
AV-Predictive-Brake,10.0,1.0,1,False,False,inf,4.894569217505124
AV-Predictive-Brake,10.0,1.0,2,False,False,inf,4.894569217505124
AV-Predictive-Brake,18.0,-8.0,0,False,True,1.1107074181351677,0.9743067185520013
AV-Predictive-Brake,18.0,-8.0,1,False,False,2.5387874685359715,6.243547848369856
AV-Predictive-Brake,18.0,-8.0,2,False,False,3.001575190392488,7.458077914889158
AV-Predictive-Brake,18.0,-5.0,0,False,False,2.026898430901937,4.331601250739256
AV-Predictive-Brake,18.0,-5.0,1,False,False,4.249433048079082,8.370088739015731
AV-Predictive-Brake,18.0,-5.0,2,False,False,4.664573268096943,9.326274853956836
AV-Predictive-Brake,18.0,-2.0,0,False,False,3.8477078675979506,6.515094950783851
AV-Predictive-Brake,18.0,-2.0,1,False,False,11.164462509523645,10.782621760970967
AV-Predictive-Brake,18.0,-2.0,2,False,False,56.13378288693873,12.291564644181463
AV-Predictive-Brake,18.0,1.0,0,False,False,7.768129872478876,8.696439910874263
AV-Predictive-Brake,18.0,1.0,1,False,False,inf,12.512923799297475
AV-Predictive-Brake,18.0,1.0,2,False,False,inf,12.512923799297475
AV-Predictive-Brake,26.0,-8.0,0,False,False,2.0498805087310497,8.310068150140252
AV-Predictive-Brake,26.0,-8.0,1,False,False,3.6398435470516923,12.7659932923019
AV-Predictive-Brake,26.0,-8.0,2,False,False,3.815848541743089,13.830607923558752
AV-Predictive-Brake,26.0,-5.0,0,False,False,3.354572469650569,11.149638128070407
AV-Predictive-Brake,26.0,-5.0,1,False,False,4.761313929317307,15.214720903002913
AV-Predictive-Brake,26.0,-5.0,2,False,False,7.083408288914086,17.31531582431828
