method,budget,scope,value,units,mean_CollisionCount,mean_CriticalCount,mean_SeveritySum,mean_CVS,mean_F,mean_NewHistoricalFailureCount,mean_selection_seconds
MeanResidual-Marginal,10,overall,all,54,7.944444444444445,9.12962962962963,8.537037037037036,7.361111111111111,0.11863129780313507,0.0,0.3240131500049891
MeanResidual-Marginal,10,coverage,exact,18,8.444444444444445,9.5,8.972222222222221,7.777777777777778,0.1259452681882789,0.0,0.32594572778260855
MeanResidual-Marginal,10,heterogeneity,global,18,7.333333333333333,8.944444444444445,8.13888888888889,7.055555555555555,0.1130675983064045,0.0,0.3194746722324958
MeanResidual-Marginal,20,overall,all,54,15.5,18.22222222222222,16.86111111111111,9.962962962962964,0.15987567680824105,0.0,0.3240131500049891
MeanResidual-Marginal,20,coverage,exact,18,16.055555555555557,18.77777777777778,17.416666666666668,10.305555555555555,0.16772974801538193,0.0,0.32594572778260855
MeanResidual-Marginal,20,heterogeneity,global,18,14.555555555555555,18.0,16.27777777777778,9.805555555555555,0.15399969909097525,0.0,0.3194746722324958
MeanResidual-Marginal,30,overall,all,54,22.98148148148148,27.11111111111111,25.046296296296298,10.99074074074074,0.1869368821189475,0.0,0.3240131500049891
MeanResidual-Marginal,30,coverage,exact,18,23.944444444444443,27.944444444444443,25.944444444444443,11.527777777777779,0.19600943415661232,0.0,0.32594572778260855
MeanResidual-Marginal,30,heterogeneity,global,18,21.666666666666668,26.72222222222222,24.194444444444443,10.75,0.1796543796279255,0.0,0.3194746722324958
MeanResidual-Marginal,50,overall,all,54,35.53703703703704,42.75925925925926,39.148148148148145,12.574074074074074,0.2185114676022588,0.0,0.3240131500049891
MeanResidual-Marginal,50,coverage,exact,18,37.611111111111114,44.0,40.80555555555556,13.472222222222221,0.23029977518520406,0.0,0.32594572778260855
MeanResidual-Marginal,50,heterogeneity,global,18,33.666666666666664,42.27777777777778,37.97222222222222,12.36111111111111,0.21093646687357825,0.0,0.3194746722324958
CoRe-Risk,10,overall,all,54,9.981481481481481,10.0,9.99074074074074,4.9907407407407405,0.06519229655818087,0.0,0.083903061109595
CoRe-Risk,10,coverage,exact,18,10.0,10.0,10.0,5.0,0.06524805991457515,0.0,0.08422121111329438
CoRe-Risk,10,heterogeneity,global,18,10.0,10.0,10.0,5.0,0.06524805991457515,0.0,0.0836218833250718
CoRe-Risk,20,overall,all,54,19.703703703703702,19.962962962962962,19.833333333333332,6.731481481481482,0.10184363827650783,0.0,0.083903061109595
CoRe-Risk,20,coverage,exact,18,19.88888888888889,20.0,19.944444444444443,6.777777777777778,0.10197017204207702,0.0,0.08422121111329438
CoRe-Risk,20,heterogeneity,global,18,19.61111111111111,19.944444444444443,19.77777777777778,6.722222222222222,0.10194319638950254,0.0,0.0836218833250718
CoRe-Risk,30,overall,all,54,29.27777777777778,29.90740740740741,29.59259259259259,7.416666666666667,0.13197036058715342,0.0,0.083903061109595
CoRe-Risk,30,coverage,exact,18,29.77777777777778,30.0,29.88888888888889,7.555555555555555,0.13213549894889712,0.0,0.08422121111329438
CoRe-Risk,30,heterogeneity,global,18,29.11111111111111,29.88888888888889,29.5,7.388888888888889,0.13217607968714867,0.0,0.0836218833250718
CoRe-Risk,50,overall,all,54,44.333333333333336,49.425925925925924,46.879629629629626,10.25,0.172839451276759,0.0,0.083903061109595
CoRe-Risk,50,coverage,exact,18,45.27777777777778,50.0,47.638888888888886,10.333333333333334,0.17185502253046128,0.0,0.08422121111329438
CoRe-Risk,50,heterogeneity,global,18,42.111111111111114,49.333333333333336,45.72222222222222,10.083333333333334,0.16977818391221683,0.0,0.0836218833250718
CoRe-Marginal,10,overall,all,54,7.962962962962963,8.75925925925926,8.36111111111111,7.324074074074074,0.11864547704963269,0.0,0.33433716481926645
CoRe-Marginal,10,coverage,exact,18,8.722222222222221,9.277777777777779,9.0,7.777777777777778,0.13039929176202802,0.0,0.333605883335824
CoRe-Marginal,10,heterogeneity,global,18,7.722222222222222,8.5,8.11111111111111,7.111111111111111,0.11415965107974659,0.0,0.3301903722296831
CoRe-Marginal,20,overall,all,54,15.685185185185185,17.61111111111111,16.64814814814815,10.666666666666666,0.16045628502963355,0.0,0.33433716481926645
CoRe-Marginal,20,coverage,exact,18,17.166666666666668,18.5,17.833333333333332,11.305555555555555,0.1771493465395255,0.0,0.333605883335824
CoRe-Marginal,20,heterogeneity,global,18,15.11111111111111,17.38888888888889,16.25,10.38888888888889,0.1528687938975578,0.0,0.3301903722296831
CoRe-Marginal,30,overall,all,54,24.444444444444443,27.296296296296298,25.87037037037037,12.287037037037036,0.19031145157030352,0.0,0.33433716481926645
CoRe-Marginal,30,coverage,exact,18,26.11111111111111,28.166666666666668,27.13888888888889,13.416666666666666,0.2084321113468653,0.0,0.333605883335824
CoRe-Marginal,30,heterogeneity,global,18,23.72222222222222,27.11111111111111,25.416666666666668,11.833333333333334,0.18368003214945858,0.0,0.3301903722296831
CoRe-Marginal,50,overall,all,54,40.129629629629626,45.96296296296296,43.0462962962963,13.935185185185185,0.22396947713997736,0.0,0.33433716481926645
CoRe-Marginal,50,coverage,exact,18,43.166666666666664,47.666666666666664,45.416666666666664,16.055555555555557,0.24626492044281553,0.0,0.333605883335824
CoRe-Marginal,50,heterogeneity,global,18,39.111111111111114,45.888888888888886,42.5,13.222222222222221,0.21247080131567606,0.0,0.3301903722296831
TargetOnlyGP-Marginal,10,overall,all,54,1.2777777777777777,1.8518518518518519,1.5648148148148149,1.2314814814814814,0.052616768278677555,0.0,0.3270280851790664
TargetOnlyGP-Marginal,10,coverage,exact,18,1.2777777777777777,2.2222222222222223,1.75,1.4722222222222223,0.056056118885194364,0.0,0.3268433222223798
TargetOnlyGP-Marginal,10,heterogeneity,global,18,1.1111111111111112,1.8333333333333333,1.4722222222222223,1.2222222222222223,0.04992386318826758,0.0,0.32165111110468086
TargetOnlyGP-Marginal,20,overall,all,54,2.7037037037037037,4.018518518518518,3.361111111111111,2.25,0.06873343087588639,0.0,0.3270280851790664
TargetOnlyGP-Marginal,20,coverage,exact,18,3.0555555555555554,4.833333333333333,3.9444444444444446,2.8333333333333335,0.07637814375212292,0.0,0.3268433222223798
TargetOnlyGP-Marginal,20,heterogeneity,global,18,2.388888888888889,4.0,3.1944444444444446,2.2222222222222223,0.06567890511507295,0.0,0.32165111110468086
TargetOnlyGP-Marginal,30,overall,all,54,3.1666666666666665,4.777777777777778,3.9722222222222223,2.462962962962963,0.07231411324107834,0.0,0.3270280851790664
