build,seed,index,mode,gap,relative_speed,timing,intensity,ego_collision,background_collision,near_miss,completed,min_ttc,min_clearance
fvdm_ref,20291202,26,cutin_braking,40.91755720973015,-5.288570879027247,0.8402547292411328,0.7852261410094798,False,False,False,True,3.717698725132586,15.452014955137969
fvdm_ref,20291202,27,cutin_braking,18.633399665355682,-3.295651275664568,0.24330596048384906,0.10070500895380974,False,False,False,True,5.061120228784623,7.947319977753153
fvdm_ref,20291202,28,cutin_braking,23.07873699069023,-4.445068407803774,0.4748233654536307,0.20728551698848607,False,False,False,True,4.41786631603872,8.554016291976922
fvdm_ref,20291202,29,cutin_braking,37.3629669547081,-2.6396487038582563,0.6648255082778634,0.9076013447716833,False,False,False,True,3.9300634308507463,18.099966412634217
fvdm_ref,20291202,30,cutin_braking,47.16649588942528,-5.889482632279396,0.06413603443652392,0.4098850509151816,False,False,False,True,6.411039590587292,21.569654284564393
fvdm_ref,20291202,31,cutin_braking,29.384216606616974,-1.177813732996583,0.7889653943479061,0.7006613596342505,False,False,False,True,4.3158550040936365,15.524955337384
fvdm_ref,20291202,32,lead_braking,26.84903941117227,-6.278156902641058,0.5432792018167675,0.39275811119005083,False,False,False,True,2.675138152732329,7.426562438516555
fvdm_ref,20291202,33,lead_braking,48.99420341476798,-2.536865996196866,0.2833914107643068,0.8774150394834579,False,False,False,True,4.313546498816981,29.00913842563392
fvdm_ref,20291202,34,lead_braking,42.197399185970426,-4.513601636514068,0.9173823610879481,0.22033865982666612,False,False,False,True,6.735211467207332,20.262770618628565
fvdm_ref,20291202,35,lead_braking,33.177093639969826,-2.24885044246912,0.24891684921458362,0.7051118920557201,False,False,False,True,3.4144191149787453,15.63302040809458
fvdm_ref,20291202,36,lead_braking,30.056852148845792,-5.01000701636076,0.44768124669790266,0.5919651033356786,False,False,False,True,2.654829021854251,9.30640716188978
fvdm_ref,20291202,37,lead_braking,37.905309572815895,-1.2745526637881994,0.7221739273518325,0.10642626136541367,False,False,False,True,10.14872506104341,24.806800100499146
fvdm_ref,20291202,38,lead_braking,44.70208368264139,-6.245383175089955,0.09188398960977792,0.7641935780644418,False,False,False,True,3.3876484581346062,15.540439371068146
fvdm_ref,20291202,39,lead_braking,23.7288280390203,-3.9865141324698925,0.7452914392575622,0.27853758055716754,False,False,False,True,3.680549679232207,9.24690989431042
fvdm_ref,20291202,40,lead_braking,20.308194868266582,-4.04845336265862,0.1542900658212602,0.053113473858684306,False,False,False,True,4.537824295682087,8.776898686713082
fvdm_ref,20291202,41,lead_braking,44.34317589737475,-1.8129989318549633,0.7936421434395016,0.5378867027349771,False,False,False,True,6.034608680085648,27.893528288532906
fvdm_ref,20291202,42,lead_braking,35.67119995132089,-6.784241430461407,0.4133941707201302,0.3380612996406853,False,False,False,True,3.864316399613556,9.491587365008883
fvdm_ref,20291202,43,lead_braking,28.511420814320445,-3.02537246607244,0.6457059429027141,0.8227182312868536,False,False,False,True,2.189451408861266,10.735274221580113
fvdm_ref,20291202,44,lead_braking,32.77398148551583,-5.692378496751189,0.8409481775015594,0.9349060749635101,False,False,False,True,1.6810944913739858,8.682551356272484
fvdm_ref,20291202,45,lead_braking,38.76191887073219,-3.4510876908898354,0.21467664986848833,0.4492500741034746,False,False,False,True,5.167023838233486,18.79390561816507
fvdm_ref,20291202,46,lead_braking,47.43386458605528,-5.4281437657773495,0.5915806656703354,0.6502058673650027,False,False,False,True,4.352484029182461,20.880601399233797
fvdm_ref,20291202,47,lead_braking,24.570785770192742,-1.6633924711495638,0.3457626098766923,0.164667028747499,False,False,False,True,5.8957851108209365,12.92628661686976
fvdm_ref,20291202,48,stop_and_go,48.52655729651451,-2.969760791398585,0.26731175212189556,0.3331246101297438,False,False,False,True,7.720433769084785,28.740572565890744
