method,budget,scope,value,units,mean_CollisionCount,mean_CriticalCount,mean_SeveritySum,mean_CVS,mean_F,mean_NewHistoricalFailureCount,mean_selection_seconds
FPS-Marginal,20,overall,all,12,5.25,15.25,10.25,4.291666666666667,0.057286633738929005,0.0,0.4920289833486701
FPS-Marginal,20,coverage,leave_one_out,12,5.25,15.25,10.25,4.291666666666667,0.057286633738929005,0.0,0.4920289833486701
FPS-Marginal,20,heterogeneity,idm_mobil,3,5.0,16.0,10.5,4.5,0.05806378570205539,0.0,0.49638390001685667
FPS-Marginal,30,overall,all,12,5.833333333333333,24.5,15.166666666666666,4.708333333333333,0.06098064543588461,0.0,0.4920289833486701
FPS-Marginal,30,coverage,leave_one_out,12,5.833333333333333,24.5,15.166666666666666,4.708333333333333,0.06098064543588461,0.0,0.4920289833486701
FPS-Marginal,30,heterogeneity,idm_mobil,3,6.0,26.0,16.0,4.833333333333333,0.0618901939513081,0.0,0.49638390001685667
FPS-Marginal,50,overall,all,12,9.583333333333334,43.083333333333336,26.333333333333332,5.0,0.06524096705546187,0.0,0.4920289833486701
FPS-Marginal,50,coverage,leave_one_out,12,9.583333333333334,43.083333333333336,26.333333333333332,5.0,0.06524096705546187,0.0,0.4920289833486701
FPS-Marginal,50,heterogeneity,idm_mobil,3,11.666666666666666,46.0,28.833333333333332,5.166666666666667,0.06476344385566045,0.0,0.49638390001685667
MeanResidual-Risk,10,overall,all,12,4.833333333333333,10.0,7.416666666666667,3.7083333333333335,0.04001811325396657,0.0,0.17471999165718444
MeanResidual-Risk,10,coverage,leave_one_out,12,4.833333333333333,10.0,7.416666666666667,3.7083333333333335,0.04001811325396657,0.0,0.17471999165718444
MeanResidual-Risk,10,heterogeneity,idm_mobil,3,7.333333333333333,10.0,8.666666666666666,3.8333333333333335,0.04182770855746867,0.0,0.17274229996837676
MeanResidual-Risk,20,overall,all,12,8.583333333333334,19.75,14.166666666666666,3.8333333333333335,0.04974068612195634,0.0,0.17471999165718444
MeanResidual-Risk,20,coverage,leave_one_out,12,8.583333333333334,19.75,14.166666666666666,3.8333333333333335,0.04974068612195634,0.0,0.17471999165718444
MeanResidual-Risk,20,heterogeneity,idm_mobil,3,11.333333333333334,20.0,15.666666666666666,3.8333333333333335,0.04950366904042497,0.0,0.17274229996837676
MeanResidual-Risk,30,overall,all,12,10.0,29.5,19.75,3.9166666666666665,0.05580893616312791,0.0,0.17471999165718444
MeanResidual-Risk,30,coverage,leave_one_out,12,10.0,29.5,19.75,3.9166666666666665,0.05580893616312791,0.0,0.17471999165718444
MeanResidual-Risk,30,heterogeneity,idm_mobil,3,11.666666666666666,30.0,20.833333333333332,4.0,0.056267836970090614,0.0,0.17274229996837676
MeanResidual-Risk,50,overall,all,12,10.0,47.333333333333336,28.666666666666668,5.0,0.06557737762171684,0.0,0.17471999165718444
MeanResidual-Risk,50,coverage,leave_one_out,12,10.0,47.333333333333336,28.666666666666668,5.0,0.06557737762171684,0.0,0.17471999165718444
MeanResidual-Risk,50,heterogeneity,idm_mobil,3,11.666666666666666,48.333333333333336,30.0,5.166666666666667,0.06480930599510289,0.0,0.17274229996837676
MeanResidual-Marginal,10,overall,all,12,3.3333333333333335,8.0,5.666666666666667,3.7083333333333335,0.05046729093334717,0.0,0.5972398416585444
MeanResidual-Marginal,10,coverage,leave_one_out,12,3.3333333333333335,8.0,5.666666666666667,3.7083333333333335,0.05046729093334717,0.0,0.5972398416585444
MeanResidual-Marginal,10,heterogeneity,idm_mobil,3,3.0,7.333333333333333,5.166666666666667,3.6666666666666665,0.048816737617905843,0.0,0.5884339000331238
MeanResidual-Marginal,20,overall,all,12,5.583333333333333,15.833333333333334,10.708333333333334,4.208333333333333,0.057939075224100904,0.0,0.5972398416585444
MeanResidual-Marginal,20,coverage,leave_one_out,12,5.583333333333333,15.833333333333334,10.708333333333334,4.208333333333333,0.057939075224100904,0.0,0.5972398416585444
MeanResidual-Marginal,20,heterogeneity,idm_mobil,3,5.0,15.666666666666666,10.333333333333334,4.5,0.05760215002840955,0.0,0.5884339000331238
MeanResidual-Marginal,30,overall,all,12,7.583333333333333,24.833333333333332,16.208333333333332,4.625,0.061738380644675794,0.0,0.5972398416585444
MeanResidual-Marginal,30,coverage,leave_one_out,12,7.583333333333333,24.833333333333332,16.208333333333332,4.625,0.061738380644675794,0.0,0.5972398416585444
MeanResidual-Marginal,30,heterogeneity,idm_mobil,3,6.666666666666667,25.0,15.833333333333334,4.833333333333333,0.06131113976775481,0.0,0.5884339000331238
MeanResidual-Marginal,50,overall,all,12,8.833333333333334,41.25,25.041666666666668,5.166666666666667,0.06950874105476623,0.16666666666666666,0.5972398416585444
MeanResidual-Marginal,50,coverage,leave_one_out,12,8.833333333333334,41.25,25.041666666666668,5.166666666666667,0.06950874105476623,0.16666666666666666,0.5972398416585444
MeanResidual-Marginal,50,heterogeneity,idm_mobil,3,7.333333333333333,40.333333333333336,23.833333333333332,5.5,0.06431612635479884,0.0,0.5884339000331238
CoRe-Risk,10,overall,all,12,4.583333333333333,9.833333333333334,7.208333333333333,3.7083333333333335,0.04038349799394451,0.0,0.19739475831738673
CoRe-Risk,10,coverage,leave_one_out,12,4.583333333333333,9.833333333333334,7.208333333333333,3.7083333333333335,0.04038349799394451,0.0,0.19739475831738673
CoRe-Risk,10,heterogeneity,idm_mobil,3,7.333333333333333,10.0,8.666666666666666,3.8333333333333335,0.04153883582433787,0.0,0.19090063334442675
CoRe-Risk,20,overall,all,12,7.666666666666667,19.75,13.708333333333334,3.7916666666666665,0.04791848435179871,0.0,0.19739475831738673
CoRe-Risk,20,coverage,leave_one_out,12,7.666666666666667,19.75,13.708333333333334,3.7916666666666665,0.04791848435179871,0.0,0.19739475831738673
CoRe-Risk,20,heterogeneity,idm_mobil,3,11.333333333333334,20.0,15.666666666666666,3.8333333333333335,0.05001130208720256,0.0,0.19090063334442675
CoRe-Risk,30,overall,all,12,9.75,29.25,19.5,3.9583333333333335,0.055421394200278085,0.0,0.19739475831738673
CoRe-Risk,30,coverage,leave_one_out,12,9.75,29.25,19.5,3.9583333333333335,0.055421394200278085,0.0,0.19739475831738673
CoRe-Risk,30,heterogeneity,idm_mobil,3,11.666666666666666,30.0,20.833333333333332,4.166666666666667,0.05687448934570097,0.0,0.19090063334442675
CoRe-Risk,50,overall,all,12,10.0,46.75,28.375,5.041666666666667,0.06833405137498988,0.08333333333333333,0.19739475831738673
CoRe-Risk,50,coverage,leave_one_out,12,10.0,46.75,28.375,5.041666666666667,0.06833405137498988,0.08333333333333333,0.19739475831738673
CoRe-Risk,50,heterogeneity,idm_mobil,3,11.666666666666666,46.666666666666664,29.166666666666668,5.166666666666667,0.06460272672940282,0.0,0.19090063334442675
CoRe-Marginal,10,overall,all,12,3.0833333333333335,6.5,4.791666666666667,3.625,0.04731562763438316,0.0,0.61483435833361
CoRe-Marginal,10,coverage,leave_one_out,12,3.0833333333333335,6.5,4.791666666666667,3.625,0.04731562763438316,0.0,0.61483435833361
CoRe-Marginal,10,heterogeneity,idm_mobil,3,3.0,6.0,4.5,3.6666666666666665,0.0462699264550781,0.0,0.6175788999923194
CoRe-Marginal,20,overall,all,12,5.166666666666667,14.583333333333334,9.875,4.291666666666667,0.06194264987717716,0.3333333333333333,0.61483435833361
CoRe-Marginal,20,coverage,leave_one_out,12,5.166666666666667,14.583333333333334,9.875,4.291666666666667,0.06194264987717716,0.3333333333333333,0.61483435833361
CoRe-Marginal,20,heterogeneity,idm_mobil,3,4.666666666666667,15.0,9.833333333333334,4.5,0.057108187855100856,0.0,0.6175788999923194
CoRe-Marginal,30,overall,all,12,6.833333333333333,23.666666666666668,15.25,4.583333333333333,0.06595095403290017,0.4166666666666667,0.61483435833361
CoRe-Marginal,30,coverage,leave_one_out,12,6.833333333333333,23.666666666666668,15.25,4.583333333333333,0.06595095403290017,0.4166666666666667,0.61483435833361
CoRe-Marginal,30,heterogeneity,idm_mobil,3,6.666666666666667,25.0,15.833333333333334,5.0,0.0615356482768383,0.0,0.6175788999923194
CoRe-Marginal,50,overall,all,12,8.833333333333334,38.916666666666664,23.875,5.083333333333333,0.07040926352215396,0.5,0.61483435833361
CoRe-Marginal,50,coverage,leave_one_out,12,8.833333333333334,38.916666666666664,23.875,5.083333333333333,0.07040926352215396,0.5,0.61483435833361
CoRe-Marginal,50,heterogeneity,idm_mobil,3,7.666666666666667,40.0,23.833333333333332,5.166666666666667,0.06407166913421751,0.0,0.6175788999923194
TargetOnlyGP-Marginal,10,overall,all,12,1.0,5.0,3.0,2.9583333333333335,0.035027614171383246,0.0,0.5988346166656507
TargetOnlyGP-Marginal,10,coverage,leave_one_out,12,1.0,5.0,3.0,2.9583333333333335,0.035027614171383246,0.0,0.5988346166656507
TargetOnlyGP-Marginal,10,heterogeneity,idm_mobil,3,1.3333333333333333,5.0,3.1666666666666665,3.1666666666666665,0.03998672135548562,0.0,0.5911217000102624
