seed,build,method,repeat,budget,actual_queries,regression_detected,first_regression_rank,regression_collision_count,regression_template_count,regression_recall,observed_regressions_in_pool
4179801,merge_brake2,Random,6,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,6,10,10,True,6,1,1,0.25,4
4179801,merge_brake2,Random,6,20,20,True,6,1,1,0.25,4
4179801,merge_brake2,Random,6,50,50,True,6,1,1,0.25,4
4179801,merge_brake2,Random,7,5,5,True,3,1,1,0.25,4
4179801,merge_brake2,Random,7,10,10,True,3,1,1,0.25,4
4179801,merge_brake2,Random,7,20,20,True,3,1,1,0.25,4
4179801,merge_brake2,Random,7,50,50,True,3,3,1,0.75,4
4179801,merge_brake2,Random,8,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,8,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,8,20,20,True,18,1,1,0.25,4
4179801,merge_brake2,Random,8,50,50,True,18,2,1,0.5,4
4179801,merge_brake2,Random,9,5,5,True,2,1,1,0.25,4
4179801,merge_brake2,Random,9,10,10,True,2,1,1,0.25,4
4179801,merge_brake2,Random,9,20,20,True,2,1,1,0.25,4
4179801,merge_brake2,Random,9,50,50,True,2,2,1,0.5,4
4179801,merge_brake2,Random,10,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,10,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,10,20,20,False,,0,0,0.0,4
4179801,merge_brake2,Random,10,50,50,True,23,2,1,0.5,4
4179801,merge_brake2,Random,11,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,11,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,11,20,20,True,16,1,1,0.25,4
4179801,merge_brake2,Random,11,50,50,True,16,2,1,0.5,4
4179801,merge_brake2,Random,12,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,12,10,10,True,10,1,1,0.25,4
4179801,merge_brake2,Random,12,20,20,True,10,2,1,0.5,4
4179801,merge_brake2,Random,12,50,50,True,10,3,1,0.75,4
4179801,merge_brake2,Random,13,5,5,True,3,2,1,0.5,4
4179801,merge_brake2,Random,13,10,10,True,3,2,1,0.5,4
4179801,merge_brake2,Random,13,20,20,True,3,2,1,0.5,4
4179801,merge_brake2,Random,13,50,50,True,3,2,1,0.5,4
4179801,merge_brake2,Random,14,5,5,True,2,1,1,0.25,4
4179801,merge_brake2,Random,14,10,10,True,2,1,1,0.25,4
4179801,merge_brake2,Random,14,20,20,True,2,1,1,0.25,4
4179801,merge_brake2,Random,14,50,50,True,2,2,1,0.5,4
4179801,merge_brake2,Random,15,5,5,True,2,1,1,0.25,4
4179801,merge_brake2,Random,15,10,10,True,2,1,1,0.25,4
4179801,merge_brake2,Random,15,20,20,True,2,1,1,0.25,4
4179801,merge_brake2,Random,15,50,50,True,2,2,1,0.5,4
4179801,merge_brake2,Random,16,5,5,True,1,1,1,0.25,4
4179801,merge_brake2,Random,16,10,10,True,1,1,1,0.25,4
4179801,merge_brake2,Random,16,20,20,True,1,1,1,0.25,4
4179801,merge_brake2,Random,16,50,50,True,1,3,1,0.75,4
4179801,merge_brake2,Random,17,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,17,10,10,True,10,1,1,0.25,4
4179801,merge_brake2,Random,17,20,20,True,10,1,1,0.25,4
4179801,merge_brake2,Random,17,50,50,True,10,2,1,0.5,4
4179801,merge_brake2,Random,18,5,5,False,,0,0,0.0,4
4179801,merge_brake2,Random,18,10,10,False,,0,0,0.0,4
4179801,merge_brake2,Random,18,20,20,True,19,1,1,0.25,4
4179801,merge_brake2,Random,18,50,50,True,19,2,1,0.5,4
4179801,merge_brake2,Random,19,5,5,True,1,1,1,0.25,4
4179801,merge_brake2,Random,19,10,10,True,1,1,1,0.25,4
4179801,merge_brake2,Random,19,20,20,True,1,1,1,0.25,4
4179801,merge_brake2,Random,19,50,50,True,1,2,1,0.5,4
4179801,merge_brake2,ART-Maximin,0,5,5,True,1,1,1,0.25,4
4179801,merge_brake2,ART-Maximin,0,10,10,True,1,1,1,0.25,4
4179801,merge_brake2,ART-Maximin,0,20,20,True,1,2,1,0.5,4
4179801,merge_brake2,ART-Maximin,0,50,50,True,1,2,1,0.5,4
4179801,merge_brake2,HistoryMargin,0,5,5,True,1,2,1,0.5,4
4179801,merge_brake2,HistoryMargin,0,10,10,True,1,2,1,0.5,4
4179801,merge_brake2,HistoryMargin,0,20,20,True,1,2,1,0.5,4
4179801,merge_brake2,HistoryMargin,0,50,50,True,1,2,1,0.5,4
4179801,merge_brake2,FailureDistance,0,5,5,True,1,2,1,0.5,4
4179801,merge_brake2,FailureDistance,0,10,10,True,1,4,1,1.0,4
4179801,merge_brake2,FailureDistance,0,20,20,True,1,4,1,1.0,4
4179801,merge_brake2,FailureDistance,0,50,50,True,1,4,1,1.0,4
4179801,merge_brake2,HistoryRank-UCB,0,5,5,True,4,2,1,0.5,4
4179801,merge_brake2,HistoryRank-UCB,0,10,10,True,4,3,1,0.75,4
4179801,merge_brake2,HistoryRank-UCB,0,20,20,True,4,4,1,1.0,4
4179801,merge_brake2,HistoryRank-UCB,0,50,50,True,4,4,1,1.0,4
4179801,merge_brake2,FBRT-Static,0,5,5,False,,0,0,0.0,4
4179801,merge_brake2,FBRT-Static,0,10,10,True,6,1,1,0.25,4
4179801,merge_brake2,FBRT-Static,0,20,20,True,6,4,1,1.0,4
4179801,merge_brake2,FBRT-Static,0,50,50,True,6,4,1,1.0,4
4179801,merge_brake2,FBRT-Adaptive,0,5,5,True,4,1,1,0.25,4
4179801,merge_brake2,FBRT-Adaptive,0,10,10,True,4,3,1,0.75,4
4179801,merge_brake2,FBRT-Adaptive,0,20,20,True,4,3,1,0.75,4
4179801,merge_brake2,FBRT-Adaptive,0,50,50,True,4,4,1,1.0,4
4179801,merge_brake2,FBRT-RegionBandit,0,5,5,True,4,2,1,0.5,4
4179801,merge_brake2,FBRT-RegionBandit,0,10,10,True,4,4,1,1.0,4
4179801,merge_brake2,FBRT-RegionBandit,0,20,20,True,4,4,1,1.0,4
4179801,merge_brake2,FBRT-RegionBandit,0,50,50,True,4,4,1,1.0,4
4179801,slow_front_brake2,Random,0,5,5,True,1,4,2,0.06153846153846154,65
4179801,slow_front_brake2,Random,0,10,10,True,1,9,3,0.13846153846153847,65
4179801,slow_front_brake2,Random,0,20,20,True,1,13,3,0.2,65
4179801,slow_front_brake2,Random,0,50,50,True,1,32,3,0.49230769230769234,65
4179801,slow_front_brake2,Random,1,5,5,True,1,3,3,0.046153846153846156,65
4179801,slow_front_brake2,Random,1,10,10,True,1,7,3,0.1076923076923077,65
4179801,slow_front_brake2,Random,1,20,20,True,1,14,3,0.2153846153846154,65
4179801,slow_front_brake2,Random,1,50,50,True,1,36,3,0.5538461538461539,65
4179801,slow_front_brake2,Random,2,5,5,True,3,2,1,0.03076923076923077,65
4179801,slow_front_brake2,Random,2,10,10,True,3,6,3,0.09230769230769231,65
4179801,slow_front_brake2,Random,2,20,20,True,3,14,3,0.2153846153846154,65
4179801,slow_front_brake2,Random,2,50,50,True,3,34,3,0.5230769230769231,65
4179801,slow_front_brake2,Random,3,5,5,True,2,4,3,0.06153846153846154,65
4179801,slow_front_brake2,Random,3,10,10,True,2,7,3,0.1076923076923077,65
4179801,slow_front_brake2,Random,3,20,20,True,2,13,3,0.2,65
4179801,slow_front_brake2,Random,3,50,50,True,2,30,3,0.46153846153846156,65
4179801,slow_front_brake2,Random,4,5,5,True,1,3,2,0.046153846153846156,65
4179801,slow_front_brake2,Random,4,10,10,True,1,5,2,0.07692307692307693,65
4179801,slow_front_brake2,Random,4,20,20,True,1,12,3,0.18461538461538463,65
4179801,slow_front_brake2,Random,4,50,50,True,1,31,3,0.47692307692307695,65
4179801,slow_front_brake2,Random,5,5,5,True,3,3,3,0.046153846153846156,65
4179801,slow_front_brake2,Random,5,10,10,True,3,5,3,0.07692307692307693,65
4179801,slow_front_brake2,Random,5,20,20,True,3,10,3,0.15384615384615385,65
4179801,slow_front_brake2,Random,5,50,50,True,3,23,3,0.35384615384615387,65
4179801,slow_front_brake2,Random,6,5,5,True,2,2,1,0.03076923076923077,65
4179801,slow_front_brake2,Random,6,10,10,True,2,6,2,0.09230769230769231,65
4179801,slow_front_brake2,Random,6,20,20,True,2,11,3,0.16923076923076924,65
4179801,slow_front_brake2,Random,6,50,50,True,2,30,3,0.46153846153846156,65
4179801,slow_front_brake2,Random,7,5,5,True,1,3,3,0.046153846153846156,65
4179801,slow_front_brake2,Random,7,10,10,True,1,8,3,0.12307692307692308,65
4179801,slow_front_brake2,Random,7,20,20,True,1,16,3,0.24615384615384617,65
4179801,slow_front_brake2,Random,7,50,50,True,1,34,3,0.5230769230769231,65
4179801,slow_front_brake2,Random,8,5,5,True,1,4,2,0.06153846153846154,65
4179801,slow_front_brake2,Random,8,10,10,True,1,5,2,0.07692307692307693,65
4179801,slow_front_brake2,Random,8,20,20,True,1,11,3,0.16923076923076924,65
4179801,slow_front_brake2,Random,8,50,50,True,1,31,3,0.47692307692307695,65
4179801,slow_front_brake2,Random,9,5,5,True,3,3,2,0.046153846153846156,65
4179801,slow_front_brake2,Random,9,10,10,True,3,8,3,0.12307692307692308,65
4179801,slow_front_brake2,Random,9,20,20,True,3,12,3,0.18461538461538463,65
4179801,slow_front_brake2,Random,9,50,50,True,3,32,3,0.49230769230769234,65
4179801,slow_front_brake2,Random,10,5,5,True,1,4,2,0.06153846153846154,65
4179801,slow_front_brake2,Random,10,10,10,True,1,7,2,0.1076923076923077,65
4179801,slow_front_brake2,Random,10,20,20,True,1,12,2,0.18461538461538463,65
4179801,slow_front_brake2,Random,10,50,50,True,1,31,3,0.47692307692307695,65
4179801,slow_front_brake2,Random,11,5,5,True,1,5,3,0.07692307692307693,65
4179801,slow_front_brake2,Random,11,10,10,True,1,6,3,0.09230769230769231,65
4179801,slow_front_brake2,Random,11,20,20,True,1,9,3,0.13846153846153847,65
4179801,slow_front_brake2,Random,11,50,50,True,1,30,3,0.46153846153846156,65
4179801,slow_front_brake2,Random,12,5,5,True,2,3,2,0.046153846153846156,65
4179801,slow_front_brake2,Random,12,10,10,True,2,6,3,0.09230769230769231,65
4179801,slow_front_brake2,Random,12,20,20,True,2,14,3,0.2153846153846154,65
4179801,slow_front_brake2,Random,12,50,50,True,2,29,3,0.4461538461538462,65
4179801,slow_front_brake2,Random,13,5,5,True,1,2,2,0.03076923076923077,65
4179801,slow_front_brake2,Random,13,10,10,True,1,4,3,0.06153846153846154,65
4179801,slow_front_brake2,Random,13,20,20,True,1,9,3,0.13846153846153847,65
4179801,slow_front_brake2,Random,13,50,50,True,1,25,3,0.38461538461538464,65
4179801,slow_front_brake2,Random,14,5,5,True,1,2,1,0.03076923076923077,65
4179801,slow_front_brake2,Random,14,10,10,True,1,5,2,0.07692307692307693,65
4179801,slow_front_brake2,Random,14,20,20,True,1,9,3,0.13846153846153847,65
4179801,slow_front_brake2,Random,14,50,50,True,1,28,3,0.4307692307692308,65
4179801,slow_front_brake2,Random,15,5,5,True,3,2,1,0.03076923076923077,65
4179801,slow_front_brake2,Random,15,10,10,True,3,5,2,0.07692307692307693,65
4179801,slow_front_brake2,Random,15,20,20,True,3,13,3,0.2,65
4179801,slow_front_brake2,Random,15,50,50,True,3,32,3,0.49230769230769234,65
4179801,slow_front_brake2,Random,16,5,5,True,2,4,2,0.06153846153846154,65
4179801,slow_front_brake2,Random,16,10,10,True,2,8,3,0.12307692307692308,65
4179801,slow_front_brake2,Random,16,20,20,True,2,13,3,0.2,65
4179801,slow_front_brake2,Random,16,50,50,True,2,30,3,0.46153846153846156,65
4179801,slow_front_brake2,Random,17,5,5,True,1,5,3,0.07692307692307693,65
4179801,slow_front_brake2,Random,17,10,10,True,1,8,3,0.12307692307692308,65
4179801,slow_front_brake2,Random,17,20,20,True,1,16,3,0.24615384615384617,65
4179801,slow_front_brake2,Random,17,50,50,True,1,36,3,0.5538461538461539,65
4179801,slow_front_brake2,Random,18,5,5,True,1,3,2,0.046153846153846156,65
4179801,slow_front_brake2,Random,18,10,10,True,1,7,2,0.1076923076923077,65
4179801,slow_front_brake2,Random,18,20,20,True,1,13,3,0.2,65
4179801,slow_front_brake2,Random,18,50,50,True,1,30,3,0.46153846153846156,65
4179801,slow_front_brake2,Random,19,5,5,True,2,2,2,0.03076923076923077,65
4179801,slow_front_brake2,Random,19,10,10,True,2,4,3,0.06153846153846154,65
4179801,slow_front_brake2,Random,19,20,20,True,2,10,3,0.15384615384615385,65
4179801,slow_front_brake2,Random,19,50,50,True,2,30,3,0.46153846153846156,65
4179801,slow_front_brake2,ART-Maximin,0,5,5,True,2,4,3,0.06153846153846154,65
4179801,slow_front_brake2,ART-Maximin,0,10,10,True,2,6,3,0.09230769230769231,65
4179801,slow_front_brake2,ART-Maximin,0,20,20,True,2,13,3,0.2,65
4179801,slow_front_brake2,ART-Maximin,0,50,50,True,2,31,3,0.47692307692307695,65
4179801,slow_front_brake2,HistoryMargin,0,5,5,True,3,3,1,0.046153846153846156,65
4179801,slow_front_brake2,HistoryMargin,0,10,10,True,3,8,1,0.12307692307692308,65
4179801,slow_front_brake2,HistoryMargin,0,20,20,True,3,17,2,0.26153846153846155,65
4179801,slow_front_brake2,HistoryMargin,0,50,50,True,3,47,3,0.7230769230769231,65
4179801,slow_front_brake2,FailureDistance,0,5,5,True,2,3,2,0.046153846153846156,65
4179801,slow_front_brake2,FailureDistance,0,10,10,True,2,6,2,0.09230769230769231,65
4179801,slow_front_brake2,FailureDistance,0,20,20,True,2,10,2,0.15384615384615385,65
4179801,slow_front_brake2,FailureDistance,0,50,50,True,2,29,2,0.4461538461538462,65
4179801,slow_front_brake2,HistoryRank-UCB,0,5,5,True,1,4,3,0.06153846153846154,65
4179801,slow_front_brake2,HistoryRank-UCB,0,10,10,True,1,9,3,0.13846153846153847,65
4179801,slow_front_brake2,HistoryRank-UCB,0,20,20,True,1,18,3,0.27692307692307694,65
4179801,slow_front_brake2,HistoryRank-UCB,0,50,50,True,1,47,3,0.7230769230769231,65
4179801,slow_front_brake2,FBRT-Static,0,5,5,True,1,4,2,0.06153846153846154,65
4179801,slow_front_brake2,FBRT-Static,0,10,10,True,1,8,3,0.12307692307692308,65
4179801,slow_front_brake2,FBRT-Static,0,20,20,True,1,13,3,0.2,65
4179801,slow_front_brake2,FBRT-Static,0,50,50,True,1,32,3,0.49230769230769234,65
