seed,patch_id,template_id,failed_id,passed_id,failed,passed,width,boundary_estimate
4179803,fbrt_cutin:patch:0,fbrt_cutin,4179803:fbrt_cutin:core_boundary:2,4179803:fbrt_cutin:initial:16,"[0.08215490821748972, 0.9743286452721805]","[0.10953987762331963, 0.965771527029574]",0.028690779389486602,"[0.09584739292040467, 0.9700500861508773]"
4179803,fbrt_cutin:patch:1,fbrt_cutin,4179803:fbrt_cutin:initial:31,4179803:fbrt_cutin:core_boundary:0,"[0.05741971079260111, 0.2887274278327823]","[0.08870985539630054, 0.26936371391639113]",0.036797099966658545,"[0.07306478309445083, 0.2790455708745867]"
4179803,fbrt_cutin:patch:2,fbrt_cutin,4179803:fbrt_cutin:core_boundary:3,4179803:fbrt_cutin:probe:3,"[0.07207382371649144, 0.7143310364335774]","[0.11999999999999998, 0.75]",0.05974272621048287,"[0.09603691185824571, 0.7321655182167888]"
4179803,fbrt_cutin:patch:3,fbrt_cutin,4179803:fbrt_cutin:core_boundary:1,4179803:fbrt_cutin:initial:15,"[0.02010838082060218, 0.018959221895784122]","[0.08043352328240871, 0.07583688758313653]",0.08291074518468326,"[0.050270952051505446, 0.04739805473946033]"
4179803,fbrt_cutin:patch:4,fbrt_cutin,4179803:fbrt_cutin:probe:0,4179803:fbrt_cutin:initial:15,"[0.0, 0.0]","[0.08043352328240871, 0.07583688758313653]",0.11054766024624435,"[0.04021676164120436, 0.037918443791568265]"
4179803,fbrt_cutin:patch:5,fbrt_cutin,4179803:fbrt_cutin:probe:1,4179803:fbrt_cutin:initial:16,"[0.0, 1.0]","[0.10953987762331963, 0.965771527029574]",0.11476311755794638,"[0.05476993881165981, 0.982885763514787]"
4179803,fbrt_cutin:patch:6,fbrt_cutin,4179803:fbrt_cutin:initial:0,4179803:fbrt_cutin:probe:3,"[0.02414764743298292, 0.678662072867155]","[0.11999999999999998, 0.75]",0.11948545242096566,"[0.07207382371649146, 0.7143310364335775]"
4179803,fbrt_lead_emergency_brake:patch:0,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:core_boundary:0,4179803:fbrt_lead_emergency_brake:wide_initial:30,"[0.7753155962564051, 0.8264663256704807]","[0.849804007448256, 0.8075346667319536]",0.07685656193228378,"[0.8125598018523306, 0.8170004962012172]"
4179803,fbrt_lead_emergency_brake:patch:1,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:wide_initial:14,4179803:fbrt_lead_emergency_brake:core_boundary:3,"[0.7701603705063462, 0.610286446288228]","[0.8290302949026227, 0.6798229585401714]",0.09110979384560133,"[0.7995953327044845, 0.6450547024141997]"
4179803,fbrt_lead_emergency_brake:patch:2,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:core_boundary:1,4179803:fbrt_lead_emergency_brake:wide_initial:21,"[0.6379681583493948, 0.1765478781890124]","[0.7372546456754208, 0.09190209675580263]",0.1304711266142047,"[0.6876114020124078, 0.13422498747240752]"
4179803,fbrt_lead_emergency_brake:patch:3,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:wide_initial:5,4179803:fbrt_lead_emergency_brake:core_boundary:2,"[0.6253855191171169, 0.2696500616148114]","[0.7510376942809671, 0.3129726070910692]",0.13291091779816028,"[0.688211606699042, 0.2913113343529403]"
4179803,fbrt_lead_emergency_brake:patch:4,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:wide_initial:10,4179803:fbrt_lead_emergency_brake:wide_initial:30,"[0.7008271850645542, 0.8453979846090078]","[0.849804007448256, 0.8075346667319536]",0.15371312386456756,"[0.7753155962564051, 0.8264663256704807]"
4179803,fbrt_lead_emergency_brake:patch:5,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:wide_initial:13,4179803:fbrt_lead_emergency_brake:wide_initial:21,"[0.6048726625740528, 0.204763138666749]","[0.7372546456754208, 0.09190209675580263]",0.17396150215227293,"[0.6710636541247368, 0.14833261771127582]"
4179803,fbrt_lead_emergency_brake:patch:6,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:wide_initial:26,4179803:fbrt_lead_emergency_brake:core_boundary:3,"[0.6867152787744999, 0.5426814910024405]","[0.8290302949026227, 0.6798229585401714]",0.1976394341571296,"[0.7578727868385613, 0.6112522247713059]"
4179803,fbrt_lead_emergency_brake:patch:7,fbrt_lead_emergency_brake,4179803:fbrt_lead_emergency_brake:wide_initial:29,4179803:fbrt_lead_emergency_brake:core_boundary:2,"[0.5253460891544819, 0.4020151738077402]","[0.7510376942809671, 0.3129726070910692]",0.24262167939420035,"[0.6381918917177245, 0.3574938904494047]"
4179803,fbrt_cutout_static:patch:0,fbrt_cutout_static,4179803:fbrt_cutout_static:initial:26,4179803:fbrt_cutout_static:core_boundary:0,"[0.09007968939840794, 0.46878865640610456]","[0.10783074190840125, 0.526036701630801]",0.05993695477133806,"[0.0989552156534046, 0.49741267901845276]"
4179803,fbrt_cutout_static:patch:1,fbrt_cutout_static,4179803:fbrt_cutout_static:initial:14,4179803:fbrt_cutout_static:core_boundary:3,"[0.4417763417586684, 0.4198738522827625]","[0.5330060799606144, 0.43512384314090014]",0.09249555315564575,"[0.48739121085964143, 0.42749884771183133]"
4179803,fbrt_cutout_static:patch:2,fbrt_cutout_static,4179803:fbrt_cutout_static:core_boundary:1,4179803:fbrt_cutout_static:initial:8,"[0.7303299561608583, 0.2932699399534613]","[0.841530199162662, 0.3304597157984972]",0.11725431109799,"[0.7859300776617602, 0.31186482787597924]"
4179803,fbrt_cutout_static:patch:3,fbrt_cutout_static,4179803:fbrt_cutout_static:initial:22,4179803:fbrt_cutout_static:core_boundary:2,"[0.3737197322770953, 0.3742710119113326]","[0.2990698718931526, 0.48665464483201504]",0.13491731765712228,"[0.33639480208512396, 0.4304628283716738]"
4179803,fbrt_cutout_static:patch:4,fbrt_cutout_static,4179803:fbrt_cutout_static:initial:28,4179803:fbrt_cutout_static:initial:8,"[0.6932632084935904, 0.280873348005116]","[0.841530199162662, 0.3304597157984972]",0.15633908146398667,"[0.7673967038281262, 0.3056665319018066]"
4179803,fbrt_cutout_static:patch:5,fbrt_cutout_static,4179803:fbrt_cutout_static:initial:0,4179803:fbrt_cutout_static:initial:8,"[0.9359773993492126, 0.16506148595362902]","[0.841530199162662, 0.3304597157984972]",0.19046482105337512,"[0.8887537992559373, 0.2477606008760631]"
4179803,fbrt_cutout_static:patch:6,fbrt_cutout_static,4179803:fbrt_cutout_static:initial:2,4179803:fbrt_cutout_static:core_boundary:2,"[0.22551249526441097, 0.29953642189502716]","[0.2990698718931526, 0.48665464483201504]",0.20105699940961727,"[0.2622911835787818, 0.3930955333635211]"
4179803,fbrt_cutout_static:patch:7,fbrt_cutout_static,4179803:fbrt_cutout_static:initial:20,4179803:fbrt_cutout_static:core_boundary:3,"[0.5372772486880422, 0.2236201111227274]","[0.5330060799606144, 0.43512384314090014]",0.211546854242537,"[0.5351416643243283, 0.32937197713181376]"
