seed,build,repeat,method,rank,scenario_id,template_id,selection_reason,patch_id,ego_collision,regression
4179801,merge_blind06,0,Random,39,4179801:fbrt_stop_hold_go:initial:30,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,40,4179801:fbrt_cutout_static:core_boundary:3,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,0,Random,41,4179801:fbrt_cutin:probe:3,fbrt_cutin,random,,True,True
4179801,merge_blind06,0,Random,42,4179801:fbrt_stop_hold_go:initial:27,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,43,4179801:fbrt_cutin:initial:26,fbrt_cutin,random,,True,True
4179801,merge_blind06,0,Random,44,4179801:fbrt_stop_hold_go:probe:2,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,45,4179801:fbrt_stop_hold_go:initial:1,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,46,4179801:fbrt_cutin:initial:23,fbrt_cutin,random,,False,False
4179801,merge_blind06,0,Random,47,4179801:fbrt_stop_hold_go:initial:3,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,48,4179801:fbrt_cutin:probe:2,fbrt_cutin,random,,True,True
4179801,merge_blind06,0,Random,49,4179801:fbrt_stop_hold_go:initial:6,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,0,Random,50,4179801:fbrt_cutin:initial:17,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,1,4179801:fbrt_cutout_static:initial:8,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,2,4179801:fbrt_cutin:initial:4,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,3,4179801:fbrt_cutin:initial:1,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,4,4179801:fbrt_lead_emergency_brake:wide_initial:17,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,5,4179801:fbrt_stop_hold_go:core_extra:1,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,6,4179801:fbrt_stop_hold_go:probe:1,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,7,4179801:fbrt_cutout_static:initial:18,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,8,4179801:fbrt_stop_hold_go:initial:22,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,9,4179801:fbrt_cutin:initial:17,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,10,4179801:fbrt_stop_hold_go:initial:23,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,11,4179801:fbrt_stop_hold_go:initial:26,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,12,4179801:fbrt_cutin:initial:2,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,13,4179801:fbrt_cutout_static:initial:2,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,14,4179801:fbrt_lead_emergency_brake:wide_initial:26,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,15,4179801:fbrt_stop_hold_go:initial:1,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,16,4179801:fbrt_cutin:initial:22,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,17,4179801:fbrt_stop_hold_go:initial:12,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,18,4179801:fbrt_stop_hold_go:initial:2,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,19,4179801:fbrt_cutin:initial:31,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,20,4179801:fbrt_lead_emergency_brake:wide_initial:22,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,21,4179801:fbrt_stop_hold_go:initial:14,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,22,4179801:fbrt_stop_hold_go:initial:7,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,23,4179801:fbrt_cutin:initial:18,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,24,4179801:fbrt_cutout_static:initial:9,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,25,4179801:fbrt_lead_emergency_brake:wide_initial:30,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,26,4179801:fbrt_cutout_static:initial:28,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,27,4179801:fbrt_cutout_static:initial:12,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,28,4179801:fbrt_cutout_static:initial:20,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,29,4179801:fbrt_cutout_static:core_boundary:3,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,30,4179801:fbrt_stop_hold_go:initial:10,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,31,4179801:fbrt_cutout_static:probe:1,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,32,4179801:fbrt_cutin:initial:3,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,33,4179801:fbrt_lead_emergency_brake:wide_initial:25,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,34,4179801:fbrt_lead_emergency_brake:wide_initial:6,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,35,4179801:fbrt_lead_emergency_brake:wide_initial:14,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,36,4179801:fbrt_cutin:initial:19,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,37,4179801:fbrt_cutout_static:initial:22,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,38,4179801:fbrt_stop_hold_go:initial:28,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,39,4179801:fbrt_cutin:probe:2,fbrt_cutin,random,,True,True
4179801,merge_blind06,1,Random,40,4179801:fbrt_stop_hold_go:initial:17,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,41,4179801:fbrt_lead_emergency_brake:wide_initial:2,fbrt_lead_emergency_brake,random,,False,False
4179801,merge_blind06,1,Random,42,4179801:fbrt_cutin:initial:23,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,43,4179801:fbrt_stop_hold_go:initial:27,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,44,4179801:fbrt_cutin:initial:24,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,45,4179801:fbrt_cutout_static:initial:23,fbrt_cutout_static,random,,True,True
4179801,merge_blind06,1,Random,46,4179801:fbrt_stop_hold_go:initial:30,fbrt_stop_hold_go,random,,False,False
4179801,merge_blind06,1,Random,47,4179801:fbrt_cutin:initial:6,fbrt_cutin,random,,False,False
4179801,merge_blind06,1,Random,48,4179801:fbrt_cutout_static:initial:24,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,49,4179801:fbrt_cutout_static:probe:3,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,1,Random,50,4179801:fbrt_cutout_static:initial:6,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,1,4179801:fbrt_cutin:initial:16,fbrt_cutin,random,,False,False
4179801,merge_blind06,2,Random,2,4179801:fbrt_cutin:initial:25,fbrt_cutin,random,,False,False
4179801,merge_blind06,2,Random,3,4179801:fbrt_cutout_static:initial:30,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,4,4179801:fbrt_cutin:initial:19,fbrt_cutin,random,,False,False
4179801,merge_blind06,2,Random,5,4179801:fbrt_cutout_static:initial:20,fbrt_cutout_static,random,,False,False
4179801,merge_blind06,2,Random,6,4179801:fbrt_cutout_static:initial:10,fbrt_cutout_static,random,,False,False
