build,seed,scenario_id,scenario,contract,ego_collision,collision_partner,collision_time_s,other_vehicle_crashed,completed,semantic_valid,termination_reason,near_miss,min_ttc,min_clearance,fault_active_steps,event_times,lead_events,trigger_clearance_m,trigger_ttc_s,trigger_geometry_source
merge_blind06,4179801,4179801:fbrt_cutin:initial:22,"{""scenario_id"": ""4179801:fbrt_cutin:initial:22"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 20.12872718460858, ""lane_change_duration_s"": 0.6740338973701, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,2.4550057522344035,6.012518938013756,12,"{""first_intrusion_s"": 1.3, ""lane_change_complete_s"": 1.8}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:23,"{""scenario_id"": ""4179801:fbrt_cutin:initial:23"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 45.213137712329626, ""lane_change_duration_s"": 2.4011716984212397, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,6.336489177476041,29.164169568658593,12,"{""first_intrusion_s"": 1.9, ""lane_change_complete_s"": 4.4}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:24,"{""scenario_id"": ""4179801:fbrt_cutin:initial:24"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 49.37769963592291, ""lane_change_duration_s"": 1.4263954304158686, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,7.139692050572963,32.73660916633523,12,"{""first_intrusion_s"": 1.55, ""lane_change_complete_s"": 2.9}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:25,"{""scenario_id"": ""4179801:fbrt_cutin:initial:25"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 22.280642231926322, ""lane_change_duration_s"": 2.0986991576850413, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,2.590716123257823,6.915001545281598,12,"{""first_intrusion_s"": 1.8, ""lane_change_complete_s"": 3.9}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:26,"{""scenario_id"": ""4179801:fbrt_cutin:initial:26"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 11.923382963985205, ""lane_change_duration_s"": 0.9550202630460263, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,True,lead,2.1,True,False,True,ego_collision,False,1.058830164531473,0.00796600241677936,12,"{""first_intrusion_s"": 1.4}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:27,"{""scenario_id"": ""4179801:fbrt_cutin:initial:27"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 38.981047021225095, ""lane_change_duration_s"": 2.7200699619948865, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,5.257021282895127,23.26147958575484,12,"{""first_intrusion_s"": 2.0, ""lane_change_complete_s"": 4.85}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:28,"{""scenario_id"": ""4179801:fbrt_cutin:initial:28"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 31.972445107996464, ""lane_change_duration_s"": 0.7661843821406364, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,4.432117091205833,17.93377856432275,12,"{""first_intrusion_s"": 1.3, ""lane_change_complete_s"": 1.9}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:29,"{""scenario_id"": ""4179801:fbrt_cutin:initial:29"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 17.37327471934259, ""lane_change_duration_s"": 2.608724458515644, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,1.7412446497642438,1.7123729489837274,12,"{""first_intrusion_s"": 1.95, ""lane_change_complete_s"": 4.7}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:30,"{""scenario_id"": ""4179801:fbrt_cutin:initial:30"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 27.97662265226245, ""lane_change_duration_s"": 1.61489872187376, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,3.6326021669896016,13.217106072860929,12,"{""first_intrusion_s"": 1.6, ""lane_change_complete_s"": 3.2}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
merge_blind06,4179801,4179801:fbrt_cutin:initial:31,"{""scenario_id"": ""4179801:fbrt_cutin:initial:31"", ""template_id"": ""fbrt_cutin"", ""initial_clearance_m"": 42.61518654413521, ""lane_change_duration_s"": 2.2100053265690804, ""lead_deceleration_mps2"": null, ""static_target_ttc_s"": null, ""lane_count"": 2, ""ego_speed_mps"": 25.0, ""lead_speed_mps"": 20.0}",highway-env;20Hz;functional-scripts;idm-reference,False,,,False,True,True,duration,False,5.909985528726614,26.91797824122301,12,"{""first_intrusion_s"": 1.8, ""lane_change_complete_s"": 4.1}","[{""time_s"": 1.0, ""phase"": ""LANE_CHANGE""}]",,,
