target_sut,method_variant,response,critical_count_at_budget,collision_count_at_budget,held_out_response_mse,final_alpha,budget
SUT-D,AdaTE-Mixture-H-sequential,vulnerability,20,18,0.05910108252489302,"[0.9673853724229869, 0.022904484768884643, 0.0, 0.009710142808128416, 0.0]",20
SUT-D,Uniform-Mixture-H,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-staticK1,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-staticK2,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-staticK4,collision,20,18,0.011851851851851851,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-D,AdaTE-Mixture-H-sequential,collision,20,19,0.02023319598785835,"[0.2777777762862702, 5.798945852784907e-09, 0.27777777637940226, 0.16666666515597944, 0.2777777763794024]",20
SUT-E,Uniform-Mixture-H,vulnerability,18,14,0.028105664156403424,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-staticK1,vulnerability,18,14,0.028105664156403424,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-staticK2,vulnerability,18,14,0.028105664156403424,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-staticK4,vulnerability,18,14,0.028105664156403424,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-sequential,vulnerability,19,15,0.01653505988759489,"[0.0, 0.5545319107208491, 0.2227340446395755, 0.0, 0.22273404463957544]",20
SUT-E,Uniform-Mixture-H,collision,18,14,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-staticK1,collision,18,14,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-staticK2,collision,18,14,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-staticK4,collision,18,14,0.013703703703703708,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-E,AdaTE-Mixture-H-sequential,collision,17,14,0.009637188199355669,"[0.14285714110679268, 0.7142857177864148, 1.703746296668052e-19, 0.14285714110679243, 4.677557698205487e-18]",20
SUT-F,Uniform-Mixture-H,vulnerability,20,20,0.15650731587493336,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-staticK1,vulnerability,20,20,0.15650731587493336,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-staticK2,vulnerability,20,20,0.15650731587493336,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-staticK4,vulnerability,20,20,0.15650731587493336,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-sequential,vulnerability,20,20,0.09966625449823538,"[3.6910786371802118e-09, 1.382219372335694e-08, 0.49999998772632503, 0.499999987726327, 7.0340756726239295e-09]",20
SUT-F,Uniform-Mixture-H,collision,20,20,0.12037037037037036,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-staticK1,collision,20,20,0.12037037037037036,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-staticK2,collision,20,20,0.12037037037037036,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-staticK4,collision,20,20,0.12037037037037036,"[0.2, 0.2, 0.2, 0.2, 0.2]",20
SUT-F,AdaTE-Mixture-H-sequential,collision,20,20,0.11111111181241287,"[1.3877787807814457e-17, 3.1977865224720736e-08, 0.4999999781186379, 0.4999999781186381, 1.1784858609809046e-08]",20
