step,target_sut,method_variant,response,alpha_0,alpha_1,alpha_2,alpha_3,alpha_4
16,SUT-A,AdaTE-Mixture-H-sequential,vulnerability,1.8883763391606188e-09,0.33333327136827906,0.33333327136827545,1.8400679477337256e-07,0.3333332713682745
17,SUT-A,AdaTE-Mixture-H-sequential,vulnerability,1.8883763391606188e-09,0.33333327136827906,0.33333327136827545,1.8400679477337256e-07,0.3333332713682745
18,SUT-A,AdaTE-Mixture-H-sequential,vulnerability,1.8883763391606188e-09,0.33333327136827906,0.33333327136827545,1.8400679477337256e-07,0.3333332713682745
19,SUT-A,AdaTE-Mixture-H-sequential,vulnerability,1.8883763391606188e-09,0.33333327136827906,0.33333327136827545,1.8400679477337256e-07,0.3333332713682745
20,SUT-A,AdaTE-Mixture-H-sequential,vulnerability,3.848655242460982e-18,0.31023008442414113,0.3102300844241376,0.06930974672758478,0.3102300844241366
1,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
2,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
3,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
4,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
5,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
6,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
7,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
8,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
9,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
10,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
11,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
12,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
13,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
14,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
15,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
16,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
17,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
18,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
19,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
20,SUT-A,Uniform-Mixture-H,collision,0.2,0.2,0.2,0.2,0.2
1,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
2,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
3,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
4,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
5,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
6,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
7,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
8,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
9,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
10,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
11,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
12,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
13,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
14,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
15,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
16,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
17,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
18,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
19,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
20,SUT-A,AdaTE-Mixture-H-staticK1,collision,0.2,0.2,0.2,0.2,0.2
1,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
2,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
3,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
4,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
5,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
6,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
7,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
8,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
9,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
10,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
11,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
12,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
13,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
14,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
15,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
16,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
17,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
18,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
19,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
20,SUT-A,AdaTE-Mixture-H-staticK2,collision,0.2,0.2,0.2,0.2,0.2
1,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
2,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
3,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
4,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
5,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
6,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
7,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
8,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
9,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
10,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
11,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
12,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
13,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
14,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
15,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
16,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
17,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
18,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
19,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
20,SUT-A,AdaTE-Mixture-H-staticK4,collision,0.2,0.2,0.2,0.2,0.2
1,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
2,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
3,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
4,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
5,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
6,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
7,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
8,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
9,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
10,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
11,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
12,SUT-A,AdaTE-Mixture-H-sequential,collision,0.2,0.2,0.2,0.2,0.2
13,SUT-A,AdaTE-Mixture-H-sequential,collision,7.4407580860635925e-09,0.24999999813981055,0.2499999981398105,0.24999999813981047,0.2499999981398105
14,SUT-A,AdaTE-Mixture-H-sequential,collision,7.4407580860635925e-09,0.24999999813981055,0.2499999981398105,0.24999999813981047,0.2499999981398105
15,SUT-A,AdaTE-Mixture-H-sequential,collision,1.1101170083145632e-08,0.3333333296329433,0.33333332963294326,0.0,0.3333333296329432
16,SUT-A,AdaTE-Mixture-H-sequential,collision,1.1101170083145632e-08,0.3333333296329433,0.33333332963294326,0.0,0.3333333296329432
17,SUT-A,AdaTE-Mixture-H-sequential,collision,1.1101170083145632e-08,0.3333333296329433,0.33333332963294326,0.0,0.3333333296329432
18,SUT-A,AdaTE-Mixture-H-sequential,collision,1.1101170083145632e-08,0.3333333296329433,0.33333332963294326,0.0,0.3333333296329432
19,SUT-A,AdaTE-Mixture-H-sequential,collision,7.085899993500289e-09,0.2666666641326876,0.26666666413268736,0.20000000051603758,0.26666666413268736
20,SUT-A,AdaTE-Mixture-H-sequential,collision,5.511255444077315e-09,0.27777777634701617,0.27777777634701595,0.16666666544769645,0.27777777634701595
1,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
2,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
3,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
4,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
5,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
6,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
7,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
8,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
9,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
10,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
11,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
12,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
13,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
14,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
15,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
16,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
17,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
18,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
19,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
20,SUT-B,Uniform-Mixture-H,vulnerability,0.2,0.2,0.2,0.2,0.2
1,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
2,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
3,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
4,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
5,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
6,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
7,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
8,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
9,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
10,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
11,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
12,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
13,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
14,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
15,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
16,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
17,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
18,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
19,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
20,SUT-B,AdaTE-Mixture-H-staticK1,vulnerability,0.2,0.2,0.2,0.2,0.2
1,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
2,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
3,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
4,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
5,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
6,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
7,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
8,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
9,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
10,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
11,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
12,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
13,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
14,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
15,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
16,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
17,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
18,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
19,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
20,SUT-B,AdaTE-Mixture-H-staticK2,vulnerability,0.2,0.2,0.2,0.2,0.2
1,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
2,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
3,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
4,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
5,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
6,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
7,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
8,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
9,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
10,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
11,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
12,SUT-B,AdaTE-Mixture-H-staticK4,vulnerability,0.2,0.2,0.2,0.2,0.2
