seed,target,index,mode,frequency_hz,event_5hz,collision_5hz,event_new,collision_new,min_ttc_new,min_clearance_new
20290729,vi_ttc,11,fast_intrusion,20,True,False,False,False,2.1194803038033445,1.034593842302005
20290729,vi_ttc,12,fast_intrusion,10,True,True,True,True,0.5980918591549036,0.048721861541754265
20290729,vi_ttc,12,fast_intrusion,20,True,True,True,True,0.5789926159825524,0.0
20290729,vi_ttc,14,fast_intrusion,10,False,False,False,False,1.8436556560068484,1.794334774029781
20290729,vi_ttc,14,fast_intrusion,20,False,False,False,False,1.9278789512013794,1.814144890320473
20290729,vi_ttc,22,fast_intrusion,10,True,False,True,False,1.158900692046788,1.6245992222736634
20290729,vi_ttc,22,fast_intrusion,20,True,False,True,False,1.1730395958902,1.5912587324467453
20290729,vi_ttc,26,fast_intrusion,10,False,False,False,False,2.660776778398268,1.9771223931232558
20290729,vi_ttc,26,fast_intrusion,20,False,False,False,False,2.698220338243304,1.9842394453750751
20290729,vi_ttc,27,fast_intrusion,10,False,False,False,False,inf,2.028667803443893
20290729,vi_ttc,27,fast_intrusion,20,False,False,False,False,inf,1.8444491832984269
20290729,vi_ttc,28,fast_intrusion,10,True,True,True,True,0.7002240984758903,5.828670879282072e-15
20290729,vi_ttc,28,fast_intrusion,20,True,True,True,True,0.6997586642960625,0.005195459591546908
20290729,vi_ttc,35,fast_intrusion,10,True,False,True,False,1.4777915075812158,0.9517920442603917
20290729,vi_ttc,35,fast_intrusion,20,True,False,False,False,1.5096384062514698,1.0421612068308113
20290729,vi_ttc,38,fast_intrusion,10,False,False,False,False,1.744223980793977,1.8443835918826856
20290729,vi_ttc,38,fast_intrusion,20,False,False,False,False,1.7674548859589985,1.8633739468555008
20290729,vi_ttc,42,fast_intrusion,10,False,False,False,False,1.7152193143937722,1.8783385374040011
20290729,vi_ttc,42,fast_intrusion,20,False,False,False,False,1.7879825961488987,1.8922250017791373
20290729,vi_ttc,44,fast_intrusion,10,False,False,False,False,1.7814660123475166,1.7971282318046005
20290729,vi_ttc,44,fast_intrusion,20,False,False,False,False,1.8124621442602151,1.8228213966569025
20290729,vi_ttc,46,fast_intrusion,10,True,False,True,False,0.7935946450310984,1.009965807281766
20290729,vi_ttc,46,fast_intrusion,20,True,False,True,False,0.806853492855738,1.0669349269403312
20290729,vi_ttc,62,fast_intrusion,10,True,False,True,False,1.32614483073574,1.5948870290301156
20290729,vi_ttc,62,fast_intrusion,20,True,False,True,False,1.3462907508866215,1.6231523558520464
20290729,vi_ttc,64,cutin_braking,10,True,False,True,False,1.2148386195470058,1.384796994730422
20290729,vi_ttc,64,cutin_braking,20,True,False,True,False,1.1791115919031476,1.3717314803766782
20290729,vi_ttc,65,cutin_braking,10,True,True,True,True,0.9498944024430339,0.0
20290729,vi_ttc,65,cutin_braking,20,True,True,True,True,0.9797459198667524,0.0
20290729,vi_ttc,69,cutin_braking,10,False,False,False,False,19.873031619064037,1.999588009758806
20290729,vi_ttc,69,cutin_braking,20,False,False,False,False,21.47709652571902,1.9996659710521825
20290729,vi_ttc,72,cutin_braking,10,True,False,True,False,1.1142524225265003,1.526951977647071
20290729,vi_ttc,72,cutin_braking,20,True,False,True,False,1.1776543257654402,1.5493295072690954
20290729,vi_ttc,74,cutin_braking,10,True,True,True,True,0.5987201453278581,0.0
20290729,vi_ttc,74,cutin_braking,20,True,True,True,True,0.5937018294089871,0.0
