method,target_sut,repeat,mode,queries,critical_events_found,critical_events_available,critical_recall_at_50
Random,SUT-F,13,lead_braking,9,5,29,0.1724137931034483
Random,SUT-F,13,stop_and_go,14,11,33,0.3333333333333333
Random,SUT-F,13,slow_lead_following,8,4,23,0.17391304347826086
Random,SUT-F,14,fast_intrusion,9,6,26,0.23076923076923078
Random,SUT-F,14,cutin_braking,6,5,29,0.1724137931034483
Random,SUT-F,14,lead_braking,11,6,29,0.20689655172413793
Random,SUT-F,14,stop_and_go,10,6,33,0.18181818181818182
Random,SUT-F,14,slow_lead_following,14,7,23,0.30434782608695654
Random,SUT-F,15,fast_intrusion,8,7,26,0.2692307692307692
Random,SUT-F,15,cutin_braking,13,9,29,0.3103448275862069
Random,SUT-F,15,lead_braking,9,5,29,0.1724137931034483
Random,SUT-F,15,stop_and_go,10,7,33,0.21212121212121213
Random,SUT-F,15,slow_lead_following,10,5,23,0.21739130434782608
Random,SUT-F,16,fast_intrusion,10,5,26,0.19230769230769232
Random,SUT-F,16,cutin_braking,9,6,29,0.20689655172413793
Random,SUT-F,16,lead_braking,11,9,29,0.3103448275862069
Random,SUT-F,16,stop_and_go,10,6,33,0.18181818181818182
Random,SUT-F,16,slow_lead_following,10,6,23,0.2608695652173913
Random,SUT-F,17,fast_intrusion,13,6,26,0.23076923076923078
Random,SUT-F,17,cutin_braking,7,2,29,0.06896551724137931
Random,SUT-F,17,lead_braking,10,4,29,0.13793103448275862
Random,SUT-F,17,stop_and_go,12,8,33,0.24242424242424243
Random,SUT-F,17,slow_lead_following,8,3,23,0.13043478260869565
Random,SUT-F,18,fast_intrusion,8,4,26,0.15384615384615385
Random,SUT-F,18,cutin_braking,7,3,29,0.10344827586206896
Random,SUT-F,18,lead_braking,11,7,29,0.2413793103448276
Random,SUT-F,18,stop_and_go,10,9,33,0.2727272727272727
Random,SUT-F,18,slow_lead_following,14,5,23,0.21739130434782608
Random,SUT-F,19,fast_intrusion,8,3,26,0.11538461538461539
Random,SUT-F,19,cutin_braking,13,8,29,0.27586206896551724
Random,SUT-F,19,lead_braking,6,2,29,0.06896551724137931
Random,SUT-F,19,stop_and_go,12,8,33,0.24242424242424243
Random,SUT-F,19,slow_lead_following,11,4,23,0.17391304347826086
