seed,mode,local_index,sut,initial_gap,relative_speed,timing,intensity,ego_collision,background_collision,near_miss,min_ttc,min_polygon_clearance,completed
20290317,cutin_braking,7,ppo_ece,20.90960990730673,0.0837460458278656,0.33249607468023895,0.22811568630859258,False,False,False,inf,13.526748642656719,True
20290317,cutin_braking,7,vi_ttc,20.90960990730673,0.0837460458278656,0.33249607468023895,0.22811568630859258,False,False,False,2.7451114782342487,1.9173161219775494,True
20290317,cutin_braking,8,idm_mobil,22.03791602049023,-5.038296416401863,0.5570492194965483,0.3839938591234386,False,False,False,3.447209002923139,4.255011617699382,True
20290317,cutin_braking,8,mcts_cv,22.03791602049023,-5.038296416401863,0.5570492194965483,0.3839938591234386,False,False,False,17.25717127113365,13.577528745033222,True
20290317,cutin_braking,8,ppo_ece,22.03791602049023,-5.038296416401863,0.5570492194965483,0.3839938591234386,False,False,False,3.898811996835203,1.9618452004929672,True
20290317,cutin_braking,8,vi_ttc,22.03791602049023,-5.038296416401863,0.5570492194965483,0.3839938591234386,False,False,True,0.8559924418848338,1.0309122128603139,True
20290317,cutin_braking,9,idm_mobil,13.97743084281683,4.047981783747673,0.28134620627388357,0.5431457568891347,False,False,False,inf,5.507800415480217,True
20290317,cutin_braking,9,mcts_cv,13.97743084281683,4.047981783747673,0.28134620627388357,0.5431457568891347,False,False,False,52.16918883259449,5.507800415480217,True
20290317,cutin_braking,9,ppo_ece,13.97743084281683,4.047981783747673,0.28134620627388357,0.5431457568891347,False,False,False,inf,5.475682169779917,True
20290317,cutin_braking,9,vi_ttc,13.97743084281683,4.047981783747673,0.28134620627388357,0.5431457568891347,False,False,False,12.782579113810277,1.9727449117497393,True
20290317,cutin_braking,10,idm_mobil,9.732490945607424,-2.705574333667755,0.7358971195295454,0.1869286268018186,False,False,True,2.4624618353332925,0.7347401223906047,True
20290317,cutin_braking,10,mcts_cv,9.732490945607424,-2.705574333667755,0.7358971195295454,0.1869286268018186,False,False,False,inf,1.9823177820670905,True
20290317,cutin_braking,10,ppo_ece,9.732490945607424,-2.705574333667755,0.7358971195295454,0.1869286268018186,False,False,False,3.274444980982572,3.369185583150863,True
20290317,cutin_braking,10,vi_ttc,9.732490945607424,-2.705574333667755,0.7358971195295454,0.1869286268018186,True,True,False,inf,0.019354863756985117,False
20290317,cutin_braking,11,idm_mobil,15.583763343282044,3.691982686519623,0.11654530307278038,0.9138499052263797,False,False,False,inf,7.3535808248583425,True
20290317,cutin_braking,11,mcts_cv,15.583763343282044,3.691982686519623,0.11654530307278038,0.9138499052263797,False,False,False,28.08665348961256,7.3535808248583425,True
