method,target_sut,repeat,critical_score_at_20,collision_count_at_20,failure_count_at_20,curve
Random Support + Adaptation,SUT-A,16,17.5,17,18,1.000;1.000;2.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000;17.000;17.500
Random,SUT-A,17,3.5,3,4,0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;3.500
Random Support + Adaptation,SUT-A,17,17.5,17,18,0.000;0.000;0.500;1.500;2.500;3.500;4.500;5.500;6.500;7.500;8.500;9.500;10.500;11.500;12.500;13.500;14.500;15.500;16.500;17.500
Random,SUT-A,18,4.0,4,4,1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;2.000;3.000;3.000;3.000;4.000;4.000;4.000;4.000;4.000
Random Support + Adaptation,SUT-A,18,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Random,SUT-A,19,4.0,3,5,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.500;1.500;2.000;2.000;3.000;3.000;3.000;3.000;4.000;4.000;4.000;4.000
Random Support + Adaptation,SUT-A,19,16.0,16,16,0.000;0.000;0.000;0.000;1.000;2.000;3.000;4.000;5.000;6.000;7.000;8.000;9.000;10.000;11.000;12.000;13.000;14.000;15.000;16.000
Shared Prior,SUT-B,0,14.5,10,19,1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500;14.000;14.000;14.500
DIVA Diagnostic + Adaptation,SUT-B,0,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Highest-Risk Support + Adaptation,SUT-B,0,14.5,10,19,1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000;13.500;14.000;14.000;14.500
Random,SUT-B,0,3.5,3,4,1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.500;2.500;3.500;3.500;3.500;3.500;3.500
Random Support + Adaptation,SUT-B,0,14.0,10,18,0.000;0.500;1.500;1.500;2.500;3.000;4.000;5.000;6.000;6.500;7.500;8.000;9.000;10.000;11.000;12.000;12.500;13.000;13.500;14.000
Random,SUT-B,1,1.0,0,2,0.000;0.000;0.000;0.000;0.000;0.000;0.500;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-B,1,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,2,1.0,0,2,0.000;0.000;0.000;0.000;0.000;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-B,2,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,3,1.5,1,2,0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;0.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500
Random Support + Adaptation,SUT-B,3,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,4,2.0,1,3,0.000;0.000;0.500;0.500;0.500;0.500;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;2.000;2.000;2.000;2.000;2.000;2.000
Random Support + Adaptation,SUT-B,4,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,5,1.0,1,1,0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;1.000;1.000;1.000;1.000
Random Support + Adaptation,SUT-B,5,13.5,10,17,0.000;0.000;0.500;0.500;1.500;2.000;3.000;4.000;5.000;5.500;6.500;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.000;13.500
Random,SUT-B,6,4.0,3,5,1.000;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.500;2.500;2.500;2.500;2.500;2.500;2.500;3.000;4.000
Random Support + Adaptation,SUT-B,6,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
Random,SUT-B,7,3.0,2,4,1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.000;1.500;1.500;1.500;1.500;1.500;1.500;1.500;2.500;3.000;3.000;3.000
Random Support + Adaptation,SUT-B,7,13.5,10,17,0.000;0.500;0.500;0.500;1.500;2.000;3.000;4.000;5.000;5.500;6.500;7.000;8.000;9.000;10.000;11.000;12.000;12.500;13.000;13.500
Random,SUT-B,8,3.0,1,5,0.000;0.000;0.000;0.000;0.500;0.500;1.500;1.500;1.500;1.500;2.000;2.000;2.500;2.500;2.500;2.500;2.500;2.500;2.500;3.000
Random Support + Adaptation,SUT-B,8,13.0,10,16,0.000;0.000;0.000;0.000;1.000;1.500;2.500;3.500;4.500;5.000;6.000;6.500;7.500;8.500;9.500;10.500;11.500;12.000;12.500;13.000
