method,target_sut,repeat,ndcg_at_10,top_10_recall,spearman
Random Support + Adaptation,SUT-F,7,1.0,0.5,0.9739802691814686
Random Support + Adaptation,SUT-F,8,1.0,0.4,0.9745238967222121
Random Support + Adaptation,SUT-F,9,1.0,0.5,0.9611678264054202
Random Support + Adaptation,SUT-F,10,1.0,0.4,0.975078969053287
Random Support + Adaptation,SUT-F,11,1.0,0.5,0.9736312030763596
Random Support + Adaptation,SUT-F,12,1.0,0.4,0.9701805987914301
Random Support + Adaptation,SUT-F,13,1.0,0.4,0.9683837667093939
Random Support + Adaptation,SUT-F,14,1.0,0.4,0.9745525086980407
Random Support + Adaptation,SUT-F,15,1.0,0.4,0.9691276780809376
Random Support + Adaptation,SUT-F,16,1.0,0.5,0.9684638802417139
Random Support + Adaptation,SUT-F,17,1.0,0.2,0.9754909815052188
Random Support + Adaptation,SUT-F,18,1.0,0.4,0.9693565738875664
Random Support + Adaptation,SUT-F,19,1.0,0.2,0.9755825398278704
