method,target_sut,repeat,raw_critical_score_at_20,regression_critical_score_at_20,target_specific_failure_count_at_20,queried_indices,raw_curve,regression_curve,target_specific_curve
Random,SUT-C,18,3.0,1.0,0.0,118;17;115;98;6;72;109;117;84;19;121;64;97;127;43;30;62;33;3;38,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;2.000000;2.000000;2.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.428571;0.571429;0.571429;0.571429;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Random,SUT-C,19,7.5,2.4285714285714284,0.0,25;14;29;15;89;59;71;30;116;53;90;125;111;47;64;94;42;13;45;65,0.000000;0.000000;0.000000;1.000000;2.000000;2.500000;3.500000;3.500000;3.500000;3.500000;4.500000;5.500000;5.500000;6.500000;6.500000;6.500000;6.500000;6.500000;6.500000;7.500000,0.000000;0.000000;0.000000;0.428571;0.714286;1.000000;1.571429;1.571429;1.571429;1.571429;1.714286;1.857143;1.857143;2.142857;2.142857;2.142857;2.142857;2.142857;2.142857;2.428571,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Shared Prior,SUT-D,0,19.5,3.214285714285714,0.0,7;24;39;55;56;69;85;101;106;117;31;77;125;63;23;74;40;47;11;113,1.000000;2.000000;3.000000;4.000000;5.000000;6.000000;7.000000;8.000000;9.000000;10.000000;11.000000;12.000000;13.000000;14.000000;15.000000;16.000000;16.500000;17.500000;18.500000;19.500000,0.142857;0.285714;0.428571;0.571429;0.714286;0.857143;1.000000;1.142857;1.285714;1.428571;1.571429;1.714286;1.857143;2.000000;2.142857;2.285714;2.357143;2.642857;2.928571;3.214286,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000
Population-Novelty Only,SUT-D,0,13.5,8.357142857142856,10.0,71;111;105;19;59;35;21;83;109;15;103;27;119;61;99;95;121;81;0;123,1.000000;2.000000;3.000000;3.500000;4.000000;4.500000;5.500000;6.500000;7.500000;8.000000;9.000000;9.000000;10.000000;10.500000;11.000000;11.500000;12.500000;13.000000;13.000000;13.500000,0.571429;1.285714;1.857143;2.214286;2.500000;2.785714;3.500000;4.214286;4.642857;4.857143;5.571429;5.571429;6.285714;6.642857;7.000000;7.357143;7.785714;8.000000;8.000000;8.357143,0.000000;1.000000;1.000000;2.000000;2.000000;2.000000;3.000000;4.000000;4.000000;4.000000;5.000000;5.000000;6.000000;7.000000;8.000000;9.000000;9.000000;9.000000;9.000000;10.000000
Bayesian Regression Vulnerability,SUT-D,0,12.0,8.14285714285714,15.0,109;71;111;103;119;19;83;97;21;95;61;99;41;123;1;73;79;27;37;126,1.000000;2.000000;3.000000;4.000000;5.000000;5.500000;6.500000;7.000000;8.000000;8.500000;9.000000;9.500000;10.000000;10.500000;11.000000;11.500000;11.500000;11.500000;12.000000;12.000000,0.428571;1.000000;1.714286;2.428571;3.142857;3.500000;4.214286;4.571429;5.285714;5.642857;6.000000;6.357143;6.714286;7.071429;7.428571;7.785714;7.785714;7.785714;8.142857;8.142857,0.000000;0.000000;1.000000;2.000000;3.000000;4.000000;5.000000;6.000000;7.000000;8.000000;9.000000;10.000000;11.000000;12.000000;13.000000;14.000000;14.000000;14.000000;15.000000;15.000000
Random,SUT-D,0,7.0,2.5714285714285716,3.0,102;41;10;4;64;121;99;91;122;50;11;40;69;113;38;52;42;47;5;61,0.000000;0.500000;0.500000;0.500000;0.500000;1.500000;2.000000;2.000000;2.000000;2.000000;3.000000;3.500000;4.500000;5.500000;5.500000;5.500000;5.500000;6.500000;6.500000;7.000000,0.000000;0.357143;0.357143;0.357143;0.357143;0.785714;1.142857;1.142857;1.142857;1.142857;1.428571;1.500000;1.642857;1.928571;1.928571;1.928571;1.928571;2.214286;2.214286;2.571429,0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;3.000000
Random,SUT-D,1,4.5,0.9285714285714287,1.0,122;26;116;19;125;17;58;126;31;94;106;86;56;34;67;14;124;28;43;44,0.000000;0.000000;0.000000;0.500000;1.500000;1.500000;1.500000;1.500000;2.500000;2.500000;3.500000;3.500000;4.500000;4.500000;4.500000;4.500000;4.500000;4.500000;4.500000;4.500000,0.000000;0.000000;0.000000;0.357143;0.500000;0.500000;0.500000;0.500000;0.642857;0.642857;0.785714;0.785714;0.928571;0.928571;0.928571;0.928571;0.928571;0.928571;0.928571;0.928571,0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
Random,SUT-D,2,6.0,2.928571428571429,6.0,13;73;99;35;113;72;44;4;49;90;9;25;30;116;1;14;19;92;107;63,0.500000;1.000000;1.500000;2.000000;3.000000;3.000000;3.000000;3.000000;3.500000;4.000000;4.000000;4.000000;4.000000;4.000000;4.500000;4.500000;5.000000;5.000000;5.000000;6.000000,0.357143;0.714286;1.071429;1.357143;1.642857;1.642857;1.642857;1.642857;2.000000;2.071429;2.071429;2.071429;2.071429;2.071429;2.428571;2.428571;2.785714;2.785714;2.785714;2.928571,1.000000;2.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;4.000000;4.000000;4.000000;4.000000;4.000000;4.000000;5.000000;5.000000;6.000000;6.000000;6.000000;6.000000
Random,SUT-D,3,4.5,1.642857142857143,2.0,34;61;46;41;66;86;85;8;54;26;104;2;90;101;45;22;79;68;105;127,0.000000;0.500000;0.500000;1.000000;1.000000;1.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.500000;3.500000;3.500000;3.500000;3.500000;3.500000;4.500000;4.500000,0.000000;0.357143;0.357143;0.714286;0.714286;0.714286;0.857143;0.857143;0.857143;0.857143;0.857143;0.857143;0.928571;1.071429;1.071429;1.071429;1.071429;1.071429;1.642857;1.642857,0.000000;1.000000;1.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000;2.000000
Random,SUT-D,4,7.0,2.142857142857143,1.0,47;69;105;120;50;29;100;107;62;111;85;76;72;18;79;102;66;24;3;39,1.000000;2.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;3.000000;4.000000;5.000000;5.000000;5.000000;5.000000;5.000000;5.000000;5.000000;6.000000;6.000000;7.000000,0.285714;0.428571;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.714286;1.857143;1.857143;1.857143;1.857143;1.857143;1.857143;1.857143;2.000000;2.000000;2.142857,0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;0.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000;1.000000
