seed,target_sut,coverage,heterogeneity,noise_scale,step,index,event_probability,predicted_severity
20261103,Target-exact-partial-1,exact,partial,0.3,17,296,1.0,0.899224841518453
20261103,Target-exact-partial-1,exact,partial,0.3,18,389,1.0,0.8971967151713145
20261103,Target-exact-partial-1,exact,partial,0.3,19,393,1.0,0.9044751219806115
20261103,Target-exact-partial-1,exact,partial,0.3,20,397,1.0,0.9070835357277045
20261103,Target-exact-partial-1,exact,partial,0.3,21,526,1.0,0.8946608473752136
20261103,Target-exact-partial-1,exact,partial,0.3,22,288,1.0,0.8839988422792844
20261103,Target-exact-partial-1,exact,partial,0.3,23,518,1.0,0.8690497176260223
20261103,Target-exact-partial-1,exact,partial,0.3,24,272,1.0,0.8678271329890035
20261103,Target-exact-partial-1,exact,partial,0.3,25,387,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,26,395,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,27,570,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,28,574,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,29,578,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,30,582,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,31,586,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,32,588,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,33,590,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,34,592,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,35,594,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,36,596,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,37,598,1.0,0.8499999999999999
20261103,Target-exact-partial-1,exact,partial,0.3,38,513,1.0,0.8390267467472559
20261103,Target-exact-partial-1,exact,partial,0.3,39,399,1.0,0.6659064614990935
20261103,Target-exact-partial-1,exact,partial,0.3,40,391,1.0000000000000002,0.6375000000000001
20261103,Target-exact-partial-1,exact,partial,0.3,41,475,0.9999999999999999,0.9757220473407076
20261103,Target-exact-partial-1,exact,partial,0.3,42,483,1.0,0.9729758362931202
20261103,Target-exact-partial-1,exact,partial,0.3,43,419,1.0,0.9722943819879308
20261103,Target-exact-partial-1,exact,partial,0.3,44,471,1.0,0.9720079908042698
