subgroup,value,method,budget,seed_target_units,evaluable_units,mean_event_count,mean_event_prevalence,mean_critical_recall
mode,cutin_braking,Random,50,90,90,17.322222222222223,0.17322222222222222,0.08241631446111612
mode,cutin_braking,DETOUR,10,90,90,17.322222222222223,0.17322222222222222,0.04592565106624736
mode,cutin_braking,DETOUR,20,90,90,17.322222222222223,0.17322222222222222,0.10863452582808089
mode,cutin_braking,DETOUR,30,90,90,17.322222222222223,0.17322222222222222,0.16613990630103548
mode,cutin_braking,DETOUR,50,90,90,17.322222222222223,0.17322222222222222,0.2519968337066175
mode,cutin_braking,Mining,10,90,90,17.322222222222223,0.17322222222222222,0.05701665558861814
mode,cutin_braking,Mining,20,90,90,17.322222222222223,0.17322222222222222,0.07969033326564348
mode,cutin_braking,Mining,30,90,90,17.322222222222223,0.17322222222222222,0.2895818034188871
mode,cutin_braking,Mining,50,90,90,17.322222222222223,0.17322222222222222,0.4157593220502052
mode,cutin_braking,Mining-DETOUR,10,90,90,17.322222222222223,0.17322222222222222,0.059006816175269955
mode,cutin_braking,Mining-DETOUR,20,90,90,17.322222222222223,0.17322222222222222,0.08101756201289287
mode,cutin_braking,Mining-DETOUR,30,90,90,17.322222222222223,0.17322222222222222,0.29218924795615625
mode,cutin_braking,Mining-DETOUR,50,90,90,17.322222222222223,0.17322222222222222,0.41609000615797903
mode,cutin_braking,AdaTE Global,10,90,90,17.322222222222223,0.17322222222222222,0.05432722213517728
mode,cutin_braking,AdaTE Global,20,90,90,17.322222222222223,0.17322222222222222,0.23058752122079923
mode,cutin_braking,AdaTE Global,30,90,90,17.322222222222223,0.17322222222222222,0.3353464345048075
mode,cutin_braking,AdaTE Global,50,90,90,17.322222222222223,0.17322222222222222,0.5486941343523123
mode,cutin_braking,Function-Conditioned Mining,10,90,90,17.322222222222223,0.17322222222222222,0.07576691918547365
mode,cutin_braking,Function-Conditioned Mining,20,90,90,17.322222222222223,0.17322222222222222,0.2044319010395554
mode,cutin_braking,Function-Conditioned Mining,30,90,90,17.322222222222223,0.17322222222222222,0.3207110242218224
mode,cutin_braking,Function-Conditioned Mining,50,90,90,17.322222222222223,0.17322222222222222,0.4827734983083532
mode,cutin_braking,Posterior Search (adaptive support),10,90,90,17.322222222222223,0.17322222222222222,0.08027766886134198
mode,cutin_braking,Posterior Search (adaptive support),20,90,90,17.322222222222223,0.17322222222222222,0.252943496766592
mode,cutin_braking,Posterior Search (adaptive support),30,90,90,17.322222222222223,0.17322222222222222,0.3241491916119455
mode,cutin_braking,Posterior Search (adaptive support),50,90,90,17.322222222222223,0.17322222222222222,0.471416503597486
mode,lead_braking,Random,10,90,90,16.233333333333334,0.16233333333333333,0.015964316620045063
mode,lead_braking,Random,20,90,90,16.233333333333334,0.16233333333333333,0.033390200720708675
mode,lead_braking,Random,30,90,90,16.233333333333334,0.16233333333333333,0.05162224620223965
mode,lead_braking,Random,50,90,90,16.233333333333334,0.16233333333333333,0.0847068449709066
mode,lead_braking,DETOUR,10,90,90,16.233333333333334,0.16233333333333333,0.06875904036194891
mode,lead_braking,DETOUR,20,90,90,16.233333333333334,0.16233333333333333,0.12736582814959327
mode,lead_braking,DETOUR,30,90,90,16.233333333333334,0.16233333333333333,0.24189053880464625
mode,lead_braking,DETOUR,50,90,90,16.233333333333334,0.16233333333333333,0.32319580063598663
mode,lead_braking,Mining,10,90,90,16.233333333333334,0.16233333333333333,0.007459794245569959
mode,lead_braking,Mining,20,90,90,16.233333333333334,0.16233333333333333,0.03257700949436415
mode,lead_braking,Mining,30,90,90,16.233333333333334,0.16233333333333333,0.04272969037072924
mode,lead_braking,Mining,50,90,90,16.233333333333334,0.16233333333333333,0.18724844056304682
mode,lead_braking,Mining-DETOUR,10,90,90,16.233333333333334,0.16233333333333333,0.008391676420142193
mode,lead_braking,Mining-DETOUR,20,90,90,16.233333333333334,0.16233333333333333,0.027953336113380835
mode,lead_braking,Mining-DETOUR,30,90,90,16.233333333333334,0.16233333333333333,0.038899667783396714
mode,lead_braking,Mining-DETOUR,50,90,90,16.233333333333334,0.16233333333333333,0.18829429008842852
mode,lead_braking,AdaTE Global,10,90,90,16.233333333333334,0.16233333333333333,0.0
mode,lead_braking,AdaTE Global,20,90,90,16.233333333333334,0.16233333333333333,0.0006172839506172839
mode,lead_braking,AdaTE Global,30,90,90,16.233333333333334,0.16233333333333333,0.10957933138163971
mode,lead_braking,AdaTE Global,50,90,90,16.233333333333334,0.16233333333333333,0.3199593153331751
mode,lead_braking,Function-Conditioned Mining,10,90,90,16.233333333333334,0.16233333333333333,0.061839294331005774
mode,lead_braking,Function-Conditioned Mining,20,90,90,16.233333333333334,0.16233333333333333,0.0653295013299847
mode,lead_braking,Function-Conditioned Mining,30,90,90,16.233333333333334,0.16233333333333333,0.12161012562863621
mode,lead_braking,Function-Conditioned Mining,50,90,90,16.233333333333334,0.16233333333333333,0.32064893529660504
mode,lead_braking,Posterior Search (adaptive support),10,90,90,16.233333333333334,0.16233333333333333,0.07528766694604506
mode,lead_braking,Posterior Search (adaptive support),20,90,90,16.233333333333334,0.16233333333333333,0.15031584047697055
mode,lead_braking,Posterior Search (adaptive support),30,90,90,16.233333333333334,0.16233333333333333,0.30496250248603374
mode,lead_braking,Posterior Search (adaptive support),50,90,90,16.233333333333334,0.16233333333333333,0.44601189648047407
mode,stop_and_go,Random,10,90,90,15.377777777777778,0.1537777777777778,0.017265092845687245
mode,stop_and_go,Random,20,90,90,15.377777777777778,0.1537777777777778,0.03329857021105705
mode,stop_and_go,Random,30,90,90,15.377777777777778,0.1537777777777778,0.05102991519441656
mode,stop_and_go,Random,50,90,90,15.377777777777778,0.1537777777777778,0.08434897494448948
mode,stop_and_go,DETOUR,10,90,90,15.377777777777778,0.1537777777777778,0.07104343850081274
mode,stop_and_go,DETOUR,20,90,90,15.377777777777778,0.1537777777777778,0.0813262258731006
mode,stop_and_go,DETOUR,30,90,90,15.377777777777778,0.1537777777777778,0.16293102476454402
mode,stop_and_go,DETOUR,50,90,90,15.377777777777778,0.1537777777777778,0.24797405579968926
mode,stop_and_go,Mining,10,90,90,15.377777777777778,0.1537777777777778,0.016382466050982855
mode,stop_and_go,Mining,20,90,90,15.377777777777778,0.1537777777777778,0.01790618841420568
mode,stop_and_go,Mining,30,90,90,15.377777777777778,0.1537777777777778,0.025586160593098612
mode,stop_and_go,Mining,50,90,90,15.377777777777778,0.1537777777777778,0.2167280792097592
mode,stop_and_go,Mining-DETOUR,10,90,90,15.377777777777778,0.1537777777777778,0.016382466050982855
