scope,coverage,heterogeneity,method,reference,budget,mean_recall_difference,hierarchical_bootstrap_low,hierarchical_bootstrap_high,wins,ties,losses,seed_target_units
heterogeneity,all,global,Posterior Search (adaptive support),DIVA-DETOUR,30,0.07895208138412567,0.06354052537921276,0.0937299920058114,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),DIVA-DETOUR,50,0.07973194371665558,0.06370179500009968,0.09493255729205186,25,5,0,30
heterogeneity,all,global,Posterior Search (adaptive support),AdaTE Global,10,0.0,0.0,0.0,0,30,0,30
heterogeneity,all,global,Posterior Search (adaptive support),AdaTE Global,20,0.0007892033249276176,0.0,0.0027692164004856643,2,28,0,30
heterogeneity,all,global,Posterior Search (adaptive support),AdaTE Global,30,0.009869692086562272,0.0031245410621912957,0.017868266795690074,10,20,0,30
heterogeneity,all,global,Posterior Search (adaptive support),AdaTE Global,50,0.018706554604573725,0.010916915809792092,0.026832558716976804,18,11,1,30
heterogeneity,all,global,Posterior Search (adaptive support),Function-Conditioned DIVA,10,0.0059004374378455885,0.002439024390243902,0.01008595504692156,11,19,0,30
heterogeneity,all,global,Posterior Search (adaptive support),Function-Conditioned DIVA,20,0.006306941502886239,0.0024441608650803137,0.01111872908051871,11,19,0,30
heterogeneity,all,global,Posterior Search (adaptive support),Function-Conditioned DIVA,30,0.006306941502886241,0.0026452876956155847,0.011182334574366145,11,19,0,30
heterogeneity,all,global,Posterior Search (adaptive support),Function-Conditioned DIVA,50,0.009505500409691095,0.005440182660113754,0.014322599522879143,19,10,1,30
heterogeneity,all,partial,Posterior Search (adaptive support),Random,10,0.06389406333600235,0.05740014762768879,0.07033489805034603,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),Random,20,0.12772429457202933,0.11457437045065574,0.14025603473504916,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),Random,30,0.19223788997886374,0.173019347095798,0.21153210388387955,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),Random,50,0.32068352858077603,0.2884393786800433,0.35200940597170305,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DETOUR,10,0.012261388981534994,0.007959734447398826,0.01685383861485099,23,7,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DETOUR,20,0.02443817443980844,0.017003637351341864,0.0325240421234412,26,4,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DETOUR,30,0.04902327141837951,0.03870576408697939,0.0589661819695146,28,2,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DETOUR,50,0.10698621997367494,0.08438364956419973,0.1326782233830239,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA,10,0.054202186136378706,0.04073432915773971,0.06766677996197075,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA,20,0.05439781976870484,0.040783067125316395,0.06788836809832112,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA,30,0.05485030845648765,0.041151674480128735,0.06835363322144515,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA,50,0.056734430629244006,0.04352471896091313,0.07032423606615383,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA-DETOUR,10,0.053613755200261834,0.040010902793000146,0.0673157439942127,30,0,0,30
heterogeneity,all,partial,Posterior Search (adaptive support),DIVA-DETOUR,20,0.05360362751571555,0.03988609834012765,0.06704868714196437,30,0,0,30
