task,protocol,method,target_sut,repeat,budget,metric,value,candidate_count,target_feedback
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,10,collision_count,10.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,10,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,10,recall,0.14925373134328357,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,20,collision_count,20.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,20,precision,1.0,192,none
failure_discovery,shared_pool_static,Uniform-Mixture-H,SUT-F,0,20,recall,0.29850746268656714,192,none
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,5,collision_count,5.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,5,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,5,recall,0.07462686567164178,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,10,collision_count,10.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,10,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,10,recall,0.14925373134328357,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,20,collision_count,20.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,20,precision,1.0,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-staticK4,SUT-F,0,20,recall,0.29850746268656714,192,first four target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,5,collision_count,5.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,5,precision,1.0,192,previous target outcomes
failure_discovery,shared_pool_adaptive,AdaTE-Mixture-H-sequential,SUT-F,0,5,recall,0.07462686567164178,192,previous target outcomes
