task,protocol,method,budget,metric,mean,standard_deviation,records
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,20,collision_count,11.5,5.819411157366988,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,20,precision,0.575,0.29097055786834947,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,20,recall,0.7294890648567119,0.16692903721682995,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,5,collision_count,3.6666666666666665,0.9467621366623018,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,5,precision,0.7333333333333332,0.18935242733246035,120
failure_discovery,shared_pool_within_sut_history,Nearest-Failure-global-within-SUT,5,recall,0.3295952740070387,0.21925815075021504,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,10,collision_count,1.8833333333333333,1.551271277704455,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,10,precision,0.18833333333333335,0.15512712777044552,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,10,recall,0.09736268225238813,0.0811168566001686,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,20,collision_count,3.9166666666666665,2.7488220038706737,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,20,precision,0.19583333333333333,0.1374411001935337,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,20,recall,0.21997822398190045,0.12967821412727665,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,5,collision_count,0.9083333333333333,0.8300636133700215,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,5,precision,0.18166666666666664,0.1660127226740043,120
failure_discovery,shared_pool_within_sut_history,Random-within-SUT,5,recall,0.04640972222222222,0.05787654183896745,120
performance_estimation,shared_pool_estimation,CMC,10,mean_absolute_error,0.09964583333333332,0.05111792772327748,2
performance_estimation,shared_pool_estimation,CMC,10,relative_absolute_error,0.6009671641791045,0.29957686937386363,2
performance_estimation,shared_pool_estimation,CMC,10,signed_bias,-0.004541666666666648,0.003417682775734959,2
performance_estimation,shared_pool_estimation,CMC,20,mean_absolute_error,0.06514583333333335,0.01876779248399296,2
performance_estimation,shared_pool_estimation,CMC,20,relative_absolute_error,0.444358208955224,0.3106203997594399,2
performance_estimation,shared_pool_estimation,CMC,20,signed_bias,0.014958333333333351,0.011431559629182532,2
performance_estimation,shared_pool_estimation,CMC,5,mean_absolute_error,0.12195833333333335,0.034058976627152036,2
performance_estimation,shared_pool_estimation,CMC,5,relative_absolute_error,0.8356537313432837,0.5899339106276591,2
performance_estimation,shared_pool_estimation,CMC,5,signed_bias,-0.011541666666666645,0.013317177712346617,2
performance_estimation,shared_pool_estimation,FST-RandomSet,10,mean_absolute_error,0.05839518709729114,0.05029426474834996,2
performance_estimation,shared_pool_estimation,FST-RandomSet,10,relative_absolute_error,0.2807505889187998,0.016257920027805208,2
performance_estimation,shared_pool_estimation,FST-RandomSet,10,signed_bias,0.02302682608676454,0.03516495612502388,2
performance_estimation,shared_pool_estimation,FST-RandomSet,20,mean_absolute_error,0.036985675313820444,0.031396148263421526,2
performance_estimation,shared_pool_estimation,FST-RandomSet,20,relative_absolute_error,0.17942954507870462,0.013889844709323761,2
performance_estimation,shared_pool_estimation,FST-RandomSet,20,signed_bias,0.015673416101684184,0.03314006149624509,2
performance_estimation,shared_pool_estimation,FST-RandomSet,5,mean_absolute_error,0.12440448975811402,0.12670014260112938,2
performance_estimation,shared_pool_estimation,FST-RandomSet,5,relative_absolute_error,0.5294290722021416,0.11852578657614966,2
performance_estimation,shared_pool_estimation,FST-RandomSet,5,signed_bias,0.07688799792279803,0.11492005590913991,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,10,mean_absolute_error,0.07650766419867674,0.07243200163727381,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,10,relative_absolute_error,0.34486793252247483,0.029909871266692437,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,10,signed_bias,0.03059085329373679,0.057830921718557,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,20,mean_absolute_error,0.05173942393312852,0.048768755786452685,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,20,relative_absolute_error,0.23397515752422277,0.018547298640032933,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,20,signed_bias,0.025802357851838084,0.052081551417123825,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,5,mean_absolute_error,0.08221265515933433,0.061205213376860655,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,5,relative_absolute_error,0.4289862122108687,0.09810317403693307,2
performance_estimation,shared_pool_estimation,FST-Similarity-H,5,signed_bias,0.009705014092226846,0.005568841300311541,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,10,mean_absolute_error,0.03630521607337839,0.026986740689402322,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,10,relative_absolute_error,0.1895868500202855,0.04364803526434333,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,10,signed_bias,0.0185842626598925,0.02321926069714859,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,20,mean_absolute_error,0.040120689397792404,0.029811092669397552,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,20,relative_absolute_error,0.20955281098518683,0.048327641902945126,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,20,signed_bias,0.021994281092911086,0.03497645995632592,2
performance_estimation,shared_pool_estimation,Handcrafted-Similarity,5,mean_absolute_error,0.09493460591342641,0.020479720372117326,2
