target_sut,rank,scenario_index,scenario_id,mode,predicted_score,collision_offline
SUT-C,146,62,scenario-2bd6237484872972,fast_intrusion,0.03597164526581764,0
SUT-C,147,22,scenario-5656fab18832599e,fast_intrusion,0.035911060869693756,0
SUT-C,148,26,scenario-2835ecddb656b3cb,fast_intrusion,0.03588736057281494,0
SUT-C,149,42,scenario-e7e0fba002356b9b,fast_intrusion,0.035878945142030716,0
SUT-C,150,2,scenario-e2f4f08814a61a01,fast_intrusion,0.035817038267850876,0
SUT-C,151,155,scenario-4b01d410c83c7d9b,lead_braking,0.0333966501057148,0
SUT-C,152,175,scenario-fb9812b8a8e4dc75,lead_braking,0.026833124458789825,0
SUT-C,153,146,scenario-d98233bd2ea1b245,lead_braking,0.02367219515144825,1
SUT-C,154,178,scenario-60d0da0eb14917ad,lead_braking,0.02238445356488228,0
SUT-C,155,162,scenario-3d68fcb47379492e,lead_braking,0.022377826273441315,1
SUT-C,156,171,scenario-e2f1324582e7aad7,lead_braking,0.021701406687498093,0
SUT-C,157,187,scenario-db3765a7deb0468d,lead_braking,0.02146845869719982,0
SUT-C,158,139,scenario-ba6f5989e9f6b40d,lead_braking,0.021383482962846756,0
SUT-C,159,163,scenario-a9b1b33563747a69,lead_braking,0.021314827725291252,0
SUT-C,160,130,scenario-d58d0093b5d8fa7d,lead_braking,0.021296000108122826,0
SUT-C,161,148,scenario-b431c4430993153f,lead_braking,0.021244749426841736,0
SUT-C,162,147,scenario-1bb35a75a5c3e0f1,lead_braking,0.02121221274137497,0
SUT-C,163,188,scenario-059020c98343d03f,lead_braking,0.021133916452527046,0
SUT-C,164,128,scenario-a19c2547b5705c26,lead_braking,0.020986763760447502,0
SUT-C,165,164,scenario-192c7f430edcd2de,lead_braking,0.02097315713763237,0
SUT-C,166,140,scenario-4371b8d0013d68cd,lead_braking,0.02086031064391136,0
SUT-C,167,180,scenario-d5203f538ba5afb6,lead_braking,0.020764797925949097,0
SUT-C,168,159,scenario-cc0c1fae4aa3309d,lead_braking,0.020758669823408127,0
SUT-C,169,132,scenario-f99656c9513976da,lead_braking,0.02065957896411419,0
SUT-C,170,152,scenario-8caf3083bcd90271,lead_braking,0.02065950445830822,0
SUT-C,171,156,scenario-1e43d868b859ddac,lead_braking,0.020634427666664124,0
SUT-C,172,176,scenario-e5240ee21b610e78,lead_braking,0.0205647312104702,0
SUT-C,173,160,scenario-54ece6fc3441e6c4,lead_braking,0.02054089680314064,0
SUT-C,174,135,scenario-0dd2ff55541f2f49,lead_braking,0.020377231761813164,0
SUT-C,175,136,scenario-53f1fc89bfe5429d,lead_braking,0.020372088998556137,0
SUT-C,176,172,scenario-a072b66d5d7ed254,lead_braking,0.020335739478468895,0
SUT-C,177,144,scenario-3e3919a5db17053a,lead_braking,0.020304149016737938,0
SUT-C,178,190,scenario-ffb0d8811ff61d83,lead_braking,0.020294122397899628,0
SUT-C,179,184,scenario-0260ceae5b9ea634,lead_braking,0.020249905064702034,0
SUT-C,180,183,scenario-b36920495b5f5b7b,lead_braking,0.020214170217514038,0
SUT-C,181,174,scenario-b575a6d5f14aa61a,lead_braking,0.020140355452895164,0
SUT-C,182,168,scenario-011f695fc155d140,lead_braking,0.020130211487412453,0
SUT-C,183,166,scenario-c19674fed95975f4,lead_braking,0.02011953666806221,0
SUT-C,184,154,scenario-34bbf7e9743fe3e5,lead_braking,0.020109141245484352,0
SUT-C,185,142,scenario-80615957b768f5bb,lead_braking,0.020081544294953346,0
SUT-C,186,158,scenario-a2a2e1670458014a,lead_braking,0.01990627683699131,0
SUT-C,187,170,scenario-2f12216d9e84c75a,lead_braking,0.019903235137462616,0
SUT-C,188,150,scenario-847740ec13686691,lead_braking,0.019831737503409386,0
SUT-C,189,134,scenario-0420150e97657de9,lead_braking,0.019762834534049034,0
SUT-C,190,129,scenario-370eb5e52aeab008,lead_braking,0.019624238833785057,0
SUT-C,191,186,scenario-345699793d918095,lead_braking,0.019262680783867836,0
SUT-C,192,182,scenario-757e70f0d94e8633,lead_braking,0.019002920016646385,0
SUT-D,1,101,scenario-fe1e4ca2b41ed0fb,cutin_braking,0.8726314902305603,1
SUT-D,2,77,scenario-0a415f7712d44321,cutin_braking,0.8660002946853638,1
SUT-D,3,85,scenario-bad40c3c3ea5ceb4,cutin_braking,0.8654636740684509,1
SUT-D,4,113,scenario-c3670c2537a43922,cutin_braking,0.8569762706756592,1
SUT-D,5,125,scenario-bfa148db24406c10,cutin_braking,0.8534718751907349,1
SUT-D,6,117,scenario-bf6e88fc1aa57a68,cutin_braking,0.847183346748352,1
SUT-D,7,69,scenario-1bef28d4fcaca6f8,cutin_braking,0.8399012684822083,1
SUT-D,8,65,scenario-d57ab87fcb42e824,cutin_braking,0.7676862478256226,1
SUT-D,9,55,scenario-0d6eb5fb4112742e,fast_intrusion,0.7518807053565979,1
