method,budget,repeat,round,position,accepted_index,loss,candidate_evaluations,elapsed_seconds,event
NoSimilarity-Optimized,10,0,0,-1,-1,0.36041666666666666,1,0.0,initial
NoSimilarity-Optimized,10,0,1,0,1,0.2604166666666667,184,0.00016419999883510172,accepted
NoSimilarity-Optimized,10,0,1,1,2,0.25520833333333337,367,0.0002564000023994595,accepted
NoSimilarity-Optimized,10,0,1,2,-1,0.25520833333333337,550,0.0003429999924264848,no_change
NoSimilarity-Optimized,10,0,1,3,3,0.1552083333333334,733,0.0004223999858368188,accepted
NoSimilarity-Optimized,10,0,1,4,4,0.060416666666666674,916,0.0005029999883845448,accepted
NoSimilarity-Optimized,10,0,1,5,-1,0.060416666666666674,1099,0.0005807999987155199,no_change
NoSimilarity-Optimized,10,0,1,6,5,0.05520833333333336,1282,0.0006584000075235963,accepted
NoSimilarity-Optimized,10,0,1,7,-1,0.05520833333333336,1465,0.0007305000035557896,no_change
NoSimilarity-Optimized,10,0,1,8,93,0.04479166666666662,1648,0.0008037000079639256,accepted
NoSimilarity-Optimized,10,0,1,9,-1,0.04479166666666662,1831,0.0008766999817453325,no_change
NoSimilarity-Optimized,10,0,2,0,-1,0.04479166666666662,2014,0.0009508999937679619,no_change
NoSimilarity-Optimized,10,0,2,1,-1,0.04479166666666662,2197,0.0010254000080749393,no_change
NoSimilarity-Optimized,10,0,2,2,-1,0.04479166666666662,2380,0.0011000999948009849,no_change
NoSimilarity-Optimized,10,0,2,3,-1,0.04479166666666662,2563,0.0011741000053007156,no_change
NoSimilarity-Optimized,10,0,2,4,-1,0.04479166666666662,2746,0.0012477999844122678,no_change
NoSimilarity-Optimized,10,0,2,5,-1,0.04479166666666662,2929,0.0013196000072639436,no_change
NoSimilarity-Optimized,10,0,2,6,-1,0.04479166666666662,3112,0.0013971999869681895,no_change
NoSimilarity-Optimized,10,0,2,7,-1,0.04479166666666662,3295,0.0014697999868076295,no_change
NoSimilarity-Optimized,10,0,2,8,-1,0.04479166666666662,3478,0.0015442000003531575,no_change
NoSimilarity-Optimized,10,0,2,9,-1,0.04479166666666662,3661,0.0016160999948624521,no_change
Handcrafted-Similarity,20,0,0,-1,-1,0.37049586672297163,1,0.0,initial
Handcrafted-Similarity,20,0,1,0,183,0.3074465917335022,174,0.012584500014781952,accepted
Handcrafted-Similarity,20,0,1,1,37,0.24673312145726672,347,0.025014700018800795,accepted
Handcrafted-Similarity,20,0,1,2,18,0.20013223679770553,520,0.037516400014283136,accepted
Handcrafted-Similarity,20,0,1,3,49,0.19071371493652484,693,0.04989280001609586,accepted
Handcrafted-Similarity,20,0,1,4,84,0.14805164199835702,866,0.06210110001848079,accepted
Handcrafted-Similarity,20,0,1,5,27,0.12974951558642997,1039,0.07436200001393445,accepted
Handcrafted-Similarity,20,0,1,6,126,0.12336472945023727,1212,0.08651490000193007,accepted
Handcrafted-Similarity,20,0,1,7,35,0.08219750151147706,1385,0.09962270001415163,accepted
Handcrafted-Similarity,20,0,1,8,16,0.08210232579234336,1558,0.11255859999801032,accepted
Handcrafted-Similarity,20,0,1,9,169,0.03986297231425409,1731,0.12515279999934137,accepted
Handcrafted-Similarity,20,0,1,10,15,0.03807287763614403,1904,0.13820200000191107,accepted
Handcrafted-Similarity,20,0,1,11,66,0.031976468323414414,2077,0.15062210001633503,accepted
Handcrafted-Similarity,20,0,1,12,161,0.021013717554988563,2250,0.16307040001265705,accepted
Handcrafted-Similarity,20,0,1,13,19,0.02045398626208402,2423,0.17595810000784695,accepted
Handcrafted-Similarity,20,0,1,14,173,0.014609238668533107,2596,0.19026170001598075,accepted
Handcrafted-Similarity,20,0,1,15,-1,0.014609238668533107,2769,0.20287550002103671,no_change
Handcrafted-Similarity,20,0,1,16,143,0.014008581825802606,2942,0.21540890002506785,accepted
Handcrafted-Similarity,20,0,1,17,101,0.012124498983120395,3115,0.22794350000913255,accepted
