method,budget,repeat,target_sut,estimate,target_mu,signed_error,absolute_error,relative_absolute_error,freeze_sha256
CMC,5,3,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
CMC,5,3,SUT-F,0.0,0.3489583333333333,-0.3489583333333333,0.3489583333333333,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,3,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Uniform,5,3,SUT-F,0.6000000000000001,0.3489583333333333,0.2510416666666668,0.2510416666666668,0.7194029850746272,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,3,SUT-E,0.07774152362037168,0.078125,-0.0003834763796283225,0.0003834763796283225,0.004908497659242528,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
IS,5,3,SUT-F,0.352411887025621,0.3489583333333333,0.0034535536922876697,0.0034535536922876697,0.009896750879391531,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,3,SUT-E,0.10837600752711296,0.078125,0.03025100752711296,0.03025100752711296,0.3872128963470459,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-RandomSet,5,3,SUT-F,0.3963411711156368,0.3489583333333333,0.04738283778230351,0.04738283778230351,0.13578365454033245,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,3,SUT-E,0.0,0.078125,-0.078125,0.078125,1.0,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
Handcrafted-Similarity,5,3,SUT-F,0.19705243301544512,0.3489583333333333,-0.1519059003178882,0.1519059003178882,0.4353124307617095,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,3,SUT-E,0.057902589440345764,0.078125,-0.020222410559654236,0.020222410559654236,0.2588468551635742,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
FST-Similarity-H,5,3,SUT-F,0.24218789488077164,0.3489583333333333,-0.10677043845256168,0.10677043845256168,0.30596901765510215,fdb12e7fe72c82b1485080b0381022d0ad2365844e86695ff8bfece9ef42964b
